"id","Most important selection criteria - Criteria","Second most important selection criteria - Criteria","Third most important selection criteria - Criteria"
11900893873,"THC Content","Favorite Strain","Quality"
11896165798,"Other cannabinoids and terpenes","Quality","Favorite Strain"
11895097297,"Format (flower, vape, edibles, etc)","Quality","THC Content"
11895049598,"Quality","THC Content","Other cannabinoids and terpenes"
11892795583,"Other cannabinoids and terpenes","Quality","Cost/Price"
11878941403,"Favorite Strain","Quality","THC Content"
11877832278,"THC Content","Cost/Price","Quality"
11877760067,"Quality","Format (flower, vape, edibles, etc)","THC Content"
11868441586,"THC Content","Quality","Cost/Price"
11845067127,"Quality","Other cannabinoids and terpenes","Favorite Strain"
11845049790,"Quality","THC Content","CBD Content"
11844738380,"Format (flower, vape, edibles, etc)","THC Content","Quality"
11796490991,"Favorite Strain","THC Content","CBD Content"
11769462163,"Other cannabinoids and terpenes","Quality","Format (flower, vape, edibles, etc)"
11768029973,"THC Content","CBD Content","Cost/Price"
11767901310,"CBD Content","THC Content","Cost/Price"
11666270997,"Quality","Favorite Strain","Cost/Price"
11654621642,"THC Content","THCa","Format (flower, vape, edibles, etc)"
11645764814,"Other cannabinoids and terpenes","Quality","Favorite Strain"
11637922879,"Quality","THC Content","Other cannabinoids and terpenes"
11627255313,"Favorite Strain","Cost/Price","Quality"
11613534902,"Favorite Strain","Quality","Cost/Price"
11612915503,"THC Content","Format (flower, vape, edibles, etc)","Favorite Strain"
11611151967,"THC Content","Other cannabinoids and terpenes","THCa"
11611095871,"Quality","Format (flower, vape, edibles, etc)","Cost/Price"
11610919510,"Cost/Price","THC Content","Format (flower, vape, edibles, etc)"
11610653847,"Quality","THC Content","CBD Content"
11610650839,"Other cannabinoids and terpenes","Quality","Favorite Strain"
11610629670,"CBD Content","Format (flower, vape, edibles, etc)","Other cannabinoids and terpenes"
11610569463,"THC Content","Cost/Price","Quality"
11610558754,"Cost/Price","Format (flower, vape, edibles, etc)","Quality"
11610483137,"Favorite Strain","THC Content","Cost/Price"
11610467111,"Format (flower, vape, edibles, etc)","Favorite Strain","THC Content"
11610326986,"Format (flower, vape, edibles, etc)","THC Content","Other cannabinoids and terpenes"
11599209461,"Quality","THC Content","Cost/Price"
11598245939,"THC Content","Cost/Price","Favorite Strain"
11597820781,"THC Content","Cost/Price","Favorite Strain"
11597673586,"THC Content","Cost/Price","Favorite Strain"
11597644351,"Quality","Cost/Price","Format (flower, vape, edibles, etc)"
11597622934,"Favorite Strain","THC Content","Cost/Price"
11597579792,"Favorite Strain","THC Content","CBD Content"
11589268858,"Quality","Format (flower, vape, edibles, etc)","Other cannabinoids and terpenes"
11587350631,"Favorite Strain","Quality","Cost/Price"
11587230995,"THC Content","THCa","Format (flower, vape, edibles, etc)"
11587230971,"THC Content","CBD Content","Cost/Price"
11587108019,"Format (flower, vape, edibles, etc)","Cost/Price","Favorite Strain"
11586287027,"Format (flower, vape, edibles, etc)","Favorite Strain","Cost/Price"
11586142329,"Quality","THC Content","Favorite Strain"
11586054597,"Format (flower, vape, edibles, etc)","THC Content","Quality"
11585952847,"THC Content","Cost/Price","Favorite Strain"
11585898521,"Favorite Strain","Quality","Format (flower, vape, edibles, etc)"
11585787988,"THC Content","Cost/Price","Quality"
11584377690,"Quality","Cost/Price","Favorite Strain"
11583712441,"Quality","Cost/Price","THC Content"
11583625343,"THC Content","Favorite Strain","Cost/Price"
11582596675,"Cost/Price","THC Content","Other cannabinoids and terpenes"
11582229878,"THC Content","Favorite Strain","Cost/Price"
11580983689,"Quality","Favorite Strain","Cost/Price"
11578128209,"Cost/Price","THCa","Other cannabinoids and terpenes"
11577997425,"THC Content","Favorite Strain","Cost/Price"
11577909246,"Format (flower, vape, edibles, etc)","Favorite Strain","Quality"
11577842644,"THCa","Quality","CBDa"
11577687823,"Quality","Cost/Price","Favorite Strain"
11576799745,"Favorite Strain","THC Content","Cost/Price"
11576703796,"Cost/Price","Other cannabinoids and terpenes","Favorite Strain"
11576684465,"Favorite Strain","Quality","THC Content"
11576609714,"Quality","Favorite Strain","Cost/Price"
11576343056,"THC Content","Cost/Price","Favorite Strain"
11576294070,"Quality","Other cannabinoids and terpenes","Cost/Price"
11576276993,"THC Content","THCa","Format (flower, vape, edibles, etc)"
11576074952,"THC Content","CBD Content","Quality"
11575974534,"CBD Content","THC Content","Other cannabinoids and terpenes"
11575924604,"Favorite Strain","Cost/Price","Quality"
11575866351,"Quality","Cost/Price","Format (flower, vape, edibles, etc)"
11575777387,"THC Content","Cost/Price","Format (flower, vape, edibles, etc)"
11575366844,"Cost/Price","THCa","Quality"
11575092920,"Format (flower, vape, edibles, etc)","Favorite Strain","Cost/Price"
11574903456,"Other cannabinoids and terpenes","Quality","Favorite Strain"
11574552866,"THC Content","Quality","Favorite Strain"
11574451536,"THC Content","THCa","Other cannabinoids and terpenes"
11574411498,"Quality","Favorite Strain","THC Content"
11574360364,"Quality","Cost/Price","THC Content"
11574251417,"Favorite Strain","THC Content","Format (flower, vape, edibles, etc)"
11574169574,"Cost/Price","THC Content","Format (flower, vape, edibles, etc)"
11574148112,"CBD Content","THC Content","Other cannabinoids and terpenes"
11574108056,"Quality","THC Content","Other cannabinoids and terpenes"
11574105002,"Format (flower, vape, edibles, etc)","THC Content","CBD Content"
11574032942,"Quality","Favorite Strain","Other cannabinoids and terpenes"
11573959696,"Cost/Price","Format (flower, vape, edibles, etc)","Quality"
11573908206,"THC Content","Quality","Cost/Price"
11573893944,"Quality","Cost/Price","Favorite Strain"
11573883576,"THC Content","Cost/Price","Format (flower, vape, edibles, etc)"
11573881236,"THC Content","Quality","Favorite Strain"
11573866759,"Quality","Format (flower, vape, edibles, etc)","THC Content"
11573863650,"THC Content","Quality","THCa"
11573859619,"Other cannabinoids and terpenes","Cost/Price","Quality"
11573842385,"Other cannabinoids and terpenes","Cost/Price","Quality"
11573831871,"Cost/Price","THC Content","Format (flower, vape, edibles, etc)"
11573796440,"Favorite Strain","Cost/Price","Format (flower, vape, edibles, etc)"
11573774101,"Quality","Other cannabinoids and terpenes","THC Content"
11573754297,"THC Content","Other cannabinoids and terpenes","Cost/Price"
11573740322,"Other cannabinoids and terpenes","Quality","Cost/Price"
11573704496,"Favorite Strain","Quality","Other cannabinoids and terpenes"
11573703803,"Format (flower, vape, edibles, etc)","THC Content","Cost/Price"
11573693200,"Quality","THC Content","Favorite Strain"
11573692514,"Cost/Price","THC Content","Format (flower, vape, edibles, etc)"
11573671064,"Quality","THC Content","CBD Content"
11573621890,"THC Content","Quality","Cost/Price"
11573582419,"Quality","Format (flower, vape, edibles, etc)","Favorite Strain"
11573505136,"Cost/Price","Quality","Format (flower, vape, edibles, etc)"
11573487144,"Favorite Strain","Format (flower, vape, edibles, etc)","Quality"
11573486557,"Quality","THC Content","Cost/Price"
11573399391,"THC Content","Quality","CBD Content"
11573313598,"Quality","",""
11573311575,"THC Content","Favorite Strain","Format (flower, vape, edibles, etc)"
11573249539,"THC Content","Format (flower, vape, edibles, etc)","Favorite Strain"
11573229354,"Format (flower, vape, edibles, etc)","THC Content","Favorite Strain"
11573183317,"THC Content","Format (flower, vape, edibles, etc)","Favorite Strain"
11567970690,"THCa","Other cannabinoids and terpenes",""
