"q23","In your own words, how do you think social equity and restorative justice will be affected if adult use cannabis is legalized in New Jersey.","n =  237"
"response","count","percent_responded"
"Not sure","5","2.11"
"Not sure ","4","1.69"
"Unsure","4","1.69"
"Positively","3","1.27"
"I’m not sure","2","0.84"
"N/A","2","0.84"
"Not aure","2","0.84"
"Not sure. ","2","0.84"
"A free, statewide, technical assistance, and training program which provides education, skill-based training, and tools for success in the cannabis industry would be beneficial when it comes to social equity. ","1","0.42"
"As previously stated, I believe legislation can be enacted to expunge prior criminal records related to cannabis. This would be especially beneficial to minorities who were wrongfully convicted to harsher sentences compared to similar offenses committed by white individuals. However, NJ has residents who are vehemently against this, who will still socially ostracize those who use regardless of legality. While I agree with people being able to do as they please, public consumption isn't an idea I am comfortable with. If it can be limited to private residence and private businesses, I feel personally and socially, legalization of cannabis will come to fruition and greater acceptance than if complete public consumption is allowed.","1","0.42"
"As time passed and stigmas are mitigated and it becomes the norm, I would imagine it has some degree of impact positively on social equity. If it’s low income communities being affected the worst by these financial burdens for minimal possession, they are unable to sustain a consistent life and financial flow.  As for restorative justice, I think the biggest reason it will happen is because of the promises made by politicians. I have little faith that politics will truly undo the wrongs committed by these victims, but I have faith that the cultures of the future general public will take advantage of all the many marketing tactics to put out what the public (specifically the victims) need. Not because of the “robust and competitive” nature the free market brings that’s bullshit. But because I do believe it would be the right thing to do. And I’d be willing to bet there’s at least one good person out there willing to continue seeking it out","1","0.42"
"Available to more, not convicted for low amounts of marijuana ","1","0.42"
"Big improvement ","1","0.42"
"Black people will not be criminalized for marijuana use","1","0.42"
"Both are very much needed.","1","0.42"
"Bring more awareness to the reality that the injustice of cannabis use has brought","1","0.42"
"Cannabis laws disproportionately hurt people of lower socioeconomic means. Legalization will put less of a burden on low income individuals and could generate tax revenue for social programs.","1","0.42"
"Cannabis would help the people who got in trouble with marijuana, because in reality I believe that marijuana is safer than alcohol, smoking cigarettes, and pills.","1","0.42"
"Don’t care ","1","0.42"
"Don’t know","1","0.42"
"Drug use is far more prevalent among certain minority groups and lower income groups so they face much greater legal consequences and higher incarceration rates. Legalizing marijuana would help ease that burden.","1","0.42"
"Drugs are bad for you. Just don’t do it. ","1","0.42"
"Equality between black and white.  Legalization is control. ","1","0.42"
"Evens the filed ","1","0.42"
"Fairness in pain management, and recreation.","1","0.42"
"Far too many non whites in jail for minor drug offenses ","1","0.42"
"Fear it could be forgotten ","1","0.42"
"FIRST, THE QUESTION IS GRAMATICALLY INCORRECT.    I GUESS YOU WERE STONED WHEN YOU WROTE IT.    BUT TO THE POINT, THESE 2 TERMS WERE DEVELOPED BY POLITICIANS TO FOSTER THE EXACT TYPE OF BEHAVIOR THE CREATORS OF THIS SURVEY ARE DISPLAYING.  THAT IS, THEY HAVE CREATED A FAKE PROBLEM FOR YOU TO ""SOLVE"" WHILE ACTUALLY BENEFITTING THE MINORITY IN GOVERNMENT. P.S. THIS SURVEY IS EXTRREMELY BIASED TOWARD LEGALIZATION.  LEGALIZATION WILL HELP THE POLITICAL CLASS KEEP EVERYONE IN LINE AFTER THEY TAKE EVERYTHING AWAY FROM US (ENERGY, EDUCATION, HEALTHCARE FOR STARTERS) BY KEEPING EVERYONE HIGH.  NO THANKS.","1","0.42"
"Frankly, I don’t think legalization is enough. It’s a great step, surely, but it will take a lot of legislation and hard work to achieve social equity and implement restorative justice.","1","0.42"
"Government won't do a damn thing","1","0.42"
"Hopefully it creates a more level playing friend for all people. I hope this allows for the criminal justice system to focus on more serious crimes and direct resources that way.","1","0.42"
"Hopefully this will allow the police to go after the real issues.  ","1","0.42"
"Hopefully with the legalization about cannabis, we see a change in the amount of poc being arrested and see some sort of restorative justice arise","1","0.42"
"Hopefully, it would lead to expungements of marijuana-related criminal records. I’m not sure how exactly it would affect anything for sure, but hopefully it would be the first step on the path to restoring people’s rights and ending discrimination in communities. ","1","0.42"
"Humans naturally don’t like punishment. It’s psychologically better for the brain to not be punished. Therefore, it could create a more positive environment.","1","0.42"
"I addressed this in the prior comments section. For decades, black people have disproportionately been arrested and convicted for marijuana offenses. Any legalization program must address freeing anyone currently incarcerated for marijuana violations, in addition to creating ownership and employment opportunities in the cannabis industry for black people. ","1","0.42"
"I am hopeful legalization would result in less POC being sent to prison over harmless crimes like possession ","1","0.42"
"I am not sure how it will be effected","1","0.42"
"I am unsure of what the future may hold. However, I think it is crucial for everyone to vote for legalization of marijuana in order to fight mass incarceration of blacks. Hopefully that will alleviate some of the racial disparities that are present within the criminal justic system. ","1","0.42"
"I answered that previously that it will be less burden all around on our judicial system. ","1","0.42"
"I believe if given the opportunity to be free to use, we we see less disparity between those who use.","1","0.42"
"I believe it is not a crime to use cannabis. It is not a gateway drug and it has been proven to alleviate pain and sickness.  ","1","0.42"
"I believe it may star War on Drugs Part II","1","0.42"
"I believe it will be a first step in the right direction. Reversing decades of abuse will take stronger action and time. ","1","0.42"
"I believe it would have a positive effect to those who have been previously convicted of cannabis crimes. More so the ones that are of lesser amounts of cannabis.","1","0.42"
"I believe minority groups suffered from cannabis criminalization. I hold my opinion in reserve regarding restorative justice as government doesn't always keep to its word.","1","0.42"
"I believe records should be expunged, but I do not believe money or other funding should be made available to those convicted of those crimes in the past. ","1","0.42"
"I believe that demographics that were previously susceptible to harsher prison sentences and higher crime rates would be able to receive equal treatment when it comes to the correlation of marijuana and the judicial system. I also believe that programs could potentially be put in place to amend the unjust sentencing many offenders face due to possession of weed","1","0.42"
"I believe that it will ease the burden of the criminal justice system and help with social equity.","1","0.42"
"I believe that New Jersey is a state that has made some strides in social equity in many areas, but if marijuana is criminalized, there needs to be strict and concise language that will allow all adult users of marijuana to benefit from legalization. I fear that the powers that be will continue to find new ways to maintain social inequity, despite legalization. ","1","0.42"
"I believe that people will start seeing the benefits of cannabis and finally move past the ""reefer madness"" scare tactic that has lasted since its arrival. The plant (IT IS JUST A PLANT) offers various forms of healing. Many recreational users enjoy legal cannabis because it alleviates personal issues (medical or otherwise) that the MEDICAL cannabis system deems to NOT be an issue. Plus, records should be expunged and those who were convicted and expunged should be offered jobs FIRST. This way they contribute to society and the overall economic progress that this country desperately needs after this absolutely 100% horrid presidency of the past FOUR years.","1","0.42"
"I believe that treating users of cannabis as criminals negatively impacts many. The legalization of cannabis would be a first step in recognizing that cannabis users are not harmful to society simply for using cannabis.","1","0.42"
"I believe the stigma around marijuana would become less harsh, and that people won’t be discredited or discriminated against for its use. I hope that the state does the right thing if marijuana is legalized by expunging records and releasing low level, non violent marijuana charges.","1","0.42"
