"q29","What percentage of disability are you rated, as indicated by the Veteran's Affairs (VA)?","n =  565  avg =  55.63"
"response","count","percent_responded"
"100","169","29.91"
"0","126","22.3"
"70","32","5.66"
"80","30","5.31"
"90","28","4.96"
"60","26","4.6"
"10","25","4.42"
"50","21","3.72"
"20","15","2.65"
"30","15","2.65"
"40","12","2.12"
"1","10","1.77"
"99","9","1.59"
"3","3","0.53"
"49","3","0.53"
"6","3","0.53"
"75","3","0.53"
"92","3","0.53"
"93","3","0.53"
"22","2","0.35"
"51","2","0.35"
"81","2","0.35"
"9","2","0.35"
"97","2","0.35"
"98","2","0.35"
"11","1","0.18"
"14","1","0.18"
"18","1","0.18"
"2","1","0.18"
"23","1","0.18"
"28","1","0.18"
"31","1","0.18"
"43","1","0.18"
"47","1","0.18"
"48","1","0.18"
"5","1","0.18"
"53","1","0.18"
"64","1","0.18"
"67","1","0.18"
"74","1","0.18"
"87","1","0.18"
"94","1","0.18"
