"q40","After the start of COVID-19, what are current barriers for you 
consuming cannabis? Please select all that apply.","n =  187"
"response","count","percent_responded"
"Access to the right products","71","37.97"
"Money to obtain cannabis products","70","37.43"
"Other (please specify)","61","32.62"
"Stigma","30","16.04"
"Place to consume cannabis","19","10.16"
"Workplace testing or other policies","18","9.63"
"Lack of healthcare provider involvement","12","6.42"
"Money required to get a medical card","12","6.42"
"Lack of knowledge","5","2.67"
"Previous bad experience","2","1.07"
