"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","168","29.73"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","147","26.02"
"I have reduced my prescription medication use in the past","133","23.54"
"I don’t take any medications","103","18.23"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","98","17.35"
"Anti-inflammatories","94","16.64"
"Muscle relaxants","88","15.58"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","79","13.98"
"I'm not trying to reduce any medication use","74","13.1"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","63","11.15"
"Other (please specify)","39","6.9"
"Statins (e.g. Lipitor, Crestor)","29","5.13"
"Sedatives/hypnotics","25","4.42"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","24","4.25"
"Steroids, including steroid creams","22","3.89"
"Beta Blockers","21","3.72"
"Antimigraine","19","3.36"
"Antihypertensives","18","3.19"
"Antipsychotics (e.g. Abilify, Seroquel)","15","2.65"
"Proton pump inhibitors","10","1.77"
"Barbiturates (e.g. Floricet)","9","1.59"
"Insulin","8","1.42"
"Antiemetics","5","0.88"
"Hormone replacement therapy (HRT)","3","0.53"
"What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)"
