"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","Concentrates (e.g. rosin, shatter, wax, hash, kief)"
11250741921,"4-6 grams","2-3 grams","","","1  gram"
11249871277,"4-6 grams","","","",""
11246906361,"","","","",""
11245529294,"4-6 grams","","","",""
11241251752,"4-6 grams","","","",""
11238077963,"1/4 gram or less","","","",""
11222559871,"1  gram","","","",""
11220644956,"","","","",""
11215609540,"4-6 grams","","","","None"
11208627585,"8 grams to 1/2 ounce (~14 grams)","15 grams to 1 ounce (~28 grams)","","","More than 1 ounce"
11183903124,"1  gram","4-6 grams","","",""
11170108737,"1/4 ounce (~7 grams)","","","",""
11166997346,"8 grams to 1/2 ounce (~14 grams)","","","",""
11166535497,"2-3 grams","1/4 gram or less","","","1/2 gram"
11166474867,"","1/2 gram","","",""
11166390085,"","","","","None"
11166384877,"1/4 gram or less","","","",""
11161813510,"","","","",""
11156698544,"8 grams to 1/2 ounce (~14 grams)","","","",""
11156548224,"1/4 ounce (~7 grams)","","","","1/2 gram"
11149744263,"","","","",""
11138930846,"1/4 ounce (~7 grams)","","","","1/4 gram or less"
11138400653,"8 grams to 1/2 ounce (~14 grams)","1/4 gram or less","","",""
11138361963,"1/4 ounce (~7 grams)","","","","1  gram"
11137652132,"","","","",""
11137625236,"8 grams to 1/2 ounce (~14 grams)","","","",""
11137541759,"2-3 grams","","","",""
11135054998,"2-3 grams","","","",""
11134769709,"","I don't know how much I use per week","","",""
11132638848,"15 grams to 1 ounce (~28 grams)","","","",""
11131514317,"2-3 grams","","","","1/4 gram or less"
11129003813,"15 grams to 1 ounce (~28 grams)","","","",""
11105188699,"","2-3 grams","","","1  gram"
11100035804,"","","","",""
11091792560,"","","","",""
11064342543,"1  gram","","","",""
11062634752,"","","","",""
11061509902,"2-3 grams","","","","4-6 grams"
11057923056,"2-3 grams","","","",""
11036310394,"2-3 grams","","","","1/4 gram or less"
11033502369,"","","","","I don't know how much I use per week"
11027692007,"","1/2 gram","","",""
11006369538,"More than 1 ounce","","","","1  gram"
11003496788,"15 grams to 1 ounce (~28 grams)","","","",""
10978063065,"4-6 grams","","","",""
10923325388,"","4-6 grams","","",""
10893948558,"","","","",""
10889700541,"2-3 grams","","","","1/4 gram or less"
10888170961,"","4-6 grams","","",""
10885759801,"","","","",""
10884768912,"1  gram","","","",""
10883497633,"None","","","",""
10882385979,"1/4 ounce (~7 grams)","","","",""
10880798060,"","","","",""
10879062209,"1/4 gram or less","","","",""
10878751296,"8 grams to 1/2 ounce (~14 grams)","1/2 gram","","",""
10878422887,"","","","",""
10878214093,"","","","",""
10877788133,"","","","",""
10877606410,"","","","",""
10877565497,"","","","",""
10877416704,"","","","",""
10877375002,"More than 1 ounce","","","",""
10877194985,"","","","",""
10876876072,"","","","",""
10876510380,"1/4 ounce (~7 grams)","","","","1/4 gram or less"
10876392009,"","","","",""
10876100377,"","","","",""
10875993925,"","","","",""
10875700450,"1/4 ounce (~7 grams)","","","","1/4 gram or less"
10875696093,"2-3 grams","","","",""
10875617011,"","","","",""
10875562577,"","1/4 gram or less","","",""
10875530570,"","","","",""
10875529110,"","","","",""
10875526461,"15 grams to 1 ounce (~28 grams)","2-3 grams","","","I don't know how much I use per week"
10875511603,"","","","",""
10875507777,"","","","",""
10875503972,"","","","",""
10875473988,"4-6 grams","1  gram","","",""
10875467061,"None","","","",""
10875462742,"","","","",""
10875460020,"","","","",""
10875458883,"","","","","2-3 grams"
10874749577,"2-3 grams","","","",""
10872582813,"More than 1 ounce","","","","2-3 grams"
10870148985,"2-3 grams","1  gram","","",""
10868096498,"","1/4 gram or less","","",""
10867812743,"","","","",""
10867810520,"","","","",""
10867615622,"","","","",""
10867323115,"8 grams to 1/2 ounce (~14 grams)","","","",""
10860535252,"","","","",""
10859949104,"","","","",""
10856437127,"I don't know how much I use per week","","","",""
10855896441,"","","","",""
10842274754,"1/4 gram or less","","","",""
10837914247,"2-3 grams","","","",""
10836382971,"8 grams to 1/2 ounce (~14 grams)","","","","1/4 ounce (~7 grams)"
10833972658,"1/4 ounce (~7 grams)","","","","1/4 gram or less"
10831929904,"4-6 grams","1  gram","","",""
10831158462,"","","","",""
10830786742,"","2-3 grams","","",""
10823088016,"4-6 grams","","","","1/4 gram or less"
10822727213,"8 grams to 1/2 ounce (~14 grams)","I don't know how much I use per week","","","1  gram"
10808168894,"","","","",""
10802360410,"8 grams to 1/2 ounce (~14 grams)","1  gram","","","1/4 gram or less"
