"q27","What symptoms do you find medical cannabis
is most helpful in treating/alleviating? Please 
select all that apply.","n =  97"
"response","count","percent_responded"
"Anxiety/panic attacks","66","68.04"
"Depression/mood","61","62.89"
"Pain","58","59.79"
"Sleep/insomnia","57","58.76"
"Headache","36","37.11"
"Aggression","33","34.02"
"Inflammation","28","28.87"
"Attention/concentration","23","23.71"
"Appetite/weight","22","22.68"
"Nausea/vomiting","18","18.56"
"Spasms","17","17.53"
"Drug withdrawal","10","10.31"
"None","10","10.31"
"Ocular pressure","10","10.31"
"Mania/psychosis","9","9.28"
"Seizures","9","9.28"
"Respiratory","7","7.22"
"Skin conditions","6","6.19"
"Other (please specify)","3","3.09"
