q28,"Have you
experienced any side 
effects from using 
cannabis? Please 
select all that apply.",n =  97
response,count,percent_responded
Dry mouth,48,49.48
Changes in appetite,39,40.21
More or less talkative,31,31.96
None,25,25.77
Sleepiness/fatigue,21,21.65
Paranoia,20,20.62
Difficulty concentrating,18,18.56
Feeling of being “altered”,18,18.56
Anxiety,15,15.46
Heart racing/palpitations,14,14.43
Dizziness,11,11.34
"Tough to get started in the morning (lassitude) or ""couch lock""",11,11.34
Increased energy,8,8.25
Memory problems,8,8.25
Racing thoughts,8,8.25
Changes in libido,7,7.22
Headache,6,6.19
"Increased respiratory symptoms (coughing, wheezing, sneezing)",6,6.19
Depression,5,5.15
Nausea,4,4.12
Apathy,3,3.09
"GI changes (constipation, diarrhea, abdominal discomfort)",2,2.06
Other (please specify),2,2.06
Sweating,1,1.03
