"response","count","percent_responded"
"Blue Dream",13,1.53
"Grape God",13,1.53
"Indica",12,1.41
"GSC",11,1.29
"Gorilla Glue",9,1.06
"GG4",8,0.94
"Gorilla glue",8,0.94
"Sour Diesel",8,0.94
"Facewreck",7,0.82
"GG#4",7,0.82
"Girl Scout Cookies",7,0.82
"Green Crack",7,0.82
"Lemon Jeffrey",6,0.71
"OG Kush",6,0.71
"Sour diesel",6,0.71
"Bio Diesel",5,0.59
"Durban Poison",5,0.59
"Mimosa",5,0.59
"Sativa",5,0.59
"Trainwreck",5,0.59
"?",4,0.47
"Blue dream",4,0.47
"Herijuana",4,0.47
"Kush",4,0.47
"Sweet tooth",4,0.47
"White Widow",4,0.47
"Blueberry",3,0.35
"Blueberry ",3,0.35
"Bruce banner",3,0.35
"Buddha's Sister",3,0.35
"Cannatonic",3,0.35
"CBD",3,0.35
"CBD Yummy",3,0.35
"Chocolope",3,0.35
"Chuck OG",3,0.35
"Citrix",3,0.35
"Clementine",3,0.35
"Diesel",3,0.35
"Flo",3,0.35
"GG",3,0.35
"GG #4",3,0.35
"gorilla glue",3,0.35
"Granddaddy Purple",3,0.35
"Haze",3,0.35
"Hybrid",3,0.35
"Jack Frost",3,0.35
"Jack Herer",3,0.35
"Lavender",3,0.35
"Lemon Meringue",3,0.35
"Master Kush",3,0.35
"Maui Wowie",3,0.35
"Meltdown",3,0.35
"Moonrise",3,0.35
"n/a",3,0.35
"Na",3,0.35
"Night nurse",3,0.35
"Northern Lights",3,0.35
"Pineapple Express ",3,0.35
"Sweet Tooth",3,0.35
"Sweet tooth ",3,0.35
"3 chems",2,0.24
"Acapulco Gold",2,0.24
"Amnesia haze",2,0.24
"Bio diesel",2,0.24
"Black Mamba",2,0.24
"Blue Cheese",2,0.24
"Blue dreams",2,0.24
"Blue OG",2,0.24
"blueberry",2,0.24
"Blueberry Haze",2,0.24
"Bruce Banner",2,0.24
"Bubba Kush",2,0.24
"Bubba Kush ",2,0.24
"Bullfighter",2,0.24
"Chuck og",2,0.24
"Clementine ",2,0.24
"Cookies and Cream",2,0.24
"don't know",2,0.24
"Durban",2,0.24
"French Toast",2,0.24
"GDP",2,0.24
"Gelato",2,0.24
"GG 4",2,0.24
"Ghost train haze",2,0.24
"Ghost Train Haze",2,0.24
"Girl scout cookies",2,0.24
"Gorilla glue ",2,0.24
"Gorilla Glue #4",2,0.24
"Grand Daddy Purp",2,0.24
"Grape god",2,0.24
"Grease Monkey #7",2,0.24
"Harlequin",2,0.24
"Hurricane",2,0.24
"hybrid",2,0.24
"Hybrid ",2,0.24
"indica",2,0.24
"jack herer",2,0.24
"Killer Queen",2,0.24
"Lemon",2,0.24
"Lemon ice",2,0.24
"Lemon Jeffery",2,0.24
"lemon jeffrey",2,0.24
"Lemon meringue ",2,0.24
"Lemon skunk",2,0.24
"Lemon Skunk",2,0.24
"LVBK",2,0.24
"na",2,0.24
"Not sure ",2,0.24
"Og kush",2,0.24
"Pineapple Express",2,0.24
"sativa",2,0.24
"Sativa ",2,0.24
"Shark Shock",2,0.24
"Sour diesel ",2,0.24
"star dawg",2,0.24
"Star killer",2,0.24
"Super Lemon Haze",2,0.24
"Tangie",2,0.24
"Unknown",2,0.24
"Wedding cake",2,0.24
"Wedding Cake",2,0.24
"White Rhino",2,0.24
"White widow",2,0.24
"White widow ",2,0.24
"  ChemD",1,0.12
" Cookies and cream ",1,0.12
" Russian Bubble Tea (Friends personal cross)",1,0.12
"???",1,0.12
"1:01",1,0.12
"10mg CBD capsule ",1,0.12
"3 Chem",1,0.12
"3 Chems",1,0.12
"3 Gorillas ",1,0.12
"3D-6",1,0.12
"3d-CBC",1,0.12
"4 pack mini ",1,0.12
"99 Cindrella",1,0.12
"AC/DC",1,0.12
"ACDC",1,0.12
"Afgan Kush",1,0.12
"Agent orange ",1,0.12
"Ak47",1,0.12
"all seem the same",1,0.12
"any hybrid",1,0.12
"any indica",1,0.12
"Any indica",1,0.12
"Ba ba kush",1,0.12
"Banana kush ",1,0.12
"Banana OG",1,0.12
"Banana split",1,0.12
"Banana split ",1,0.12
"Berry Gelato",1,0.12
"Berry white ",1,0.12
"Big Bud",1,0.12
"Big City Lights",1,0.12
"Bio diesel ",1,0.12
"Biscotti Kush",1,0.12
"Black D.O.G.",1,0.12
"Black dog",1,0.12
"Black domina",1,0.12
"Black mamba",1,0.12
"Black mambo ",1,0.12
"Black triangle kush",1,0.12
"Blissful Wizard",1,0.12
"Blue cheese ",1,0.12
"blue dream",1,0.12
"Blue dream ",1,0.12
"Blue Dream ",1,0.12
"blue dreams",1,0.12
"Blue og",1,0.12
"blueberry kush",1,0.12
"Blueberry Kush",1,0.12
"Blueberry pie",1,0.12
"Blueberry Pie",1,0.12
"Blur Cheese",1,0.12
"Boost",1,0.12
"Bootylicious ",1,0.12
"Brownie scout",1,0.12
"Bruce Banner ",1,0.12
"Bruce Banner 4",1,0.12
"Brucebanner",1,0.12
"Bubba Kush (Indica)",1,0.12
"Bubba Kush Bk Indica",1,0.12
"Bubba x C99",1,0.12
"bubbak",1,0.12
"Buddah's Sister",1,0.12
"Buddah sister",1,0.12
"Buddah’s Sister",1,0.12
"Buddahs sister",1,0.12
"Buddas sister ",1,0.12
"buddha's sister",1,0.12
"Buddha's Sisters",1,0.12
"Buddha’s sister",1,0.12
"Cali O",1,0.12
"Cambodia",1,0.12
"Can't tell much difference",1,0.12
"Cannalope haze",1,0.12
"CBD 4:1",1,0.12
"CBD and 1-1 ",1,0.12
"CBD OG Kush ",1,0.12
"CBD Punch",1,0.12
"Cheese",1,0.12
"Cheesecake ",1,0.12
"Chem blends",1,0.12
"Chem Dawg",1,0.12
"Chem dawg ",1,0.12
"chem dawg/cheese",1,0.12
"chem dog",1,0.12
