"q21","What products/strains do you want that are not currentlyt available in your local dispensaries?","n =  881"
"response","count","percent_responded"
"None","43","4.88"
"N/A","19","2.16"
"N/a","18","2.04"
"none","17","1.93"
"n/a","10","1.14"
"Not sure","9","1.02"
"Unsure","6","0.68"
"Blue dream","5","0.57"
"don't know","5","0.57"
"Na","5","0.57"
"None ","5","0.57"
"unknown","5","0.57"
"dont know","4","0.45"
"Dont know","4","0.45"
"Durban Poison","4","0.45"
"I don’t know","4","0.45"
"Purple haze","4","0.45"
"Sour diesel","4","0.45"
"3 chems","3","0.34"
"Don't know","3","0.34"
"Moon rocks ","3","0.34"
"na","3","0.34"
"Northern Lights","3","0.34"
"not sure","3","0.34"
"Not sure ","3","0.34"
"Strawberry Fields","3","0.34"
"Unknown","3","0.34"
"24k","2","0.23"
"all","2","0.23"
"Beverages","2","0.23"
"Beverages ","2","0.23"
"Blue Dream","2","0.23"
"Candyland","2","0.23"
"Cbd capsules","2","0.23"
"Charlottes web","2","0.23"
"Cheese","2","0.23"
"Coconut oil","2","0.23"
"Cookies and cream","2","0.23"
"Drinks","2","0.23"
"Edibles ","2","0.23"
"Gelato","2","0.23"
"Green crack","2","0.23"
"Harlequin ","2","0.23"
"Hash","2","0.23"
"Higher dose edibles","2","0.23"
"idk","2","0.23"
"Idk","2","0.23"
"Jack Herer","2","0.23"
"Lemon ice","2","0.23"
"Lemon Skunk","2","0.23"
"Live resin","2","0.23"
"Maui Wowie","2","0.23"
"Moonrock","2","0.23"
"More 10 and 20 mg lozenges","2","0.23"
"More sativas","2","0.23"
"no idea","2","0.23"
"Nothing","2","0.23"
"OG Kush","2","0.23"
"Pineapple express","2","0.23"
"Pineapple Express","2","0.23"
"Pineapple Express ","2","0.23"
"Rosin","2","0.23"
"Seeds","2","0.23"
"Shatter ","2","0.23"
"Skunk","2","0.23"
"Sour Diesel","2","0.23"
"Super silver haze","2","0.23"
"Underdawg","2","0.23"
"1-2 mg THC gummies","1","0.11"
"100% Haze ","1","0.11"
"2-4:1 CBD:THC flower strains ","1","0.11"
"2:1 in a 500 mg. and 1000 mg. cartridges","1","0.11"
"2:1 THC:CBD","1","0.11"
"20 to 1","1","0.11"
"24K","1","0.11"
"3D-3, 3D-6","1","0.11"
"3D-CBC","1","0.11"
"9 pound Hammer","1","0.11"
"A balm that works for bursitis.","1","0.11"
"A larger variety of edibles ","1","0.11"
"A lot","1","0.11"
"A peer is in process of getting licensed; I am one individual who is assisting the peer with “perfecting” the product for pain relief. I do not know strains ","1","0.11"
"aaa","1","0.11"
"acapulco gold","1","0.11"
"acapulco gold, strains from 50 years ago.  ","1","0.11"
"ACDC","1","0.11"
"ACDC, Harlequin, Cannatonic, 9Ib Hammer, Blackberry Kush, Purple Arrow, Blue Widow, Cataract Kush,  Mazar I Sharif ","1","0.11"
"ACDC, High CBD 2:1","1","0.11"
"Acidic cannabinoids","1","0.11"
"AeroInhaler","1","0.11"
"Affordable edibles! ","1","0.11"
"Affordable product","1","0.11"
"affordable THCA extracts,  terpenes highlighted on label","1","0.11"
"afghan kush","1","0.11"
"Afghani","1","0.11"
"Afghani Kush, Thai Stick, greater edibles selection","1","0.11"
"Agent orange flower ","1","0.11"
"Ak47","1","0.11"
"Alaskan Thunder Fuck, Frosted Freak  ","1","0.11"
"Alaskan Thunderfuck ","1","0.11"
"All-local dispensary offers proprietary strains only.  ","1","0.11"
"All CBD, zero THC","1","0.11"
"all good","1","0.11"
"All good","1","0.11"
"All of the strains in answer 17.","1","0.11"
"All of them ","1","0.11"
"All products as I do not have medical","1","0.11"
"alpapko gold","1","0.11"
"Am relatively happy with diversity of strains, but wish more more consistency (e.g., dispensary running out of a favorite for a long time)","1","0.11"
"Ambulance","1","0.11"
"Amnesia Haze","1","0.11"
"Amnesia Haze,larger and different variety of edibles","1","0.11"
"Any","1","0.11"
"Any God strains","1","0.11"
"Any high CBD strain or very balanced strains with a variety of cannabinoids rather than just high percent of THC","1","0.11"
"anything with high THC :-)","1","0.11"
"Banana bread ","1","0.11"
"Banana OG, Pineapple Jack, ","1","0.11"
"Barcelona ","1","0.11"
"Barry White","1","0.11"
"Better concentrate selection","1","0.11"
"Better tasting edibles","1","0.11"
"better tasting strains","1","0.11"
"Bho","1","0.11"
"BHO","1","0.11"
"Big bud skunk","1","0.11"
"Black Triangle","1","0.11"
"Black triangle kush","1","0.11"
"Blackberry hash honey vapes","1","0.11"
"Blissful wizard","1","0.11"
"Blissful Wizard, Alaskan Thunderfuck","1","0.11"
"blond hash not bubble hash","1","0.11"
"Blue azure","1","0.11"
"Blue Cheese ","1","0.11"
"blue dream","1","0.11"
"Blue Dream, Durban Poison, Sour Diesel, Super Silver Haze, Tangerine Haze","1","0.11"
"Blue Dreams ground flower","1","0.11"
"blueberry","1","0.11"
"Blueberry ","1","0.11"
"Blueberry and Hash (not bubble hash)","1","0.11"
"Blueberry anything ","1","0.11"
"Blueberry kush","1","0.11"
"Boost Vyb cartridges","1","0.11"
"Bootylicious ","1","0.11"
"Breakfast, Bay11","1","0.11"
"Brownies","1","0.11"
"Brownies, Cookies","1","0.11"
"bruce banner","1","0.11"
"Bruce Banner","1","0.11"
"Bruce banner, topicals, kief patties","1","0.11"
"Bubble Hash","1","0.11"
"Bubble Kush","1","0.11"
"Bubblegum skunk#1 ","1","0.11"
"Bulk vape oil, maybe in a loaded syringe. I would prefer to fill my own more quality cartridges that don't malfunction.  ","1","0.11"
"California dream","1","0.11"
"California super skunk #2","1","0.11"
"California weed","1","0.11"
"Can't think of any ","1","0.11"
"Can’t think of any","1","0.11"
"Canna butter","1","0.11"
"Cannabis-infused beverages","1","0.11"
"Cannabis gum","1","0.11"
"cannabis lube","1","0.11"
"Cannabis seeds","1","0.11"
"Cannatonic","1","0.11"
"Cannatonic flower vape, TD patches","1","0.11"
"Capsules","1","0.11"
"Capsules and more choices of edibles","1","0.11"
"capsules/tincture/oils w/o any sugar, ""natural"" flavors, binders, gums etc","1","0.11"
"Cartridge refills","1","0.11"
"Caviar joints","1","0.11"
"Caviar Prerolled Joints","1","0.11"
"CBD","1","0.11"
"CBD / THC mixed strains","1","0.11"
"CBD Flower","1","0.11"
"Cbd honey more choices of cbd strains","1","0.11"
"cbd oil","1","0.11"
"CBD only vape cartridges","1","0.11"
"CBD Salve, CBD Tinctures, CBD Bath Bombs (all low stock due to regulation)","1","0.11"
"Cbd tampons","1","0.11"
"CBD THC 1:1 flower","1","0.11"
"CBD Vape ","1","0.11"
"CBD Yummy ","1","0.11"
"cbd/thc honey","1","0.11"
"cbd/thc strains","1","0.11"
"Cbd/thc transdermal patch","1","0.11"
"CBDA / THCA line","1","0.11"
"Chad bud acapulco gold and creeper","1","0.11"
"Charlotte's Web","1","0.11"
"charlottes Web","1","0.11"
"Chatlottes Web","1","0.11"
"Cheaper flower","1","0.11"
"Cheaper strains and cartridges ","1","0.11"
"Chemdawg","1","0.11"
"Chocolate Thai","1","0.11"
"Chocolates","1","0.11"
"Chocolope, more vegan/gluten free edibles","1","0.11"
"Christmas tree","1","0.11"
"Chuck og","1","0.11"
"CLEAR","1","0.11"
"Clones","1","0.11"
"clones, more beauty products, keif ","1","0.11"
"Clones, seeds","1","0.11"
"Columbian Gold","1","0.11"
"concentrate","1","0.11"
"Concentrates","1","0.11"
"Concentrates ","1","0.11"
"Cookies","1","0.11"
"Cookies ","1","0.11"
"Cookies and cream ","1","0.11"
"Cooking oil","1","0.11"
"dab rigs","1","0.11"
"dab rigs / gadgets to go with products I purchase, would just like greater strain variety in the dispensaries ","1","0.11"
"Dabbing wax","1","0.11"
"Deadhead OG","1","0.11"
"Destilste","1","0.11"
"Diamonds in sauce ","1","0.11"
"Diesel","1","0.11"
"Disolvable edibles","1","0.11"
"Distillates and live rosin ","1","0.11"
"do not know","1","0.11"
"Do not know.  Never been in one.","1","0.11"
"do not use dispensaries","1","0.11"
"Does not apply","1","0.11"
"don'[t know","1","0.11"
"Don't care","1","0.11"
"don't frequent dispensaries","1","0.11"
"Don't know of any","1","0.11"
"Don't really know","1","0.11"
"Don't shop at a dispensary ","1","0.11"
"don't use","1","0.11"
"Don’t go to a dispensary ","1","0.11"
"Don’t know","1","0.11"
"Don’t know ","1","0.11"
"Don’t mnow","1","0.11"
"Don’t shop at a dispensary ","1","0.11"
"Don’t use a dispensary ","1","0.11"
"Dont care for names","1","0.11"
"Dosi Dos","1","0.11"
"dr. grinspoon","1","0.11"
"drinks ","1","0.11"
"Drinks and more food ","1","0.11"
"Drinks that aren't 30$ a dose","1","0.11"
"Drinks, diamonds","1","0.11"
"drops","1","0.11"
"dry sift rosin that isn't crazy expensive","1","0.11"
"Durban poison ","1","0.11"
"Durban Poison ","1","0.11"
"Durban Poison, Maui Wowi, more old school strains/land races in general","1","0.11"
"Durbhan","1","0.11"
"Edible Options, high dose gummy/lozenges.","1","0.11"
"edibles","1","0.11"
"Energy bars   Chocolate bars.  Brownies.  ","1","0.11"
"Everything because recreational dispensaries aren’t open yet.","1","0.11"
"Everything. Dispensaries are poor overall supply right now ","1","0.11"
"Extreme Cream vape oil","1","0.11"
"Far higher CBD content at a lower price point","1","0.11"
"FECO","1","0.11"
"Fire OG","1","0.11"
"flo o g","1","0.11"
"flower and concentrates","1","0.11"
"Food","1","0.11"
"Fruit flavored lemon was nice ","1","0.11"
"Fruity pebbles","1","0.11"
"Fruity pebbles, headband, strawberry cough ","1","0.11"
"Full meals","1","0.11"
"GDP","1","0.11"
"Gel tabs ","1","0.11"
"GG","1","0.11"
"GG#4","1","0.11"
"GG4","1","0.11"
"girl scout cookie","1","0.11"
"Girl Scout cookies","1","0.11"
"Girl Scout Cookies","1","0.11"
"gluten free baked goods","1","0.11"
"Gluten free edibles","1","0.11"
"Gluten Free Edibles","1","0.11"
"Godfather OG","1","0.11"
"Grand Daddy Kush","1","0.11"
"Grand daddy purple ","1","0.11"
"Granddaddy Purple","1","0.11"
"grandpa's breath","1","0.11"
"Grape Ape","1","0.11"
"Grape Stomper in a high quality glass vape cartridge","1","0.11"
"Grape, strawberry","1","0.11"
"Green Crack","1","0.11"
"Green crack, fruity pebbles, deadhead, blue dreams, khalifa kush, etc. ","1","0.11"
"Green Crack, Skywalker","1","0.11"
"Green Monster","1","0.11"
"GSC","1","0.11"
"Gummies","1","0.11"
"Gummy bears and other editables ","1","0.11"
"Happy with the selection at bask","1","0.11"
"Harlequin flower, CBD topical rub isn’t sold at Sira Naturals ","1","0.11"
"Harliquin","1","0.11"
"hash","1","0.11"
"Hash- strawberry cough flower. Vape cartridges ","1","0.11"
"Hash ","1","0.11"
"hash not bubble","1","0.11"
"Hash plant mix","1","0.11"
"hashish","1","0.11"
"Hashish","1","0.11"
"Hashplant","1","0.11"
"Have never purchased from dispensary","1","0.11"
"Haven’t been. Can’t afford that ","1","0.11"
"Having a choice is still pretty new to me!","1","0.11"
"Hawaiian?","1","0.11"
"Hawaiin Mango Blueberry Thai","1","0.11"
"Haze","1","0.11"
"Headband","1","0.11"
"Headband and Bruce Banner","1","0.11"
"Headband, acdc","1","0.11"
"Heavy indica’s","1","0.11"
"Hemp Wick ","1","0.11"
"High-dose (therapeutic levels) CBD products at a much more affordable price point","1","0.11"
"High CBD","1","0.11"
"high cbd ","1","0.11"
"High CBD flower (esp. 2:1 CBD/THC strains)","1","0.11"
"high cbd gummies or chewy caramels with thc  2:1","1","0.11"
"High Dose Edibles (non tincture), vape cartridges that dont suck ","1","0.11"
"high thca hybrids","1","0.11"
"higher cbd low or no thc","1","0.11"
"Higher mg doseages for measured products, more indicas available on market","1","0.11"
"Higher mg edibles","1","0.11"
"Higher mg suppositories, chocolates","1","0.11"
"higher THC","1","0.11"
"Higher thc ","1","0.11"
"Higher thc content","1","0.11"
"Higher THC edibles","1","0.11"
"Hmmmm","1","0.11"
"home grower do not use dispensaries - overpriced","1","0.11"
"hybrid","1","0.11"
"HYDRO","1","0.11"
"i'm good","1","0.11"
"I'm not familiar enough yet with different stains available in tinctures","1","0.11"
"I'm okay with what i use","1","0.11"
"I am unfortunately unfamiliar with strain names ","1","0.11"
"I can get anything through the community but I would like to see more medical research","1","0.11"
"I don't know","1","0.11"
"I don't know enough about strains","1","0.11"
"I don't know the names.","1","0.11"
"i don't know yet","1","0.11"
"I don't know.  Just know I like a hybrid with more indica","1","0.11"
"I don’t know enough to answer this question ","1","0.11"
"I dont know","1","0.11"
"i dont know whats in the dispensary as i dont have a medical card","1","0.11"
"I like to try new things, so nothing yet ","1","0.11"
"I want more reliable vape cartridges/ safer and easier to use dab rigs","1","0.11"
"I want more salves/topicals and personal lubricants. ","1","0.11"
"I would like my local dispensary to sell Everything related to cannbis. I would love them to sell pipes, bongs, patches, edibles and Clones!! It should be the local gethering center with advertisements for classes and meetings and etc. Clones should be available. ","1","0.11"
"I would like to see more sativa","1","0.11"
"I’m good ","1","0.11"
"Id like more selection of cbd flower","1","0.11"
"incredibles","1","0.11"
"Infused (indica) gummies","1","0.11"
"Infused beauty products ","1","0.11"
"Infused coconut oil","1","0.11"
"Infused coffee beans, Flavored cartridges, more candies, ","1","0.11"
"Infused soda","1","0.11"
"Inhaler","1","0.11"
"Inhalers like used for athsma with thc","1","0.11"
"Inzane in the membrane","1","0.11"
"Items to cook with, oils, flowers, the raw leaves","1","0.11"
"Jack Cookies","1","0.11"
"Jack Herear","1","0.11"
"Jack Herer, cheap RSO and rosin","1","0.11"
"Jack Herrar and family ","1","0.11"
"Jack Herrer","1","0.11"
"Jupiter joints ","1","0.11"
"Just CBD products. Not 1-1 products. ","1","0.11"
"Keefe","1","0.11"
"khalifa kush","1","0.11"
"kief","1","0.11"
"Kief","1","0.11"
"King tut","1","0.11"
"KoolGuyzCandz FireChewz","1","0.11"
"Kush","1","0.11"
"LA Confidential","1","0.11"
"Lambs breath ","1","0.11"
"Landrace Sativas","1","0.11"
"larger cartridges","1","0.11"
"Larger selection of flower","1","0.11"
"Larger variety of concentrates","1","0.11"
"Larger variety of edibles","1","0.11"
"Laughing Gas","1","0.11"
"Legacy strains. i.e. Kona Gold, Lamb's Breath, and other famous strains of the 60's and 70's.","1","0.11"
"Lemon Skunk,  and Hash Oil","1","0.11"
"Lemon Tincture","1","0.11"
"Lemoncello","1","0.11"
"light saber","1","0.11"
"Like to try new strains ","1","0.11"
"Local dispensaries for recreational use don't exist,  despite voter decision","1","0.11"
"Local selection is fairly limited; I usually just try whatever they have at the time. The top three that I listed above are inaccurate. I haven't tried enough strains to have favorites at this time.","1","0.11"
"Lollipops","1","0.11"
"Lotion","1","0.11"
"lotion and tincture","1","0.11"
"Lotion/salve","1","0.11"
"Low-carb edibles","1","0.11"
"Low carb edibles, Sugar-free edibles, Vegan edibles, Gluten-free edibles","1","0.11"
"lower prices","1","0.11"
"Lower prices because the disp.are making MILLIONS  and they should share profits.","1","0.11"
"Many! Afghani, cannotonnic, ","1","0.11"
"Marijuana available to recreational users","1","0.11"
"Massage oils ","1","0.11"
"Maui Wowie, Pineapple Express, Candyland","1","0.11"
"Medicated Sugar, Medicated Cooking Oil, VEGAN EDIBLES","1","0.11"
"Medusa, Master Kush","1","0.11"
"Micro-dosages","1","0.11"
"Mini pre rolls","1","0.11"
"Mission","1","0.11"
"Moon rocks","1","0.11"
"Moon rocks lol","1","0.11"
"moonrocks","1","0.11"
"Moonrocks","1","0.11"
"Moonrocks ","1","0.11"
"More 1:1 CBD:THC strains","1","0.11"
"more capsule varieties","1","0.11"
"More cartridge options","1","0.11"
"More cartridges, wider selection of flower.","1","0.11"
"More CBD","1","0.11"
"More CBD options","1","0.11"
"More CBD products","1","0.11"
"More CBD products- coffee, tea ....","1","0.11"
"More CBD products and lower dose edibles ","1","0.11"
"More CBD strains and concentrates ","1","0.11"
"More CBD/THC carts","1","0.11"
"More Chem Dog","1","0.11"
"More choice of edibles...","1","0.11"
"more choices","1","0.11"
"More concentrate variety ","1","0.11"
"MORE CONCENTRATE VARIETY ","1","0.11"
"More edible choices ","1","0.11"
"more edible choices, more concentrate choices","1","0.11"
"More edible options that are easier to dose","1","0.11"
"more edibles","1","0.11"
"More edibles","1","0.11"
"More edibles ","1","0.11"
"More edibles that are low in sugar. ","1","0.11"
"More flower choices  both indica and sativa . I would like to be able to consume in an social style establishment. ","1","0.11"
"More flower strains some times there’s only 3 choices ","1","0.11"
"More full spectrum organic CBD and organic cbn ","1","0.11"
"More Haze","1","0.11"
"More high thc 1:1","1","0.11"
"More higher potency edibles","1","0.11"
"More hybrids","1","0.11"
"More Indica flower (ground)","1","0.11"
"more indica only strains","1","0.11"
"More indica selections ","1","0.11"
"more indica shatter kinds","1","0.11"
"More Indica strains and less Sativa strains.","1","0.11"
"More infused beverage options","1","0.11"
"More live rosin","1","0.11"
"more lotions","1","0.11"
"More lotions","1","0.11"
"More microdose edibles ","1","0.11"
"more mini pre-roll varieties","1","0.11"
"More of a variety of topicals","1","0.11"
"more rosin and other solventless concentrates","1","0.11"
"More Rubi Pod options, more edible options.","1","0.11"
"more sativa","1","0.11"
"More sativa","1","0.11"
"More sativa options","1","0.11"
"more Sativa varieties ","1","0.11"
"More sativas and more variety of smokable products like mini-joints. Less distillate and more full spectrum oils. ","1","0.11"
"More sativas would be nice. Cheaper prices would be good too. Overall I'm happy tho","1","0.11"
"More spa products","1","0.11"
"More strains from the west coast","1","0.11"
"More topical and more edibles","1","0.11"
"More topicals","1","0.11"
"More vape cartridge selection ","1","0.11"
"More variety","1","0.11"
"More variety in edible s and topicals","1","0.11"
"More variety in live concentrates and better terp sauce","1","0.11"
"More variety of edible treats","1","0.11"
"more variety of edibles","1","0.11"
"More variety of edibles","1","0.11"
"Most of them. My dispensary has a total of 8 strains, that's it","1","0.11"
"much more potent edibles and tools/bowls/glassware to go with all the shatter and flower","1","0.11"
"multi flavored cubies","1","0.11"
"my 3 favorite strains","1","0.11"
"My strains are always available, home grown ","1","0.11"
"N/ A","1","0.11"
"N/a - do not buy from dispensaries","1","0.11"
"N/A at this time","1","0.11"
"Na ","1","0.11"
"NEED HIGH THC LEVEL FLOWER","1","0.11"
"Never been to a dispensary","1","0.11"
"never been to one","1","0.11"
"Newbie - not sure","1","0.11"
"Night Terror","1","0.11"
"no idea - why is this question required?","1","0.11"
"No idea. Use CBD oil","1","0.11"
"No local dispensaries. Have to drive an hour to closest.","1","0.11"
"No option ","1","0.11"
"None - I have access to a wealth of options and variety","1","0.11"
"None come to mind?","1","0.11"
"None I can think of","1","0.11"
"None I know of ","1","0.11"
"none that I can think of","1","0.11"
"None that I know of.","1","0.11"
"Northern lights ","1","0.11"
"Northern lights Sweet tooth","1","0.11"
"Not applicable","1","0.11"
"Not enough variety in edibles both from mg and products in general","1","0.11"
"Not sure at this point","1","0.11"
"Not sure what’s in my tincture ","1","0.11"
"Not sure yet","1","0.11"
"Not sure, different cross breeds or hybrids...","1","0.11"
"not sure, mostly satisfied with what is at dispensaries","1","0.11"
"Not sure, willing to try new things ","1","0.11"
"Nothing I can think of","1","0.11"
"nothing specific. Anything over 25% TAC...","1","0.11"
"NYC sour d ","1","0.11"
"Og kush","1","0.11"
"Oil","1","0.11"
"Oils lotions ","1","0.11"
"Older pure strains, Skunk #1, Northern lights, etc.","1","0.11"
"Organic & Pesticide free ","1","0.11"
"PANAMA RED , ACUPOLCO GOLD","1","0.11"
"panama red, gold","1","0.11"
"patch","1","0.11"
"Patches, inhalers","1","0.11"
"Pax new Era","1","0.11"
