"q61","What is the highest degree or level of school you have completed? If you are currently enrolled in school, please indicate the highest degree you have recieved.","n =  913"
"response","count","percent_responded"
"Bachelors degree","256","28.04"
"Some college, no degree","234","25.63"
"High school degree or equivalent (GED)","124","13.58"
"Masters degree","120","13.14"
"Associate degree","100","10.95"
"Professional degree (MD, JD, DDS, DVM)","22","2.41"
"Prefer not to answer","21","2.3"
"Doctorate (Ph.D., EdD, etc)","18","1.97"
"Less than high school diploma","18","1.97"
