"response","count","percent_responded"
"Blue Dream",24,1.86
"Indica",23,1.79
"Sativa",22,1.71
"Sour Diesel",20,1.55
"Bruce Banner",14,1.09
"Blue dream",13,1.01
"Sour diesel",13,1.01
"Gorilla glue",11,0.85
"GG4",10,0.78
"Gorilla Glue",10,0.78
"?",9,0.7
"GG#4",9,0.7
"Jack Herer",8,0.62
"Northern Lights",8,0.62
"Trainwreck",8,0.62
"ACDC",7,0.54
"blue dream",7,0.54
"CBD",7,0.54
"Green crack",7,0.54
"indica",7,0.54
"Kush",7,0.54
"OG Kush",7,0.54
"Tangie",7,0.54
"White Widow",7,0.54
"Don’t know",6,0.47
"Gg4",6,0.47
"sour diesel",6,0.47
"Sour diesel ",6,0.47
"Blue dream ",5,0.39
"Blueberry",5,0.39
"Cannatonic",5,0.39
"Chocolope",5,0.39
"Girl Scout Cookies",5,0.39
"Grape God",5,0.39
"Lemon Jeffery",5,0.39
"Sweet tooth",5,0.39
"Sweet Tooth",5,0.39
"Bubba Kush",4,0.31
"Buddha's Sister",4,0.31
"Chem Dawg",4,0.31
"Double Black Domina",4,0.31
"Durban Poison",4,0.31
"GDP",4,0.31
"Girl Scout Cookie",4,0.31
"Golden Goat",4,0.31
"Gorilla Glue #4",4,0.31
"Granddaddy Purple",4,0.31
"GSC",4,0.31
"Harlequin",4,0.31
"Jack herer",4,0.31
"Lemon Jeffrey",4,0.31
"Meltdown",4,0.31
"n/a",4,0.31
"Northern lights",4,0.31
"Pineapple Express",4,0.31
"sativa",4,0.31
"Skywalker Kush",4,0.31
"Tangerine Haze",4,0.31
"unknown",4,0.31
"AK-47",3,0.23
"Bio diesel",3,0.23
"Blue dreams",3,0.23
"Cheese",3,0.23
"Chemdawg",3,0.23
"Cinderella 99",3,0.23
"Critical mass",3,0.23
"Domnesia",3,0.23
"dont know",3,0.23
"Flo",3,0.23
"GG",3,0.23
"Green Crack",3,0.23
"Hawaiian Spice",3,0.23
"Headband",3,0.23
"hybrid",3,0.23
"Hybrid",3,0.23
"Hybrid ",3,0.23
"Lemon Jeffrey ",3,0.23
"Lemon meringue",3,0.23
"Mimosa",3,0.23
"Moonrise",3,0.23
"Mr. Clean",3,0.23
"N/a",3,0.23
"Night Nurse",3,0.23
"Not sure",3,0.23
"og kush",3,0.23
"Og kush",3,0.23
"Sour Tangie",3,0.23
"Star 91 #8",3,0.23
"Strawberry Fields",3,0.23
"Super Lemon Haze",3,0.23
"24K",2,0.16
"ac/dc",2,0.16
"AC/DC",2,0.16
"Acdc",2,0.16
"Afghan",2,0.16
"Bio deisel",2,0.16
"Bio Diesel",2,0.16
"Black Mamba",2,0.16
"Black Triangle Kush",2,0.16
"Blissful Wizard",2,0.16
"Blue OG",2,0.16
"Blueberry ",2,0.16
"Buddha’s Sister",2,0.16
"C99",2,0.16
"Cbd",2,0.16
"Cherry Pie",2,0.16
"Chocolate Oranges",2,0.16
"Cinderella",2,0.16
"Clemintine",2,0.16
"Cookie Pebbles",2,0.16
"Cookies and cream ",2,0.16
"Diesel",2,0.16
"don't know",2,0.16
"Durban poison",2,0.16
"Facewreck",2,0.16
"Fire OG",2,0.16
"Flo OG",2,0.16
"gg",2,0.16
"Gg",2,0.16
"gg#4",2,0.16
"Gg#4",2,0.16
"Ghost Train Haze",2,0.16
"Girl Scout ",2,0.16
"girl scout cookie",2,0.16
"Girl scout cookie",2,0.16
"Girl Scout cookie",2,0.16
"girl scout cookies",2,0.16
"Girl Scout cookies ",2,0.16
"Granddaddy purple",2,0.16
"Grape god",2,0.16
"green crack",2,0.16
"Harlequin ",2,0.16
"Highwayman",2,0.16
"home grown",2,0.16
"I don't know",2,0.16
"idk",2,0.16
"Indica ",2,0.16
"Jack Pine",2,0.16
"Jilly Bean",2,0.16
"Just use edibles",2,0.16
"Katsu Bubba Kush",2,0.16
"kush",2,0.16
"LA Confidential",2,0.16
"Lambs bread",2,0.16
"Las Vegas Bubba Kush",2,0.16
"Lemon ",2,0.16
"lemon meringue",2,0.16
"Lemon Meringue",2,0.16
"Lemon meringue ",2,0.16
"Lemon Meringue ",2,0.16
"lemon skunk",2,0.16
"Lemon Skunk",2,0.16
"Master Kush",2,0.16
"Meltdown ",2,0.16
"N/A",2,0.16
"na",2,0.16
"Na",2,0.16
"Night nurse",2,0.16
"no preference",2,0.16
"none",2,0.16
"northern lights",2,0.16
"Northern lights ",2,0.16
"Peach Puree",2,0.16
"Purple haze",2,0.16
"Purple kush",2,0.16
"Sacari",2,0.16
"Skunk ",2,0.16
"Sour D",2,0.16
"Strawberry Cough",2,0.16
"Strawberry Lemonade",2,0.16
"Strawberry Pebbles",2,0.16
"Sunshine Daydream",2,0.16
"Train Wreck",2,0.16
"Tres sister",2,0.16
"Unknown",2,0.16
"white widow",2,0.16
" Gorilla cookies",1,0.08
" Grape God",1,0.08
" Northern Lights",1,0.08
".",1,0.08
"? I don’t know much about strains",1,0.08
"? Use 3/4 CBD to 1/4 THC ",1,0.08
"??",1,0.08
"???",1,0.08
"1",1,0.08
"1 to 1",1,0.08
"1:01",1,0.08
"1:1 THC:CBD",1,0.08
"2:01",1,0.08
"24k",1,0.08
"3 chems",1,0.08
"3D-3",1,0.08
"3D (sativa)",1,0.08
"707 truthband",1,0.08
"9 Lb Hammer",1,0.08
"9 lb. Hammer",1,0.08
"9lb hammer",1,0.08
"aaa",1,0.08
"AC DC",1,0.08
"Ac/Dc",1,0.08
"Acapulco Gold",1,0.08
"Afghan kush",1,0.08
"AJ Sour Diesel",1,0.08
"AK 47",1,0.08
"Ak47",1,0.08
"AK47",1,0.08
"Alaskan Thunder Fuck ",1,0.08
"all",1,0.08
"All",1,0.08
"Amnesia ",1,0.08
"Amnesia haze",1,0.08
"Amnesia Haze",1,0.08
"Amnesia Lemon",1,0.08
"any high CBD",1,0.08
"any hybrid",1,0.08
"Any I get my hands on",1,0.08
"any Indica",1,0.08
"Any Indica",1,0.08
"Any indica higher thc %",1,0.08
"any indicta",1,0.08
"any kush",1,0.08
"any, really doesn't matter to me which",1,0.08
"Apollo 13 by Brother's Grimm",1,0.08
"ASH ",1,0.08
"ATF",1,0.08
"Auto amnesia xxl ",1,0.08
"Banana Kush",1,0.08
"Banana split",1,0.08
"Banana Split",1,0.08
"Bangin' Ticket",1,0.08
"Barcelona ",1,0.08
"bask blend",1,0.08
"Because I buy non-regulated, I'm not always sure what my strain is.",1,0.08
"Berry gelato",1,0.08
"Berry Gelato",1,0.08
"Bhudda",1,0.08
"Bianca",1,0.08
"Bio Deisel",1,0.08
"Bio diesel ",1,0.08
"Bio Diesel ",1,0.08
"Biodiesel ",1,0.08
"black d.o.g.",1,0.08
"Black d.o.g.",1,0.08
"Black dog",1,0.08
"black mamba",1,0.08
"Black mamba",1,0.08
"black raspberry",1,0.08
"Black Raspberry",1,0.08
"Blackberry ",1,0.08
"BlackBerry White widow",1,0.08
"blissful wizard",1,0.08
"Blue ",1,0.08
"Blue berry",1,0.08
"Blue Cheese",1,0.08
"Blue cheese ",1,0.08
"Blue dragon",1,0.08
"Blue Mystiq",1,0.08
"blue nina",1,0.08
"blueberry",1,0.08
"blueberry headband",1,0.08
"Blueberry kush",1,0.08
"Blueberry og",1,0.08
"bluedream",1,0.08
"Boaty McBoatface(CBD Medihaze)",1,0.08
"Boodah sister",1,0.08
"Brownie Scout ",1,0.08
"BRUCE BANNER",1,0.08
"Bruce banner ",1,0.08
"Bruce Banner ",1,0.08
"Bruce banner #3",1,0.08
"Bubba kush LV",1,0.08
"Bubble Gum",1,0.08
"Bubblegum",1,0.08
"Buckeye Purple",1,0.08
"Buddha's  sister",1,0.08
"Buddha's sister",1,0.08
"Buddha sister ",1,0.08
"Buddha’s Sister ",1,0.08
"Buddhas sister ",1,0.08
"California Kush",1,0.08
"California Orange ",1,0.08
"Candy Chem",1,0.08
"candy kush ",1,0.08
"Candyland",1,0.08
"Cannabis sativa",1,0.08
"canntrust cbd oil",1,0.08
"Catatonic",1,0.08
"Cbd 1:1",1,0.08
"CBD 1:1",1,0.08
"CBD Critical Mass",1,0.08
"CBD full spectrum",1,0.08
"CBD Hemp Oil",1,0.08
"CBD oil",1,0.08
"CBD/THC 1-1",1,0.08
"CBD:THC",1,0.08
"Chad Bud",1,0.08
"Charlottes web ",1,0.08
"Chem",1,0.08
"chem dawg",1,0.08
"Chem dawg",1,0.08
"Chem Dawg #4",1,0.08
"Chemdawg 91",1,0.08
"Chocalope",1,0.08
"chocolate cream",1,0.08
"Chuck og",1,0.08
"Chuck OG",1,0.08
"Cinderella99",1,0.08
"cinex",1,0.08
"Cinex",1,0.08
"Cinex ",1,0.08
"Citrique",1,0.08
"Citrix",1,0.08
"Citrus sap ",1,0.08
"clementine ",1,0.08
"Congolese",1,0.08
"Cookie pebbles",1,0.08
"cookies & cream",1,0.08
"Cookies & cream",1,0.08
"cookies creem",1,0.08
"Corn bread",1,0.08
"Corn bread ",1,0.08
"Cornbread",1,0.08
"Cotton Candy",1,0.08
"Crew Shark with CBD (Indica with high CBD)",1,0.08
"critical mass",1,0.08
"Critical Mass",1,0.08
"Critical OG",1,0.08
"Critical Sensei Star",1,0.08
"Cw cbd hemp oil ",1,0.08
"Deathstar",1,0.08
"Deep chunkolate",1,0.08
"deisel",1,0.08
"Derban poison",1,0.08
"Desert Diesel",1,0.08
"Diesel ",1,0.08
"Do-si-do",1,0.08
"Do not use",1,0.08
