"response","count","percent_responded"
"Blue Dream",18,1.65
"Indica",14,1.28
"Sour Diesel",12,1.1
"?",9,0.82
"Blue dream",8,0.73
"Facewreck",8,0.73
"OG Kush",8,0.73
"Blueberry",7,0.64
"Girl Scout Cookies",7,0.64
"GSC",7,0.64
"Tangie",7,0.64
"White Widow",7,0.64
"Bruce Banner",6,0.55
"Durban Poison",6,0.55
"Gorilla Glue",6,0.55
"Grape God",6,0.55
"Jack Herer",6,0.55
"blue dream",5,0.46
"Blueberry ",5,0.46
"Girl Scout Cookie",5,0.46
"gorilla glue",5,0.46
"Gorilla glue",5,0.46
"Killer Queen",5,0.46
"Kush",5,0.46
"Mimosa",5,0.46
"Na",5,0.46
"Pineapple Express",5,0.46
"White widow",5,0.46
"ACDC",4,0.37
"Flo",4,0.37
"GG4",4,0.37
"Gorilla Glue #4",4,0.37
"Granddaddy Purple",4,0.37
"Haze",4,0.37
"Highwayman",4,0.37
"Hindu Kush",4,0.37
"Jack Herrer",4,0.37
"n/a",4,0.37
"Night Nurse",4,0.37
"sativa",4,0.37
"Sativa",4,0.37
"Sweet tooth",4,0.37
"Tangerine Haze",4,0.37
"Trainwreck",4,0.37
"Amnesia Haze",3,0.27
"Bio Diesel",3,0.27
"Blue OG",3,0.27
"Bubba Kush",3,0.27
"CBD",3,0.27
"Cherry Pie",3,0.27
"Chocolate Oranges",3,0.27
"Critical Kush",3,0.27
"Death Star",3,0.27
"Gelato",3,0.27
"GG",3,0.27
"Grand daddy purple",3,0.27
"Granddaddy purple",3,0.27
"Grape god",3,0.27
"Guava D",3,0.27
"Headband",3,0.27
"Hybrid",3,0.27
"indica",3,0.27
"Lee Roy",3,0.27
"Lemon Haze",3,0.27
"Lemon meringue ",3,0.27
"Master Kush",3,0.27
"Northern Lights",3,0.27
"Not sure",3,0.27
"Sativa ",3,0.27
"sour diesel",3,0.27
"Stardawg",3,0.27
"Sweet Tooth",3,0.27
"Wedding Cake",3,0.27
"Afghani",2,0.18
"any hybrid",2,0.18
"Any sativa",2,0.18
"Berry Gelato",2,0.18
"Big Bud",2,0.18
"Black dog",2,0.18
"Blueberry Cookies ",2,0.18
"Blueberry Kush",2,0.18
"Bubba kush",2,0.18
"Bubblegum",2,0.18
"Buddha's Sister",2,0.18
"Cheese",2,0.18
"Chem Dawg",2,0.18
"Chocolate orange",2,0.18
"Chocolate oranges",2,0.18
"Chocoloupe",2,0.18
"Citrix",2,0.18
"Cookie Pebbles",2,0.18
"Cookies and Cream",2,0.18
"Cornbread",2,0.18
"don't know",2,0.18
"Double Stuffed",2,0.18
"Durban poison",2,0.18
"Durban poison ",2,0.18
"Durban Poison ",2,0.18
"Fire OG",2,0.18
"flo og",2,0.18
"GG#4",2,0.18
"gg4",2,0.18
"Gg4",2,0.18
"Ghost Train Haze",2,0.18
"Girl Scout cookies",2,0.18
"Gorilla Glue ",2,0.18
"Grand Daddy Purple",2,0.18
"Grandaddy purple",2,0.18
"Green crack",2,0.18
"Green Crack",2,0.18
"Harlequin",2,0.18
"Harlequin ",2,0.18
"headband",2,0.18
"hybrid",2,0.18
"Idk",2,0.18
"Jack frost",2,0.18
