"q6","What symptoms for the primary condition do you use cannabis to treat? Please select all that apply.","n =  1292"
"response","count","percent_responded"
"Sleep","870","67.34"
"Anxiety","834","64.55"
"Pain","821","63.54"
"Depression","641","49.61"
"Inflammation","518","40.09"
"Headache","341","26.39"
"Nausea","288","22.29"
"Spasms","269","20.82"
"Attention/concentration","243","18.81"
"Appetite/weight","214","16.56"
"Aggression","172","13.31"
"Other (please specify)","111","8.59"
"Skin conditions","64","4.95"
"Ocular pressure","41","3.17"
"Drug withdrawl","36","2.79"
"No Symptoms","36","2.79"
"Mainia/psychosis","32","2.48"
"Respiratory","25","1.93"
"Seizures","25","1.93"
