"q7","How does cannabis help your daily life? (Please select all that apply)","n =  1292"
"response","count","percent_responded"
"Generally helps with quality of life","989","76.55"
"Helps with psychological symptoms (e.g. anxiety, stress, calm, sadness, energy)","979","75.77"
"Helps with physical symptoms (e.g. body pains, function, sensation)","934","72.29"
"Helps to avoid starting other medicines (including opiates)","446","34.52"
"Helps to reduce use of other prior medicines (non-opiates)","422","32.66"
"Helps to reduce use of alcohol","381","29.49"
"Helps to reduce use of opiates","239","18.5"
"Helps to reduce us of tobacco","152","11.76"
"Other (please specify)","72","5.57"
"Does not help my daily life","19","1.47"
