"q55","What is your age in years?","n =  723  avg =  35.022"
"response","count","percent_responded"
"35","40","5.53"
"40","38","5.26"
"30","37","5.12"
"39","32","4.43"
"28","31","4.29"
"36","31","4.29"
"29","30","4.15"
"32","28","3.87"
"41","27","3.73"
"33","26","3.6"
"37","25","3.46"
"38","24","3.32"
"42","24","3.32"
"47","24","3.32"
"23","22","3.04"
"27","22","3.04"
"48","22","3.04"
"31","21","2.9"
"43","21","2.9"
"45","21","2.9"
"49","21","2.9"
"24","20","2.77"
"34","20","2.77"
"46","20","2.77"
"21","19","2.63"
"25","19","2.63"
"26","19","2.63"
"44","18","2.49"
"22","15","2.07"
"20","2","0.28"
"12","1","0.14"
"14","1","0.14"
"16","1","0.14"
"19","1","0.14"
