"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","Tinctures","Salves/topicals","Transdermal patches","Suppositories","Capsules","Other (please specify)"
10615475788,"","","","","","","","","","",""
10384460168,"","","","26 - 50 mg","","","","","","",""
10247692900,"","","","","","","","","","",""
10232561621,"","","","5 mg or less","","","","","","",""
10230669640,"","","","","","","","","5 mg or less","",""
10230112524,"","","","","","","","101 - 200 mg","","",""
10229684451,"","","","101 - 200 mg","","","","","","5 mg or less",""
10229631055,"","","","","","","","","","26 - 50 mg",""
10229449136,"","","","5 mg or less","","","","","","",""
10229281307,"","","","","","","","","","",""
10219430081,"","","","","","","","","","",""
10192878974,"","","","","","","","","","",""
10189186912,"","","","5 mg or less","","","","","","",""
10188408371,"","","","","","","","","","",""
10180666815,"","","","","","","","","","",""
10164798083,"","","","6-25 mg","","","","","","",""
10152780535,"","","","6-25 mg","","","","","","5 mg or less",""
10145094441,"","","","51 - 100 mg","","","","","","",""
10142600591,"","","","5 mg or less","","","","","","",""
10137880777,"","","","","","","","","","",""
10134684832,"","","","","","","","","","",""
10131270007,"","","","","","","","","","",""
10129581312,"","","","","","","","","","",""
10128711809,"","","","201 - 500 mg","","","","","","",""
10127820444,"","","","","","","","","","",""
10119784107,"","","","","","","","","","",""
10115125310,"","","","5 mg or less","","","","","","",""
11111801761,"","","","5 mg or less","","","","","","",""
10617106666,"","","","26 - 50 mg","","","","","","",""
10585955967,"","","","51 - 100 mg","","","","","","",""
10444236346,"","","","5 mg or less","","","","","","",""
10291238913,"","","","","","","","","","",""
10230701658,"","","","6-25 mg","","","","","","",""
10229685334,"","","","","","","","","","",""
10229306258,"","","","6-25 mg","","","","","","",""
10224212235,"","","","6-25 mg","","","","","","",""
10206706929,"","","","","","","","","","",""
10191618664,"","","","201 - 500 mg","","","","","","",""
10180645404,"","","","5 mg or less","","","","","","51 - 100 mg",""
10176219723,"","","","26 - 50 mg","","","","","","",""
10166513618,"","","","","","","","","","",""
10166125436,"","","","26 - 50 mg","","","","","","",""
10164188167,"","","","6-25 mg","","","","","","",""
10158941676,"","","","","","","","","","",""
10146296373,"","","","5 mg or less","","","","","","",""
10142701054,"","","","","","","","","","",""
10142601611,"","","","","","","","","","201 - 500 mg",""
10129349932,"","","","5 mg or less","","","","","","",""
10129124458,"","","","","","","","","","",""
10128374991,"","","","","","","","","","",""
10127412430,"","","","","","","","","","",""
10125676815,"","","","5 mg or less","","","","","","",""
10124369213,"","","","5 mg or less","","","","","","",""
