"q18","On average, how much do you spend (in US dollars) on consumable cannabis products each week?","n =  558  avg =  92.796"
"response","count","percent_responded"
"50","80","14.34"
"100","63","11.29"
"25","53","9.5"
"0","39","6.99"
"20","38","6.81"
"10","36","6.45"
"75","30","5.38"
"30","27","4.84"
"40","25","4.48"
"60","19","3.41"
"150","18","3.23"
"15","16","2.87"
"5","16","2.87"
"200","12","2.15"
"35","9","1.61"
"70","9","1.61"
"80","9","1.61"
"300","6","1.08"
"120","5","0.9"
"45","5","0.9"
"1","4","0.72"
"12","3","0.54"
"2","3","0.54"
"6","3","0.54"
"125","2","0.36"
"400","2","0.36"
"500","2","0.36"
"5000","2","0.36"
"7","2","0.36"
"90","2","0.36"
"1000","1","0.18"
"10000","1","0.18"
"16","1","0.18"
"18","1","0.18"
"22","1","0.18"
"24","1","0.18"
"28","1","0.18"
"280","1","0.18"
"3","1","0.18"
"33","1","0.18"
"38","1","0.18"
"4","1","0.18"
"43","1","0.18"
"55","1","0.18"
"65","1","0.18"
"8","1","0.18"
"85","1","0.18"
"95","1","0.18"
