"q19","What percent of your monthly cannabis purchases are through regulated sources (dispensaries, caregivers, etc.)","n =  558  avg =  73.136"
"response","count","percent_responded"
"100","337","60.39"
"0","87","15.59"
"99","13","2.33"
"50","12","2.15"
"1","10","1.79"
"90","10","1.79"
"98","8","1.43"
"10","6","1.08"
"5","6","1.08"
"80","6","1.08"
"30","5","0.9"
"97","5","0.9"
"20","4","0.72"
"51","3","0.54"
"25","2","0.36"
"39","2","0.36"
"40","2","0.36"
"53","2","0.36"
"60","2","0.36"
"64","2","0.36"
"7","2","0.36"
"88","2","0.36"
"95","2","0.36"
"12","1","0.18"
"15","1","0.18"
"16","1","0.18"
"19","1","0.18"
"2","1","0.18"
"21","1","0.18"
"24","1","0.18"
"27","1","0.18"
"28","1","0.18"
"3","1","0.18"
"33","1","0.18"
"35","1","0.18"
"47","1","0.18"
"48","1","0.18"
"49","1","0.18"
"52","1","0.18"
"54","1","0.18"
"55","1","0.18"
"58","1","0.18"
"6","1","0.18"
"66","1","0.18"
"70","1","0.18"
"72","1","0.18"
"73","1","0.18"
"75","1","0.18"
"86","1","0.18"
"9","1","0.18"
"94","1","0.18"
