"id","Most important selection criteria - Criteria","Second most important selection criteria - Criteria","Third most important selection criteria - Criteria"
10615475788,"THC Content","Other cannabinoids and terpenes","Quality"
10384460168,"THC Content","Cost/Price","CBD Content"
10247692900,"Other cannabinoids and terpenes","THC Content","CBD Content"
10232561621,"CBD Content","THC Content","Other cannabinoids and terpenes"
10230669640,"Quality","Cost/Price","THC Content"
10230112524,"Quality","Cost/Price","THC Content"
10229684451,"Other cannabinoids and terpenes","Format (flower, vape, edibles, etc)","Quality"
10229631055,"Cost/Price","CBD Content","THC Content"
10229449136,"THCa","THC Content","CBD Content"
10229281307,"THC Content","Quality","Format (flower, vape, edibles, etc)"
10219430081,"Quality","Favorite Strain","Cost/Price"
10192878974,"Quality","Quality","Quality"
10189186912,"Cost/Price","Format (flower, vape, edibles, etc)","THC Content"
10188408371,"Quality","",""
10180666815,"THC Content","Quality","Cost/Price"
10164798083,"Quality","CBD Content","Other cannabinoids and terpenes"
10152780535,"CBD Content","Format (flower, vape, edibles, etc)","Cost/Price"
10145094441,"THC Content","Quality","Cost/Price"
10142600591,"Quality","Cost/Price","THC Content"
10137880777,"THC Content","Cost/Price","CBD Content"
10134684832,"Cost/Price","THC Content","Favorite Strain"
10131270007,"Cost/Price","Cost/Price","Cost/Price"
10129581312,"THC Content","Format (flower, vape, edibles, etc)","Quality"
10128711809,"THC Content","Other cannabinoids and terpenes","Cost/Price"
10127820444,"Favorite Strain","Cost/Price","Format (flower, vape, edibles, etc)"
10119784107,"CBD Content","THC Content","Cost/Price"
10115125310,"Quality","CBD Content","THC Content"
11111801761,"Format (flower, vape, edibles, etc)","Cost/Price","Quality"
10617106666,"Cost/Price","THC Content","Format (flower, vape, edibles, etc)"
10585955967,"Favorite Strain","THC Content","Other cannabinoids and terpenes"
10444236346,"Quality","Cost/Price","Format (flower, vape, edibles, etc)"
10291238913,"THC Content","CBD Content","Cost/Price"
10230701658,"THC Content","CBD Content","Cost/Price"
10229685334,"Format (flower, vape, edibles, etc)","Favorite Strain","Cost/Price"
10229306258,"Quality","CBD Content","THCa"
10224212235,"THC Content","CBD Content","Cost/Price"
10206706929,"Other cannabinoids and terpenes","CBD Content","Quality"
10191618664,"THC Content","Quality","Cost/Price"
10180645404,"CBD Content","THC Content","Cost/Price"
10176219723,"THC Content","Cost/Price","Quality"
10166513618,"THC Content","Quality","Cost/Price"
10166125436,"Quality","Format (flower, vape, edibles, etc)",""
10164188167,"Quality","Favorite Strain","Format (flower, vape, edibles, etc)"
10158941676,"THC Content","Favorite Strain","Cost/Price"
10146296373,"THC Content","Cost/Price","Quality"
10142701054,"THC Content","Cost/Price","Quality"
10142601611,"Quality","Cost/Price","Favorite Strain"
10129349932,"THC Content","Cost/Price","Format (flower, vape, edibles, etc)"
10129124458,"Cost/Price","Format (flower, vape, edibles, etc)","CBD Content"
10128374991,"CBD Content","THC Content","Cost/Price"
10127412430,"Favorite Strain","THC Content","Cost/Price"
10125676815,"CBD Content","THC Content","Cost/Price"
10124369213,"THC Content","CBD Content","Other cannabinoids and terpenes"
10123609822,"CBD Content","THC Content","Other cannabinoids and terpenes"
10113725108,"Cost/Price","THC Content","Quality"
10113111202,"Format (flower, vape, edibles, etc)","THC Content","Cost/Price"
10441581754,"CBD Content","THC Content","Quality"
10304363791,"Favorite Strain","Quality","Format (flower, vape, edibles, etc)"
10273619577,"Quality","THC Content","CBD Content"
10270973993,"CBD Content","THC Content","Favorite Strain"
10233496428,"Quality","Cost/Price","THCa"
10230530276,"CBDa","Cost/Price","Quality"
10230323835,"Favorite Strain","CBD Content","THC Content"
10230318306,"CBD Content","CBDa","THCa"
10229534721,"THCa","Favorite Strain","CBDa"
10229467510,"Quality","Favorite Strain","Other cannabinoids and terpenes"
10215597692,"THC Content","CBD Content","Quality"
10192572679,"Quality","CBD Content","THC Content"
10184422610,"Cost/Price","CBD Content","Format (flower, vape, edibles, etc)"
10176527440,"THCa","Quality","Favorite Strain"
10172560254,"Quality","Format (flower, vape, edibles, etc)","Cost/Price"
10148937663,"Cost/Price","Quality","Format (flower, vape, edibles, etc)"
10145856040,"Quality","Favorite Strain","Format (flower, vape, edibles, etc)"
10142697202,"THC Content","CBD Content","Cost/Price"
10142594482,"THC Content","Cost/Price","CBD Content"
10133394849,"Favorite Strain","THC Content","CBD Content"
10131646744,"THC Content","Cost/Price","Quality"
10131449748,"Format (flower, vape, edibles, etc)","CBD Content","Cost/Price"
10130189844,"Format (flower, vape, edibles, etc)","THC Content","Quality"
10128053039,"THC Content","Cost/Price","Quality"
10121028147,"Favorite Strain","THC Content","Cost/Price"
10113930337,"THC Content","",""
10647197076,"THC Content","Quality","Format (flower, vape, edibles, etc)"
10550852127,"Quality","THC Content","Cost/Price"
10362985928,"THC Content","CBD Content","Cost/Price"
10312356549,"CBD Content","Quality","Cost/Price"
10247895568,"Quality","THC Content","Cost/Price"
10239109393,"Quality","CBD Content","THC Content"
10233167213,"Favorite Strain","THC Content","CBD Content"
10231071470,"THC Content","Format (flower, vape, edibles, etc)","Quality"
10231064575,"Quality","Cost/Price","Favorite Strain"
10231061737,"Quality","Cost/Price","Format (flower, vape, edibles, etc)"
10229917580,"THC Content","CBD Content","Quality"
10229702272,"THC Content","Other cannabinoids and terpenes","Quality"
10191486164,"THC Content","CBD Content","Cost/Price"
10147173145,"THC Content","Favorite Strain","Cost/Price"
10143088122,"Format (flower, vape, edibles, etc)","THC Content","Cost/Price"
10138206762,"Quality","THC Content","Format (flower, vape, edibles, etc)"
10134812473,"Favorite Strain","Other cannabinoids and terpenes","Quality"
10131630769,"THC Content","CBD Content","Quality"
10129907149,"CBD Content","Quality","Cost/Price"
10127959516,"Quality","Cost/Price","Favorite Strain"
10127840609,"CBD Content","Cost/Price","Favorite Strain"
