"q11","How do you prefer to use cannabis? Please select all that apply.","n =  242"
"response","count","percent_responded"
"Smoke flower","157","64.88"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","147","60.74"
"Vape cartridges","133","54.96"
"Tinctures","111","45.87"
"Salves/topicals","93","38.43"
"Vape flower","87","35.95"
"Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","84","34.71"
"Capsules","41","16.94"
"Transdermal patches","24","9.92"
"Suppositories","7","2.89"
"Other (please specify)","6","2.48"
