"q18","On average, how much do you spend (in US dollars) on consumable cannabis products each week?","n =  242  avg =  73.591"
"response","count","percent_responded"
"50","36","14.88"
"100","30","12.4"
"25","21","8.68"
"30","17","7.02"
"200","16","6.61"
"75","14","5.79"
"0","12","4.96"
"10","12","4.96"
"20","10","4.13"
"40","10","4.13"
"150","8","3.31"
"5","8","3.31"
"70","7","2.89"
"15","5","2.07"
"60","5","2.07"
"250","3","1.24"
"120","2","0.83"
"300","2","0.83"
"45","2","0.83"
"65","2","0.83"
"80","2","0.83"
"90","2","0.83"
"1","1","0.41"
"1000","1","0.41"
"110","1","0.41"
"125","1","0.41"
"16","1","0.41"
"18","1","0.41"
"2","1","0.41"
"33","1","0.41"
"35","1","0.41"
"4","1","0.41"
"400","1","0.41"
"55","1","0.41"
"58","1","0.41"
"7","1","0.41"
"800","1","0.41"
"85","1","0.41"
