"response","count","percent_responded"
"GSC",5,2.27
"Girl Scout Cookies",4,1.82
"Sativa",4,1.82
"Blue dream",3,1.36
"Blue Dream",3,1.36
"Cannatonic",3,1.36
"Gorilla Glue",3,1.36
"Grape God",3,1.36
"Green Crack",3,1.36
"OG Kush",3,1.36
"?",2,0.91
"Blueberry ",2,0.91
"Bubba Kush ",2,0.91
"Durban",2,0.91
"Facewreck",2,0.91
"Flo",2,0.91
"gorilla glue",2,0.91
"Gorilla glue",2,0.91
"Gorilla Glue #4",2,0.91
"Indica",2,0.91
"Mimosa",2,0.91
"Skywalker OG",2,0.91
"Trainwreck",2,0.91
"  ChemD",1,0.45
"1:01",1,0.45
"10mg CBD capsule ",1,0.45
"AC/DC ",1,0.45
"Acapulco Gold",1,0.45
"ACDC",1,0.45
"Ace of Spades",1,0.45
"Agent Orange",1,0.45
"Bakerstreet(Hindu Kush)",1,0.45
"Banana split ",1,0.45
"Bio Diesel",1,0.45
"Biscotti Kush",1,0.45
"Black triangle kush",1,0.45
"Blissful Wizard",1,0.45
"Blue automazar ",1,0.45
"Blue Cheese",1,0.45
"Blue cheese ",1,0.45
"blue dream",1,0.45
"Blue dream ",1,0.45
"blueberry",1,0.45
"Blueberry Cobbler CBD",1,0.45
"blueberry cookies",1,0.45
"Bruce Banner 4",1,0.45
"Bruce Danner",1,0.45
"Brucebanner",1,0.45
"Bubba Kush Bk Indica",1,0.45
"Bubba Kush vape cartridge",1,0.45
"Buddah's Sister",1,0.45
"Buddha's Sister",1,0.45
"Buddha's Sisters",1,0.45
"Buddha’s sister",1,0.45
"Bullfighter",1,0.45
"Cali O",1,0.45
"CBD",1,0.45
"CBD Blessings",1,0.45
"CBD indica hybrid",1,0.45
"CBD oils",1,0.45
"Charlottes web",1,0.45
"Chem blends",1,0.45
"Chemdawg",1,0.45
"chemdog",1,0.45
"CHOCOLOPE",1,0.45
"Citrique ",1,0.45
"Citrix",1,0.45
"Cookies n cream",1,0.45
"Cornbread",1,0.45
"Do-Si-Dos",1,0.45
"Don’t have one yet",1,0.45
"Double tangie banana",1,0.45
"Dourban poison",1,0.45
"Durban Poison",1,0.45
"Dutch dragon",1,0.45
"Flo OG",1,0.45
"float",1,0.45
"G13",1,0.45
"GDP",1,0.45
"Gg",1,0.45
"GG #6",1,0.45
"GG 4",1,0.45
"GG#4",1,0.45
"gg4",1,0.45
"GG4",1,0.45
"Ggg",1,0.45
"Ghost train",1,0.45
"Girl Scout Cookie",1,0.45
"Gods gift",1,0.45
"Gods Lemon Skunk",1,0.45
"Golden pineapple",1,0.45
"Gorilla Glue 4",1,0.45
"gorrilla glue",1,0.45
"grand daddy purp",1,0.45
"Grand daddy purple",1,0.45
"Grand daddy Purple",1,0.45
"Grand daddy purple ",1,0.45
"grandaddy purple",1,0.45
"Granddaddy Purple",1,0.45
"Grandpa's Breath",1,0.45
"GRAPE GOD",1,0.45
"Grateful Breath",1,0.45
"Harlequin",1,0.45
"Harlequin ",1,0.45
"Headband",1,0.45
"Heavenly Haze",1,0.45
"herijuana",1,0.45
"High THC, low CBD",1,0.45
"Hurkle ",1,0.45
"Hybrid",1,0.45
"Hybrid ",1,0.45
"Hybrid sativa dominate",1,0.45
"Indicol B",1,0.45
"jack herer",1,0.45
"Jack Herer",1,0.45
"Jack Pine",1,0.45
"Jack white lotus",1,0.45
"Jillybean",1,0.45
"Kush",1,0.45
"lemon diesel",1,0.45
"Lemon Jeffery",1,0.45
"lemon jeffrey",1,0.45
"Lemon jeffrey",1,0.45
"Lemon Jeffrey",1,0.45
"lower THC strains",1,0.45
"Mandarin Orange Chicken",1,0.45
"Master Kush",1,0.45
"Medussa",1,0.45
"Mickey Kush",1,0.45
"mimosa ",1,0.45
"N. Lights",1,0.45
"night nurse",1,0.45
"No favorite ",1,0.45
"Nom Nom",1,0.45
"Northern Lights",1,0.45
"Not sure",1,0.45
"Not sure ",1,0.45
"O.G.Kush",1,0.45
"Pangea",1,0.45
"Pineapple Afgany",1,0.45
"Pineapple Express ",1,0.45
"Pre 98 Bubba Kush",1,0.45
"purple chem",1,0.45
"Purple Chem",1,0.45
"Purple Kush",1,0.45
"Querkle (Indica dominant)",1,0.45
"Ringo's Gift",1,0.45
"Road kill skunk ",1,0.45
"Searching",1,0.45
"See above",1,0.45
"Smoke",1,0.45
"Sour",1,0.45
"sour diesel",1,0.45
"Sour diesel",1,0.45
"Sour Diesel",1,0.45
"Sour diesel ",1,0.45
"star dawg",1,0.45
"Star killer",1,0.45
"Strawberry Cough",1,0.45
"Super Bubba",1,0.45
"Super Lemon Haze",1,0.45
"Super Lemon Haze ",1,0.45
"Sweet Tooth",1,0.45
"sweet tooth ",1,0.45
"SweetTooth",1,0.45
"Tangie",1,0.45
"Tangie ",1,0.45
"tangie 2.1 CBD ",1,0.45
"Tangie 2:1",1,0.45
"THC",1,0.45
"They are all nasty",1,0.45
"Tikum Olam",1,0.45
"train wreck",1,0.45
"Tres sister",1,0.45
"Unknown",1,0.45
"unsure",1,0.45
"Walker Kush",1,0.45
"Watermelon fruit drops",1,0.45
"White lotus x jack",1,0.45
"White widow ",1,0.45
"WhiteRhino x Bubba",1,0.45
"XJ 13",1,0.45
"Zkittlez ",1,0.45
