"response","count","percent_responded"
"Blue Dream",7,3.48
"Indica",4,1.99
"Sour Diesel",4,1.99
"?",3,1.49
"blue dream",3,1.49
"Blue dream",3,1.49
"Facewreck",3,1.49
"Fire OG",2,1
"Gorilla Glue",2,1
"Headband",2,1
"Jack Herer",2,1
"Night Nurse",2,1
"Pineapple Express",2,1
"Sativa",2,1
"Tangie",2,1
"Trainwreck",2,1
"Alien Kush",1,0.5
"All Indica strains",1,0.5
"amnesia haze",1,0.5
"Any sativa",1,0.5
"Balanced CBD and THC",1,0.5
"Berry Gelato",1,0.5
"Big Bud",1,0.5
"BIG BUD",1,0.5
"Bio deisel",1,0.5
"Bio Desiel ",1,0.5
"Bio diesel",1,0.5
"Bio Diesel",1,0.5
"Black dog",1,0.5
"Black Dog",1,0.5
"Blackwater",1,0.5
"Blissful Wizard",1,0.5
"Blue Cheese (or Dream)",1,0.5
"Blue OG",1,0.5
"Blue Power (indica dominant)",1,0.5
"blueberry",1,0.5
"Blueberry",1,0.5
"Blueberry ",1,0.5
"Blueberry Haze",1,0.5
"Bootylicious",1,0.5
"Bruce Banner",1,0.5
"Bruce banner #3",1,0.5
"Bubba kush",1,0.5
"Captains cake",1,0.5
"CBD",1,0.5
"CBD Mixed",1,0.5
"Cheese",1,0.5
"Chem 4",1,0.5
"chem dog ",1,0.5
"Chemdawg",1,0.5
"Chemdog",1,0.5
"Cherry Pie",1,0.5
"Chocolate OG",1,0.5
"Chocolate oranges",1,0.5
"Chocolate Oranges",1,0.5
"chocolate oranges ",1,0.5
"Chronic Thunder",1,0.5
"Cindy 99",1,0.5
"Citrix",1,0.5
"Comatose",1,0.5
"Cookie Pebbles",1,0.5
"Cookies and Cream",1,0.5
"Cream",1,0.5
"Creeper",1,0.5
"Don’t have one yet",1,0.5
"Double Black Domina",1,0.5
"Double stuffed",1,0.5
"Durban Poisin",1,0.5
"Durban poison",1,0.5
"Durban Poison",1,0.5
"Dutchberry",1,0.5
"Feel Comfort Tincture",1,0.5
"Flo",1,0.5
"flo og",1,0.5
"For a favorite ",1,0.5
"French Toast ",1,0.5
"G13",1,0.5
"gdp or ktdawg",1,0.5
"GG",1,0.5
"GG4",1,0.5
"Ghost Train Haze",1,0.5
"girl scout cookie",1,0.5
"Girl Scout cookies",1,0.5
"Girl Scout Cookies",1,0.5
"God green crack",1,0.5
"gorilla glue",1,0.5
"Gorrilla Glue",1,0.5
"Grand daddy purple",1,0.5
"Granddaddy purple",1,0.5
"Grape Ape",1,0.5
"Grape god",1,0.5
"Grape God",1,0.5
"Green crack",1,0.5
"Green Goddess",1,0.5
"GSC",1,0.5
"Harlequin",1,0.5
"Hindu Kush",1,0.5
"Iced tea",1,0.5
"Indict Don Hybrids",1,0.5
"Jack blends",1,0.5
"Jack Herer ",1,0.5
"Jack Herrar ",1,0.5
"Jack herrer",1,0.5
"Jack pine",1,0.5
"Jackhare ",1,0.5
"jilly bean ",1,0.5
"Kosher kush",1,0.5
"Kosher Kush",1,0.5
"Kosher Tangie ",1,0.5
"KT Dawg",1,0.5
"Kush",1,0.5
"Last Jedi",1,0.5
"Lemon Alien",1,0.5
"Lemon Haze",1,0.5
"Lemon Jeffery",1,0.5
"Lemon meringue ",1,0.5
"Lemonskunk(DNA Genetics)",1,0.5
"Local sativa ",1,0.5
"lower THC strains",1,0.5
"Master Kush",1,0.5
"Meltdown ",1,0.5
"MOB",1,0.5
"Mother of berries",1,0.5
"Mother of berries cbd ",1,0.5
"mr. clean",1,0.5
"Night Train",1,0.5
"Nite Nurse",1,0.5
"NITE NURSE",1,0.5
"No favorite ",1,0.5
"Northern Lights",1,0.5
"Northern Lights Nl Indica",1,0.5
"Not sure",1,0.5
"Not Sure",1,0.5
"Og kush",1,0.5
"OG Kush",1,0.5
"OG kush ",1,0.5
"Orange Krush",1,0.5
"Others",1,0.5
"Peach Purée ",1,0.5
"Peach puree",1,0.5
"pineapple chunk",1,0.5
"Pink Panther ",1,0.5
"Poet's Walk ",1,0.5
"Poets walk",1,0.5
"Purple Haze ",1,0.5
"Purple Lamborghini ",1,0.5
"Scout Cookies",1,0.5
"See above ",1,0.5
"Shiva  skunk",1,0.5
"something goat or goat something- I forgot name",1,0.5
"sour diesel",1,0.5
"Sour Kush",1,0.5
"Sour Tsunami ",1,0.5
"Stardawg",1,0.5
"Strawberry Fields",1,0.5
"Strawberry pebbles",1,0.5
"Sunshine daydream",1,0.5
"Super Lemon Haze",1,0.5
"Sweet tooth",1,0.5
"Tahoe OG Kush",1,0.5
"tangerine haze",1,0.5
"Tangerine Haze",1,0.5
"Tangie Kush",1,0.5
"They are all nasty",1,0.5
"Unknown",1,0.5
"unsure",1,0.5
"Warlock ",1,0.5
"Wedding Cake",1,0.5
"white rhino",1,0.5
"White Rino",1,0.5
"White widow",1,0.5
"White Widow",1,0.5
