"id","Most important selection criteria - Criteria","Second most important selection criteria - Criteria","Third most important selection criteria - Criteria"
11320098769,"Favorite Strain","Format (flower, vape, edibles, etc)","THC Content"
11148895510,"THC Content","Cost/Price","Quality"
11111801761,"Format (flower, vape, edibles, etc)","Cost/Price","Quality"
10994127240,"Quality","Other cannabinoids and terpenes","Favorite Strain"
10617990640,"THC Content","Favorite Strain","Format (flower, vape, edibles, etc)"
10617352263,"Quality","Other cannabinoids and terpenes","Cost/Price"
10617106666,"Cost/Price","THC Content","Format (flower, vape, edibles, etc)"
10616891358,"Quality","THC Content","Other cannabinoids and terpenes"
10616000680,"THC Content","CBD Content","Cost/Price"
10615762014,"THC Content","CBD Content","Favorite Strain"
10615382686,"Favorite Strain","Quality","Cost/Price"
10585127234,"Cost/Price","Other cannabinoids and terpenes","Quality"
10544586314,"THC Content","Cost/Price","Quality"
10542229138,"Quality","Favorite Strain","Cost/Price"
10448976285,"Other cannabinoids and terpenes","THC Content","CBD Content"
10427038209,"Favorite Strain","THC Content","Quality"
10314764856,"Quality","Format (flower, vape, edibles, etc)","Cost/Price"
10312356549,"CBD Content","Quality","Cost/Price"
10311833804,"Format (flower, vape, edibles, etc)","Cost/Price","THC Content"
10304363791,"Favorite Strain","Quality","Format (flower, vape, edibles, etc)"
10301544217,"Cost/Price","Quality","Favorite Strain"
10291978182,"Quality","Other cannabinoids and terpenes","Favorite Strain"
10285851934,"Cost/Price","THCa","Format (flower, vape, edibles, etc)"
10282696179,"Format (flower, vape, edibles, etc)","CBD Content","THC Content"
10281129055,"Format (flower, vape, edibles, etc)","Cost/Price","THC Content"
10263513014,"THC Content","CBD Content","Other cannabinoids and terpenes"
10260087945,"Quality","Cost/Price","CBD Content"
10259196295,"Quality","Other cannabinoids and terpenes","Cost/Price"
10256517627,"Format (flower, vape, edibles, etc)","Quality","Cost/Price"
10253880384,"Cost/Price","CBD Content","THC Content"
10249664681,"Favorite Strain","Cost/Price","THC Content"
10247119003,"THC Content","Cost/Price","Format (flower, vape, edibles, etc)"
10239531679,"CBD Content","THC Content","Cost/Price"
10236321663,"CBD Content","THC Content","Format (flower, vape, edibles, etc)"
10236223392,"Quality","CBD Content","Other cannabinoids and terpenes"
10235638327,"Quality","Favorite Strain","Format (flower, vape, edibles, etc)"
10234579821,"Favorite Strain","CBD Content","Format (flower, vape, edibles, etc)"
10234061188,"CBD Content","Cost/Price","THC Content"
10233901115,"Quality","CBD Content","THC Content"
10233496428,"Quality","Cost/Price","THCa"
10233431423,"THC Content","CBD Content","Cost/Price"
10233142044,"Other cannabinoids and terpenes","Cost/Price","Quality"
10231985248,"Other cannabinoids and terpenes","CBD Content","Cost/Price"
