"q30","What are some barriers for you consuming cannabis? Please select all that apply.","n =  242"
"response","count","percent_responded"
"Money","145","59.92"
"Access to the right products","88","36.36"
"Stigma","76","31.4"
"Workplace testing or other policies","56","23.14"
"Place to consume cannabis","55","22.73"
"No barriers","44","18.18"
"Time required to get medical card or obtain products","32","13.22"
"Lack of knowledge","26","10.74"
"Other (please specify)","17","7.02"
"Previous bad experience","4","1.65"
