"q46","What information would you like to know related to cannabis to help you make a decision about what cannabis products to use? Please select all that apply.","n =  242"
"response","count","percent_responded"
"Different effects of different cannabinoids","192","79.34"
"Medical value of cannabis","148","61.16"
"Cultivation and extraction","132","54.55"
"Cannabis and pharmaceutical drug interactions","114","47.11"
"Cannabis genetics","107","44.21"
"Side effects of cannabis","71","29.34"
"Other (please specify)","27","11.16"
"Other (please list below)","16","6.61"
