"q11","How do you prefer to use cannabis? Please select all that apply.","n =  279"
"response","count","percent_responded"
"Smoke flower","217","77.78"
"Vape cartridges","192","68.82"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","181","64.87"
"Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","121","43.37"
"Vape flower","103","36.92"
"Tinctures","97","34.77"
"Salves/topicals","77","27.6"
"Capsules","43","15.41"
"Transdermal patches","20","7.17"
"Suppositories","8","2.87"
"Other (please specify)","2","0.72"
