"q19","What percent of your monthly cannabis purchases are through regulated sources (dispensaries, caregivers, etc.)","n =  279  avg =  80.473"
"response","count","percent_responded"
"100","173","62.01"
"0","28","10.04"
"50","10","3.58"
"90","10","3.58"
"80","5","1.79"
"85","5","1.79"
"95","4","1.43"
"75","3","1.08"
"97","3","1.08"
"99","3","1.08"
"20","2","0.72"
"30","2","0.72"
"40","2","0.72"
"45","2","0.72"
"88","2","0.72"
"94","2","0.72"
"1","1","0.36"
"11","1","0.36"
"13","1","0.36"
"16","1","0.36"
"19","1","0.36"
"24","1","0.36"
"35","1","0.36"
"39","1","0.36"
"48","1","0.36"
"51","1","0.36"
"52","1","0.36"
"53","1","0.36"
"56","1","0.36"
"59","1","0.36"
"60","1","0.36"
"64","1","0.36"
"7","1","0.36"
"70","1","0.36"
"73","1","0.36"
"82","1","0.36"
"84","1","0.36"
"87","1","0.36"
"96","1","0.36"
