"id","Most important selection criteria - Criteria","Second most important selection criteria - Criteria","Third most important selection criteria - Criteria"
11121905332,"Other cannabinoids and terpenes","Cost/Price","Quality"
11111801761,"Format (flower, vape, edibles, etc)","Cost/Price","Quality"
10937584160,"Quality","Format (flower, vape, edibles, etc)","Other cannabinoids and terpenes"
10633844023,"THC Content","Quality","Cost/Price"
10630387074,"THC Content","Other cannabinoids and terpenes","Format (flower, vape, edibles, etc)"
10626429877,"Cost/Price","THC Content","CBD Content"
10623964351,"Format (flower, vape, edibles, etc)","Favorite Strain","THC Content"
10621098231,"Cost/Price","THC Content","Format (flower, vape, edibles, etc)"
10617352263,"Quality","Other cannabinoids and terpenes","Cost/Price"
10615607693,"Format (flower, vape, edibles, etc)","Cost/Price","THC Content"
10614765881,"Other cannabinoids and terpenes","Favorite Strain","CBD Content"
10607912288,"Format (flower, vape, edibles, etc)","Favorite Strain","THC Content"
10572726875,"Cost/Price","Quality","THC Content"
10550852127,"Quality","THC Content","Cost/Price"
10498671034,"THC Content","Cost/Price","Quality"
10464834197,"THC Content","Quality","Format (flower, vape, edibles, etc)"
10463520639,"CBD Content","CBDa","Cost/Price"
10444236346,"Quality","Cost/Price","Format (flower, vape, edibles, etc)"
10427038209,"Favorite Strain","THC Content","Quality"
10390735914,"Quality","THC Content","Cost/Price"
10389539123,"THC Content","Quality","Cost/Price"
10361398461,"Favorite Strain","Quality","Cost/Price"
10338548186,"THC Content","Quality","Cost/Price"
10313041082,"THC Content","Cost/Price","Quality"
10312356549,"CBD Content","Quality","Cost/Price"
10308744405,"CBD Content","THC Content","Cost/Price"
10304447243,"Quality","Cost/Price","THC Content"
10288934828,"THC Content","Quality","Cost/Price"
10280513706,"THC Content","Favorite Strain","Format (flower, vape, edibles, etc)"
10263390124,"CBD Content","Other cannabinoids and terpenes","THC Content"
10260585584,"THC Content","Cost/Price","Quality"
10256517627,"Format (flower, vape, edibles, etc)","Quality","Cost/Price"
10256255317,"THC Content","Cost/Price","Quality"
10253887260,"THC Content","CBD Content","Cost/Price"
10249664681,"Favorite Strain","Cost/Price","THC Content"
10248394143,"CBD Content","THC Content","Other cannabinoids and terpenes"
