"q30","What are some barriers for you consuming cannabis? Please select all that apply.","n =  279"
"response","count","percent_responded"
"Money","178","63.8"
"Stigma","87","31.18"
"Access to the right products","82","29.39"
"Workplace testing or other policies","76","27.24"
"Place to consume cannabis","75","26.88"
"No barriers","40","14.34"
"Time required to get medical card or obtain products","40","14.34"
"Lack of knowledge","31","11.11"
"Other (please specify)","20","7.17"
"Previous bad experience","9","3.23"
