"q48","What are your general thoughts regarding the legalization of cannabis?","n =  277"
"response","count","percent_responded"
"About time","4","1.44"
"All for it","2","0.72"
"It's about time!","2","0.72"
"It should be legal","2","0.72"
"Positive ","2","0.72"
"Pro","2","0.72"
"100 for it","1","0.36"
"100% agree in medical use, want to see it legal for medical at the Federal level.  If it is legal for recreational use, users need to be at least 25 as it seems to have negative side effects more on a developing brain.  It is a lot safer than alcohol, but especially with a younger brain, it is not innocuous. ","1","0.36"
"100% positive.","1","0.36"
"100% pro","1","0.36"
"50/50 I want it to happen but I don’t want the standardization to limit quality. ","1","0.36"
"About time ","1","0.36"
"about time. ","1","0.36"
"Agree","1","0.36"
"As a medical patient I find access awesome but some of the dispensaries are more strict than others. SERA naturals for example is like fort nox and I feel as though I'm being treated like a criminal in there. Also, some of the workers at dispensaries (NETA) get personally offended if you don't like their product even if it is objectively not of good quality. It takes a bit to find places that have all around great quality products and selection. So far Revolutionary Clinics is my favorite but their edible selection isn't great.","1","0.36"
"As a UK resident, any move in the law to help me to access medicinal cannabis","1","0.36"
"As a Veteran with PTSD in a state where it isn't legal, I have to watch friends die due to opioid addictions rather than allow them to smoke a plant. Where is the logic in that? I don't smoke to get ""high"", I smoke to get ""normal"".  I am off of over 15 drugs with cannabis and I can be a father. Where on the ""legal"" drugs I was a zombie","1","0.36"
"As with any ingested substance that affects the body, there are risks for abuse and disuse, along with potential unintended social side effects, but when compared to other socially acceptable substances - notably alcohol - it is far less risky.  If nothing else, legalization should open up the doors for deep medical research which will hopefully provide effective alternatives to pharmaceuticals for many people.","1","0.36"
"Big supporter especially in the age of opioid abuse and the reluctance of medical providers to prescribe opioid for real, actual and accute every day pain","1","0.36"
"Black communities have been systematically targeted through historic illegal cannabis. Because of this, legalization has a social justice component that is relevant and important. I believe this is why it stayed illegal and punishment were bias between black and white communities. Post civil rights movement it was used as a systematic tool of oppression. ","1","0.36"
"Cannabis legalization and decriminalization across the country is long overdue. We need to stop locking up people of color over a plant and start generating tax revenue and open access to medical patients across the board.  ","1","0.36"
"Cannabis needs to be legalized in medical and recreational forms. Not only will the ill benefit from this, but an average citizen will as well. Cannabis as it is well know in The Community, is a harmless substance that is only illegal because of racism that occurred in the early days of America.     In other words Legalize It!","1","0.36"
"cannabis should be 100% legal on federal and state levels just like alcohol.","1","0.36"
"Cannabis should be legal in the USA and in the world.","1","0.36"
"Cannabis should be legalized federally across-the-board alcohol should be outlawed","1","0.36"
"Change the nomenclature, pot industry must rebrand if it ever wants to be truly legitimate. Keep recreational/medical separate units. I hope to god mj does not go down some big pharma path, but we must do something about the culture of weed (the names, the stereotypes) not overshadowing the medicinal benefits  that has helped countless people. I don't want to buy my cancer ridden grandma something called thunderfuck weed, can we call it like level 3, or chemo-easer or something not so blatant?! Also: DOJ-stay the FUCK out of this and go after the opioid crisis. I'm tired of seeing people OD on the street every single day. I'm tired of the needles, the nodding off in the middle of traffic, the sight of small children sitting alone in a car for hours while their parents are utter zombies. FIX THAT SHIT.  BEFORE YOU GO AFTER MOTHER NATURE.","1","0.36"
"Complete legalization!","1","0.36"
"completely supportive. it's about time. ","1","0.36"
"Corruption from government and pharmaceutical companies is the biggest impediment to legalization and public perception regarding its use.","1","0.36"
"Do it now","1","0.36"
"Do it!!","1","0.36"
"Everyone should have the right to treat their conditions ","1","0.36"
"Excellent idea...can't believe it has taken so long.  I'm 53  And this should have been done by the time I was 18.","1","0.36"
"Excellent, about time!!!","1","0.36"
"Excited that it finally happened ","1","0.36"
"Extremely happy","1","0.36"
"Extremely supportive of the safer option to pain management.","1","0.36"
"Fantastic ","1","0.36"
"finally","1","0.36"
"Finally","1","0.36"
"for it","1","0.36"
"For it","1","0.36"
"For me I'm a cannabis PT so I'm taking less medications and my lab work shows that my Kidney & Liver functions are in normal ranges after several years of going to Nephrologist and trying and changing meds to get my functions back under control. Give me cannabis take away the pills and the Nephrologist..my results are normal, I'm feeling healthier. Imagine that.. I feel also crime may be down, dealers maybe off the street less synthetic drugs , less deaths less ER visits less buses being used for senseless deaths or near deaths. I work in and Emergency Deptment we see what these other drugs do. Use to help get us out of the deficit,more and more people are smoking than drinking.  People smoke to much they get sleepy not fight, get mouthy create a seen.  Sell & tax it use the monies for the deficit, help the homeless, the sick, use for research Impeach Trump. ","1","0.36"
"Full legalization; regulation.  Give the tax funds to schools","1","0.36"
"General thoughts are about time ","1","0.36"
"Generally, it’s a good thing as it will de-stigmatize it and make researching it easier for the researchers.","1","0.36"
"Get it over with ","1","0.36"
"Good ","1","0.36"
"Good for adults","1","0.36"
"Great","1","0.36"
"Grow your own","1","0.36"
"Happy about it. Wish I had been on board sooner. ","1","0.36"
"Happy it’s about time. It has helped me get off my Lorazepam. 2 years.      ","1","0.36"
"Happy it’s legal and can get it from a safe source","1","0.36"
"Happy that it is finally recognized for medical purposes","1","0.36"
"Hurry up!!!!","1","0.36"
"I'm all for it ","1","0.36"
"I'm distressed that is has taken so long to legalize because I have been on prescriptions for decades and am concerned about what they have done to my health.","1","0.36"
"I'm for it and wish it was legal here. I think it will be legal in all states soon.  So far I have been able to find it here.  I'd LOVE to grow my own, and I would if it was legal here.","1","0.36"
"I've really suffered after moving from a place where I could legally access cannabis with a medical card to a place where it is criminalized and inaccessible. Additionally I no longer qualify for medicaid in this new state. Needless to say, my access to medical care and treatment has gone down considerably. Not only am I unable to get mental health care, I'm unable to properly self-medicate without legal dispensaries and strain specificity.    Criminalization of is a structural determinant of health. Given all the intersecting issues (mass incarceration, parental stress/child maltreatment, opioid epidemic) related to cannabis legalization, I think it's absurd that research is being limited on something with such incredible capacity to reduce health disparities. Legalizing cannabis would help individuals, families, communities, businesses, and health care systems. It's time for cannabis to be formally integrated into comprehensive, whole person health care.","1","0.36"
"I am a firm believer in legalizing cannabis","1","0.36"
"I am for it since nothing better helps my medical issues","1","0.36"
"I am hopeful it will benefit the general population and happy that we are finally at this point.","1","0.36"
"I am prolegalization and for %100 decriminalization. ","1","0.36"
"I am so grateful to have this available, I deal with a lot of anxiety and I do not like taking Clonozapam, or any other Chemical to help me with panic and anxiety attacks, with Cannabis I choose, how much to use, how the effects of being relaxed from a gumdrop, cookies, or flower at night, I dont have to settle myself down with half, or a full dose of a Chemical that is very, very sedating, no matter how much I take. ","1","0.36"
"I am totally in favor!","1","0.36"
"I am very excited, it has been a long time coming, I rather see many people relaxed and feeling good from a natural leaf, than with opiods or alcohol","1","0.36"
"I am very pro legalization!","1","0.36"
"I believe it should be 100% legal and regulated like alcohol, and everybody should be allowed to grow their own.","1","0.36"
"I believe it to be safer than tobacco and alcohol, therefore more deserving of legalization than those products.","1","0.36"
"I believe legalizing cannabis is very important for the medical side, so in the future to get it out of a schedule one designation.  Need for insurance company's to cover the costs.","1","0.36"
"I believe that everyone 21 and older should have access to cannabis as long as it does not deter patients from having access to their medicine. ","1","0.36"
"I believe that there are many more health benefits than there are negative. It helps better than any anti-depressant that I've ever used.","1","0.36"
"I disagree with many of the the stances the government takes on social issues, the war on drugs is no exception.","1","0.36"
"I don't like the Rec side of it in CA. ","1","0.36"
"I feel it should be federally legal across the country","1","0.36"
"I feel it should be legalized world wide","1","0.36"
"I feel like its a fine idea. Its safer than alcohol and provides tons of benefits","1","0.36"
"I fully support it and believe it should be legalized and regulated nation wide. ","1","0.36"
"I HOPE IT DOES NOT IMPACT THE MEDICAL COMMUNITY WITH OUR NEEDS. ","1","0.36"
"I hope it drives down prices for medicinal users","1","0.36"
"i like it but feel like there's more law's","1","0.36"
"I refuse to take meds for many serious ailments and pain. Cannabis has given me my life back and made a lot of mental anguish subside and be tolerable!","1","0.36"
"I strongly believe that it should be federally legalized!","1","0.36"
"I support both the legalization and the proper, fair taxation of it.","1","0.36"
"I think great.","1","0.36"
"I think it's a great movement ","1","0.36"
"I think it's about time to stop the stigma of this obviously wonderful medical plant. ","1","0.36"
"I think it's great!","1","0.36"
"I think it's the most important next step that needs to happen for a multitude of conditions and struggles. It's also vital that it be de-scheduled so accurate research can happen and everything we know is not based on anecdotal information.","1","0.36"
"I think it is an amazing thing. To be able to have something that let's me get out of my house and to be able to function without being on meds.","1","0.36"
"I think it is criminal that there are still states under prohibition.  I have relatives who suffer seizures.  They are contemplating moving to a legal state.  Every American citizen should have access.","1","0.36"
"I think it is fantastic and absolutely necessary to the health and well being of society...","1","0.36"
"i think it is great.. alcohol is far more damaging and socially accepted.. crazy","1","0.36"
"I think it should be legal","1","0.36"
"I think it should be legal all across the board ","1","0.36"
"I think it should be legal everywhere ","1","0.36"
"I think it was should be regulated like alcohol","1","0.36"
"I think it will solve the economic crisis we seem to be falling back into. ","1","0.36"
"I think it’s awesome! It’s about time it has so many health benefits everyone could benefit by using it. ","1","0.36"
"I think it’s fantastic it allows me to not put pulls in my body any more","1","0.36"
"I think it’s great ","1","0.36"
"I think that it will help many people, and harm a few.  However, ultimately, individuals who are helped or harmed must take personal responsibility for their own decisions.  Just as there are people who misuse alcohol, there will be people who misuse pot.  I expect most of the people who misuse pot to fall in to one of two categories:  1. People who already misuse it.  2. People who already misuse other drugs (alcohol and prescriptions included)  If a large number of people get a quality of life improvement, at the expense of indulging people who are already using far more dangerous drugs, I see it as a net benefit.  State resources should be spent on education and rehabilitation, rather than a futile attempt at prohibition.","1","0.36"
"I think we need to compare all other states and find out what the changes have been and if its for the better all around, just not incl economy.  I would have to say YES - lets legalize it!","1","0.36"
"I very happy that our state has finally legalized the use of these products, very helpful for my pIn","1","0.36"
"I’m pretty happy about it and maybe it can reduce stigma","1","0.36"
"I’m very pleased with it. I feel necessary for so many people and certainly less harmful than prescription medications I was on for chronic pain. ","1","0.36"
"ibthink just the Medical should remain legal","1","0.36"
"im all for it. mothers should stop being tested for thc if its legal.","1","0.36"
"In favor 100%","1","0.36"
"Is a must for treating illness","1","0.36"
"It's a positive change twords medicine","1","0.36"
"It's about damn time! This is the cure. ","1","0.36"
"It's about time","1","0.36"
"It's about time, never should have been illegal.","1","0.36"
"it's about time...","1","0.36"
"It's been a long road but it's expanding to possibly cafes!","1","0.36"
"It's great, but everything revolves around money. ","1","0.36"
"It's insane that cannabis is illegal. Prohibition is a terrible policy for almost anything, but especially something that is either benign or beneficial as cannabis is. Legalization needs to happen so that innocent people stop being punished and so that use of a relatively harmless substance stops being a way for private prisons to profit off of what is essentially slave labor.     Not to mention giant pharmaceutical companies pushing meds, opioid epidemic destroying communities and fammilies, alcohol abuse affecting quality of life/public safety, etc. The list goes on forever and I'm sure you've heard it all.     Bottom line, cannabis should never have been outlawed and the fact that it can't even be studied is a travesty. ","1","0.36"
"It's necessary for many reasons.","1","0.36"
"It's stupid not to. It removes the social problems of drug dealers violent crime and is wildly profitable for states that tax the product. ","1","0.36"
"it's time.","1","0.36"
"It comes from the earth... ","1","0.36"
"It has helped me drop numerous medications that were prescribed to me, since using cannabis I have stopped a life long battle with biting my finger nails. I am no longer a slave to prescription medication.","1","0.36"
"It has helped my life tremendously ","1","0.36"
"it is a wonderful medical medicine ,best I have","1","0.36"
"It is about time, alchohal is far more dangerous. This should never have happened, we have wasted Billions of dollars fighting a battle on drugs, that failed misreavly. All the while creating a true drug problem legally in America through big pharma.thousands have died and gone to jail over marijuana and the truth is it should have been legal and a priority med over opiates and all other drugs. This should be addressed and made right asap.","1","0.36"
"It is extremely important to me that all states legalize medicinal use of cannabis.","1","0.36"
"It is long overdue and alarmingly slow in it's realization, with misinformation and minimal transparency that feels very wrong considering the vast majority of the people in this state are fully in favor of recreational use","1","0.36"
"It is overdue ","1","0.36"
"It is way overdue","1","0.36"
"It just needs to be re scheduled at the federal level. ","1","0.36"
"it needs to be done ASAP","1","0.36"
"It needs to be done. ","1","0.36"
"it needs to be legal","1","0.36"
"It needs to be legalized and accessible to all that need it.","1","0.36"
"It needs to be legalized everywhere so the quality can continue to rise, while the cost drops. Its important to know what I am smoking is safe and has been tested. ","1","0.36"
"It needs to be legalized on a federal level","1","0.36"
"It needs to be regulated and a tax benefit for society but i am in favour","1","0.36"
"It needs to happen in more places. Cannabis criminalization is a major way that POC have been funneled into prisons. ","1","0.36"
"It needs to happen soon","1","0.36"
"It never should have been illegal in the first place. ","1","0.36"
"It should've been done years ago especially for people who used to get in legal trouble for possessing small amounts.","1","0.36"
"It should absolutely be legalized.","1","0.36"
"it should be completely federally legal.","1","0.36"
"It should be federally legal and alcohol should be outlawed. I'd rather have people driving stoned than drunk.","1","0.36"
"It should be Federally legal!","1","0.36"
"It should be federally legalized","1","0.36"
"It should be federally legalized.","1","0.36"
"It should be legal everywhere, it's the safest drug, period. ","1","0.36"
"It should be legal in all states n countries ","1","0.36"
"It should be legal in every state. ","1","0.36"
"It should be legal on a federal level! ","1","0.36"
"It should be legal on a federal level. ","1","0.36"
"It should be legal to all","1","0.36"
"It should be legal to help consumers determine quality, efficacy, best price, and help reduce stigma ","1","0.36"
"It should be legal.  It has health benefits.  We need more research.  It’s safer than alcohol.","1","0.36"
"It should be legal. It's ridiculous that a plant is illegal. ","1","0.36"
"It should be legalized","1","0.36"
"It should be legalized all states","1","0.36"
"It should be legalized everywhere. ","1","0.36"
"It should be legalized federally","1","0.36"
"It should be legalized nationally","1","0.36"
"It should be legalized on all levels especially for children who need the oils","1","0.36"
"It should be legalized.","1","0.36"
"It should be legalized.  It is way less harmful than alcohol!","1","0.36"
"It should be legalized. I can go to war or buy liquor which causes more harm than cannabis but I can't legally buy cannabis without a medical card...strange ","1","0.36"
"It should have been done in 1937.","1","0.36"
"It should have been legal years ago","1","0.36"
"It should never have been illegal","1","0.36"
"It should of been done years ago","1","0.36"
"it should’ve happened when prohibition ended... lots of taxable money for the USA. hurry up and make it 100% legal to of age customers ","1","0.36"
"It’s about time ","1","0.36"
"It’s About Time!!","1","0.36"
"It’s about time.","1","0.36"
"It’s about time. The stigma screwed up my life. I’m glad that I am not alone.","1","0.36"
"It’s beautiful","1","0.36"
"It’s past due. Safer than alcohol. ","1","0.36"
"It’s the same as alcohol. I don’t like to drink so MJ is a great medicine for me. It makes me sad that people think you’re a drug addict if you use MJ. The gov’t needs to legalize it! ","1","0.36"
"Its been a real shit show. It doesn't feel legal so much as regulated to death. Too many regulations regarding how lawmakers are going to make money off of all of this. Not enough regulations protecting consumers.","1","0.36"
"Its good","1","0.36"
"Its great. Just wish shops were open.","1","0.36"
"Its long past due","1","0.36"
"its over due , people are dying hurry up","1","0.36"
"Its safer than alcohol and tobacco ","1","0.36"
"Legalization should ensure that patients aren't used as targets of law enforcement.  Patients tend to have a lot of cannabinoids in their system at any given time of day. ","1","0.36"
"Legalize ","1","0.36"
"Legalize and tax.","1","0.36"
"Legalize cannabis, criminalize alcohol","1","0.36"
"Legalize it along the lines of alcohol, tax free","1","0.36"
"Legalize it everywhere it’s better than taking meds","1","0.36"
"Legalize it federally ","1","0.36"
"Legalize it..lower the taxes on it","1","0.36"
"Let’s do it!","1","0.36"
"LETS DO IT! More customers/user means more resources, data, money, and will blaze the trail for widespread destigmatization and national legalization.","1","0.36"
"lets make it happen","1","0.36"
"Long awaited, overly suppressed by the alcohol/opiate industry lobbies for too long.","1","0.36"
"Long overdue. Implementing well","1","0.36"
"Long overdue. Still heavily over regulated. Why do I have to have my drivers license and Id scanned when I walk in the door of the dispensary instead of when I make a purchase? Why is the state considering a breathalyzer test when they know it doesn't prove anything?","1","0.36"
"Love it its about time ","1","0.36"
"Make it Federally legal so I can Vape in/near my home","1","0.36"
"Make it pervasive and safe ","1","0.36"
"Many people are afraid of the stigma behind the card. The more people that have safe access, the better. ","1","0.36"
"Must do","1","0.36"
"Need more access and information overall.","1","0.36"
"Need to have more variety of products at ALL dispensaries","1","0.36"
"Needed","1","0.36"
"Needs to be Federally Legal","1","0.36"
"Needs to be legalize ","1","0.36"
"No question but the is a long time stigma that keeps arising that is misunderstood ","1","0.36"
"No thoughts.","1","0.36"
"Not at all happy with the roll out. I am in favor of forcing the ccc to review all host agreements and fixing illegal ones. I’m ok for it to be delayed even more to get it right. Medical must stay protected. Medical is crucial for our kids and seniors who don’t have access to care givers. Doesn’t feel legal when I can’t smoke in public and have to feel like a criminal all the time. ","1","0.36"
"Not sure. I was always for it until it happens. I feel it may ruin a good thing due to shitty people that don’t give a shit and do as they want rather than obey the laws which in turn will make the whole cannabis society look bad when in general it’s only a handful of people. I think it’s fine the way it has been to be honest ","1","0.36"
"Overdue.","1","0.36"
"People would be a lot better off using cannabis rather than taking synthetic meds. ","1","0.36"
"Please get it done!  ","1","0.36"
"positive","1","0.36"
"Positive","1","0.36"
"positive ","1","0.36"
"Pro-legalization","1","0.36"
"Pro legalization.  ","1","0.36"
"Pro recreational use.","1","0.36"
"Research should be done.  Yes legalize.","1","0.36"
"Should be federally legal","1","0.36"
"Should be legal","1","0.36"
"should be legal  ","1","0.36"
"should be legal federally","1","0.36"
"should be legal for adults with all of the same regulations as alcohol and warnings as prescription drugs","1","0.36"
"Should be legal in every state for medical use,and should be taken off as a schedule 1 drug.so research can be done On the effects of cannabis.if states pass it for recreational use it should be honored federally.","1","0.36"
"Should be legalized ","1","0.36"
"Should be rescheduled into Schedule V. ","1","0.36"
"Should happen ASAP","1","0.36"
"Should have been done along time ago, less pills! ","1","0.36"
"Should have been done years ago","1","0.36"
"Should have never been made ILLEGAL in the 1st place!","1","0.36"
"Should never have been illegal. It's a plant","1","0.36"
"Should never have been prohibited in the first place and is one of the largest rackets in this country's history ","1","0.36"
"So/so about adult use starting ","1","0.36"
"Society should provide a morning and an evening dose to all who ask for it. Free of charge if they cannot afford it.","1","0.36"
"Sometimes I feel in the years ahead that the use of marijuana now will cause great health problems like the tobacco industry did. All though it helps now with many health problems my concern is not knowing the future problems it may bring and what’s being hidden from the public in order to bring high sales in. I also feel that ALL health insurances should cover the use of medical marijuana as a medication. especially if medical marijuana in that particular state is legal.","1","0.36"
"Spread the love!","1","0.36"
