"q55","What is your age in years?","n =  277  avg =  43.57"
"response","count","percent_responded"
"33","13","4.69"
"51","11","3.97"
"39","10","3.61"
"43","10","3.61"
"35","9","3.25"
"40","9","3.25"
"50","9","3.25"
"59","9","3.25"
"27","8","2.89"
"36","8","2.89"
"53","8","2.89"
"57","8","2.89"
"28","7","2.53"
"30","7","2.53"
"49","7","2.53"
"24","6","2.17"
"29","6","2.17"
"34","6","2.17"
"37","6","2.17"
"38","6","2.17"
"41","6","2.17"
"47","6","2.17"
"48","6","2.17"
"55","6","2.17"
"60","6","2.17"
"23","5","1.81"
"25","5","1.81"
"31","5","1.81"
"32","5","1.81"
"42","5","1.81"
"61","5","1.81"
"21","4","1.44"
"44","4","1.44"
"52","4","1.44"
"56","4","1.44"
"65","4","1.44"
"67","4","1.44"
"45","3","1.08"
"58","3","1.08"
"62","3","1.08"
"63","3","1.08"
"22","2","0.72"
"26","2","0.72"
"46","2","0.72"
"66","2","0.72"
"68","2","0.72"
"54","1","0.36"
"64","1","0.36"
"70","1","0.36"
"71","1","0.36"
"72","1","0.36"
"74","1","0.36"
"75","1","0.36"
"82","1","0.36"
