"q61","What is the highest degree or level of school you have completed? If you are currently enrolled in school, please indicate the highest degree you have recieved.","n =  279"
"response","count","percent_responded"
"Some college, no degree","84","30.11"
"Bachelors degree","70","25.09"
"Associate degree","37","13.26"
"High school degree or equivalent (GED)","33","11.83"
"Masters degree","32","11.47"
"Professional degree (MD, JD, DDS, DVM)","9","3.23"
"Prefer not to answer","6","2.15"
"Doctorate (Ph.D., EdD, etc)","4","1.43"
"Less than high school diploma","4","1.43"
