"q7","How does cannabis help your daily life? (Please select all that apply)","n =  279"
"response","count","percent_responded"
"Helps with psychological symptoms (e.g. anxiety, stress, calm, sadness, energy)","251","89.96"
"Generally helps with quality of life","235","84.23"
"Helps with physical symptoms (e.g. body pains, function, sensation)","217","77.78"
"Helps to avoid starting other medicines (including opiates)","142","50.9"
"Helps to reduce use of other prior medicines (non-opiates)","141","50.54"
"Helps to reduce use of alcohol","111","39.78"
"Helps to reduce use of opiates","70","25.09"
"Helps to reduce us of tobacco","49","17.56"
"Other (please specify)","15","5.38"
