"response","count","percent_responded"
"Sativa",7,2.6
"Gorilla glue",6,2.23
"Sour diesel ",5,1.86
"Blue Dream",4,1.49
"Chocolope",4,1.49
"Gorilla Glue",4,1.49
"blue dream",3,1.12
"Girl Scout Cookies",3,1.12
"GSC",3,1.12
"Indica",3,1.12
"Sour Diesel",3,1.12
"ACDC",2,0.74
"Bio Diesel",2,0.74
"Blue dream",2,0.74
"Bruce Banner",2,0.74
"Cinderella 99",2,0.74
"Don’t know",2,0.74
"Durban Poison",2,0.74
"Flo OG",2,0.74
"GG",2,0.74
"Green crack",2,0.74
"Highwayman",2,0.74
"hybrid",2,0.74
"Jack Herer",2,0.74
"Night Nurse",2,0.74
"OG Kush",2,0.74
"sativa",2,0.74
"Sour D",2,0.74
"Super Lemon Haze",2,0.74
"Tangie",2,0.74
" Gorilla cookies",1,0.37
"?",1,0.37
"??",1,0.37
"???",1,0.37
"1:01",1,0.37
"24k",1,0.37
"24K",1,0.37
"3D (sativa)",1,0.37
"aaa",1,0.37
"AC DC",1,0.37
"AC/DC",1,0.37
"Amnesia ",1,0.37
"Amnesia Lemon",1,0.37
"any hybrid",1,0.37
"Any indica higher thc %",1,0.37
"any kush",1,0.37
"Banana Split",1,0.37
"Because I buy non-regulated, I'm not always sure what my strain is.",1,0.37
"Bianca",1,0.37
"Bio diesel",1,0.37
"Black dog",1,0.37
"black mamba",1,0.37
"Black mamba",1,0.37
"Blue dream ",1,0.37
"Blue Mystiq",1,0.37
"Blue OG",1,0.37
"Blueberry",1,0.37
"Bruce Banner ",1,0.37
"Bubblegum",1,0.37
"Buddha's Sister",1,0.37
"Buddha’s Sister ",1,0.37
"C99",1,0.37
"candy kush ",1,0.37
"Candyland",1,0.37
"Cannatonic",1,0.37
"canntrust cbd oil",1,0.37
"CBD full spectrum",1,0.37
"Chem",1,0.37
"chem dawg",1,0.37
"Chem dawg",1,0.37
"Chemdawg",1,0.37
"Citrique",1,0.37
"Citrus sap ",1,0.37
"Clemintine",1,0.37
"Cookie Pebbles",1,0.37
"cookies & cream",1,0.37
"Cookies & cream",1,0.37
"cookies creem",1,0.37
"Derban poison",1,0.37
"Diesel",1,0.37
"Do-si-do",1,0.37
"don't know",1,0.37
"dont know",1,0.37
"Double Black Domina",1,0.37
"Dr. White",1,0.37
"Durban poison",1,0.37
"East Coast Sour Diesel",1,0.37
"Face wreck ",1,0.37
"Fire OG",1,0.37
"GC",1,0.37
"GC #4",1,0.37
"Gdp",1,0.37
"GDP",1,0.37
"gg",1,0.37
"GG #4",1,0.37
"gg#4",1,0.37
"GG#4",1,0.37
"Gg4",1,0.37
"GG4",1,0.37
"GG4 - Indica",1,0.37
"Ghostrain haze",1,0.37
"Girl Scout ",1,0.37
"Girl scout cookie",1,0.37
"girl scout cookie ",1,0.37
"girl scout cookies",1,0.37
"Goat 12",1,0.37
"GOD FATHER OG",1,0.37
"Golden Goat",1,0.37
"Golden triangle ",1,0.37
"Gorilla Glue #4 AKA GG #4",1,0.37
"Grand Daddy Purp",1,0.37
"Granddaddy purple",1,0.37
"grape god",1,0.37
"Grape god",1,0.37
"Grape God ",1,0.37
"Grease monkey",1,0.37
"Grease Monkey ",1,0.37
"Green",1,0.37
"green crack",1,0.37
"Green Crack",1,0.37
"Harlequin",1,0.37
"Hashplant",1,0.37
"Have never purchased by strain",1,0.37
"Holy Grial Kush",1,0.37
"I don't have a preference",1,0.37
"I use CBD OIL",1,0.37
"I""m new",1,0.37
"Indica/Indus (Ganja)",1,0.37
"Jack frost ",1,0.37
"Jack H",1,0.37
"Jack herer",1,0.37
"Jack Herer ",1,0.37
"Jack Pine",1,0.37
"JACK PINE",1,0.37
"Katsu Bubba Kush",1,0.37
"Kosher kush",1,0.37
"kush",1,0.37
"Kush",1,0.37
"kushberry",1,0.37
"Lambs bread",1,0.37
"Las Vegas Bubba Kush",1,0.37
"Lee Roy",1,0.37
"Lemon ",1,0.37
"Lemon Haze ",1,0.37
"lemon jeffrey",1,0.37
"Lemon Jeffrey",1,0.37
"lemon meringue ",1,0.37
