"q9","Have you experienced any side effects from using cannabis? Please select all that apply","n =  269"
"response","count","percent_responded"
"Dry mouth","172","63.94"
"More or less talkative","83","30.86"
"Changes in appetite","74","27.51"
"Sleepiness/fatigue","74","27.51"
"Increased energy","71","26.39"
"Memory problems","50","18.59"
"Experienced no side effects","42","15.61"
"Feeling of being ""altered""","31","11.52"
"Changes in libido","28","10.41"
"Paranoia","28","10.41"
"Difficultly concentrating","24","8.92"
"Heart racing/palpitations","21","7.81"
"Tough to get started in the morning (lassitude)","18","6.69"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","17","6.32"
"Racing thoughts","15","5.58"
"Anxiety","14","5.2"
"Apathy","11","4.09"
"Other (please specify)","10","3.72"
"Dizziness","9","3.35"
"Headache","7","2.6"
"Depression","5","1.86"
"Nausea","5","1.86"
"Sweating","5","1.86"
"GI changes (e.g. constipation, diarrhea, abdominal discomfort)","2","0.74"
