"response","count","percent_responded"
"Sour Diesel",4,2.35
"Blue Dream",3,1.76
"Blueberry",3,1.76
"GG4",3,1.76
"Green crack",3,1.76
"Indica",3,1.76
"sour diesel",3,1.76
"ACDC",2,1.18
"Blissful Wizard",2,1.18
"blue dream",2,1.18
"Blue dream",2,1.18
"CBD",2,1.18
"Gorilla glue",2,1.18
"Kush",2,1.18
"Northern lights",2,1.18
"Northern lights ",2,1.18
"Sativa",2,1.18
"Sweet Tooth",2,1.18
"Tangie",2,1.18
"? I don’t know much about strains",1,0.59
"9 Lb Hammer",1,0.59
"AC/DC",1,0.59
"AK-47",1,0.59
"Ak47",1,0.59
"Any I get my hands on",1,0.59
"Any indica higher thc %",1,0.59
"Bio diesel",1,0.59
"Bio diesel ",1,0.59
"blissful wizard",1,0.59
"Blue dream ",1,0.59
"Blue Mystiq",1,0.59
"Blueberry ",1,0.59
"blueberry headband",1,0.59
"Brownie Scout ",1,0.59
"Bruce Banner",1,0.59
"Bubba Kush",1,0.59
"Buddha's Sister",1,0.59
"Candy Chem",1,0.59
"Candyland",1,0.59
"Cannatonic",1,0.59
"CBD:THC",1,0.59
"Chad Bud",1,0.59
"Chemdawg",1,0.59
"Chocolope",1,0.59
"Citrus sap ",1,0.59
"cookies & cream",1,0.59
"Doesnt matter",1,0.59
"Domnesia",1,0.59
"dr. grinspoon",1,0.59
"Durban Poison",1,0.59
"Durbin poison",1,0.59
"GC #4",1,0.59
"GG#4",1,0.59
"GG4 - Indica",1,0.59
"Ghost Train Haze",1,0.59
"Girl Scout Cookies",1,0.59
"Gold or diesel OG",1,0.59
"Golden Glue",1,0.59
"Golden Goat",1,0.59
"gorilla glue",1,0.59
"Gorilla Glue",1,0.59
"Gorilla Glue #4",1,0.59
"Granddaddy purple",1,0.59
"Granddaddy Purple",1,0.59
"Granddaddy Purple Gdp Indica. ",1,0.59
"grape god",1,0.59
"Grape God",1,0.59
"Grape Stomper",1,0.59
"green crack",1,0.59
"Gummies ",1,0.59
"Harlequin ",1,0.59
"Have never purchased by strain",1,0.59
"hybrid",1,0.59
"I don't know",1,0.59
"I don't know ",1,0.59
"I use CBD OIL",1,0.59
"Jack Cookies",1,0.59
"Jack herer",1,0.59
"Jack Pine",1,0.59
"Katsu Bubba Kush",1,0.59
"Killer Queen",1,0.59
"Lambs bread",1,0.59
"Las Vegas Buba Kush",1,0.59
"Las Vegas bubba kush",1,0.59
"Lemon alien",1,0.59
"Lemon G",1,0.59
"Lemon Jeffery",1,0.59
"lemon jeffrey",1,0.59
"Lemon Jeffrey",1,0.59
"lemon skunk",1,0.59
"Lemon skunk ",1,0.59
"lemon skunk (DNA)",1,0.59
"Linguist",1,0.59
"Mandarin Dreams",1,0.59
"Manderian Dreams",1,0.59
"Meltdown",1,0.59
"MK Ultra",1,0.59
"N/a",1,0.59
"na",1,0.59
"No favorites yet -",1,0.59
"Northern Lights",1,0.59
"Not sure",1,0.59
"og kush",1,0.59
"Orange Harambe",1,0.59
"Pineapple Express",1,0.59
"Pink Kush",1,0.59
"Pure CBD",1,0.59
"pure kush",1,0.59
"Purple Lamborghini",1,0.59
"Red headed stranger",1,0.59
"Serious Happiness",1,0.59
"Shark Shock and ALL HIGH CBD STRAINS ",1,0.59
"Skywalker",1,0.59
"Skywalker OG ",1,0.59
"Snoop dog",1,0.59
"Sour D",1,0.59
"sour diesal",1,0.59
"Sour diesel ",1,0.59
"Sour diesle",1,0.59
"Sour disesl",1,0.59
"Sour Tangie",1,0.59
"Star cookie",1,0.59
"Star dawg",1,0.59
"Stardawg",1,0.59
"Stavia",1,0.59
"Strawberry cough/// mood enhancer",1,0.59
"Strawberry Diesel",1,0.59
"Sunset sherbert",1,0.59
"Sweet Pink Grapefruit",1,0.59
"Sweet tooth",1,0.59
"Tangerine dreams ",1,0.59
"THC 5 mg gummies",1,0.59
"the",1,0.59
"Train Wreck",1,0.59
"Trainwreck",1,0.59
"Tres sister",1,0.59
"unknown",1,0.59
"Unknown",1,0.59
"unsure",1,0.59
"Vanilla kush",1,0.59
"Wappa",1,0.59
"Wedding cake ",1,0.59
"White Widow",1,0.59
