"q30","What are some barriers for you consuming cannabis? Please select all that apply.","n =  170"
"response","count","percent_responded"
"Money","115","67.65"
"Access to the right products","60","35.29"
"Place to consume cannabis","59","34.71"
"Stigma","52","30.59"
"Workplace testing or other policies","45","26.47"
"Time required to get medical card or obtain products","31","18.24"
"No barriers","25","14.71"
"Lack of knowledge","18","10.59"
"Other (please specify)","15","8.82"
"Previous bad experience","7","4.12"
