"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","Tinctures","Salves/topicals","Transdermal patches","Suppositories","Capsules","Other (please specify)"
11327669448,"","","","6-25 mg","","","","","","",""
11320679343,"","","","","","","","","","",""
11310196747,"","","","26 - 50 mg","","","","","","",""
11240366384,"","","","101 - 200 mg","","","","","","",""
11177812554,"","","","101 - 200 mg","","","","","","",""
11148895510,"","","","6-25 mg","","","","","","",""
11111801761,"","","","5 mg or less","","","","","","",""
11095988184,"","","","51 - 100 mg","","","","","5 mg or less","",""
11095751213,"","","","","","","","","","",""
10994127240,"","","","","","","","","","501 - 1000 mg",""
10958082921,"","","","","","","","","","",""
10950506255,"","","","","","","","","","501 - 1000 mg",""
10880665922,"","","","51 - 100 mg","","","","","","",""
10667060651,"","","","6-25 mg","","","","","","",""
10647197076,"","","","501 - 1000 mg","","","","","","",""
10633844023,"","","","5 mg or less","","","","","","",""
10626640573,"","","","51 - 100 mg","","","","","","",""
10623964351,"","","","51 - 100 mg","","","","","","",""
10617352263,"","","","","","","","","","26 - 50 mg",""
10617106666,"","","","26 - 50 mg","","","","","","",""
10616891358,"","","","","","","","","","",""
10616732328,"","","","6-25 mg","","","","","","",""
10616607453,"","","","51 - 100 mg","","","","","","",""
10616000680,"","","","101 - 200 mg","","","","","","",""
10615762014,"","","","","","","","","","",""
10615607693,"","","","5 mg or less","","","","","","",""
10615543776,"","","","","","","","","","",""
10615475788,"","","","","","","","","","",""
10615382686,"","","","5 mg or less","","","","","","",""
10614765881,"","","","","","","","","","",""
10607912288,"","","","5 mg or less","","","","","","",""
10598611443,"","","","201 - 500 mg","","","","","","",""
10584635591,"","","","201 - 500 mg","","","","5 mg or less","","",""
10567487173,"","","","51 - 100 mg","","","","","","",""
10567408422,"","","","","","","","","","201 - 500 mg",""
10564977420,"","","","","","","","","","5 mg or less",""
10554448933,"","","","5 mg or less","","","","","","",""
10550852127,"","","","","","","","","","",""
