"q51","What type of cannabis advertising have you been exposed to in the past 30 days? Please check all that apply.","n =  834"
"response","count","percent_responded"
"Digitally on a cell phone, tablet, or computer (through email, text messages, websites, or social media)","349","41.85"
"Have not seen advertising","295","35.37"
"In magizines or newspapers","188","22.54"
"On billboards","122","14.63"
"On storefronts","102","12.23"
"In pamphlets or flyers","90","10.79"
"At an event, like a concert, fair, rodeo, parade, or similar","89","10.67"
"On the radio","74","8.87"
"On television","54","6.47"
"On street side marketing, like sandwich boards","40","4.8"
"Other (please specify)","37","4.44"
"Other (please specify below)","23","2.76"
"On signs being held by people on sidewalks (sign wavers)","9","1.08"
