"q52","What questions regarding cannabis did we not ask that are important to you?","n =  802"
"response","count","percent_responded"
"None","144","17.96"
"none","62","7.73"
"N/A","36","4.49"
"n/a","24","2.99"
"N/a","23","2.87"
"None ","21","2.62"
"Nothing","14","1.75"
"Na","11","1.37"
"Not sure","9","1.12"
"Nothing ","6","0.75"
"Can't think of any","5","0.62"
"Can't think of any.","4","0.5"
"not sure","4","0.5"
"na","3","0.37"
"None.","3","0.37"
"Can’t think of any","2","0.25"
"Can’t think of any ","2","0.25"
"n\a","2","0.25"
"No","2","0.25"
"none  ","2","0.25"
"None  ","2","0.25"
"None that I can think of.","2","0.25"
"Not sure ","2","0.25"
"nothing","2","0.25"
"Nothing I can think of","2","0.25"
"Nothing.","2","0.25"
"Price","2","0.25"
"Pricing","2","0.25"
"A group or message board where I can learn more from people nearby","1","0.12"
"About medical card","1","0.12"
"about my sustained and maintenance care regarding opiate addiction recovery. Survey focuses only on patients who are ""trying it"" ... I've been succeeding for the past 3 years. The information regarding the continued care in this area of recovery that is not ""NEW""OR ""TRYING"" ... but actually succeeding, (questions about ""sustaining success,"" etc)","1","0.12"
"Accepting payments in XLM, XRP, ETH BCH, BTC.","1","0.12"
"activities enjoyed while medicated","1","0.12"
"Add FECO to list of products used.","1","0.12"
"Al were good","1","0.12"
"all good","1","0.12"
"All good","1","0.12"
"All great questions.","1","0.12"
"All seemed to be covered","1","0.12"
"All where","1","0.12"
"Am i a parent. ","1","0.12"
"Am i interested in stronger strains for sleep, relaxation, depression help?  Yes.","1","0.12"
"any Changes you believe can be made to better reform marijuana laws or dispensary’s price , how they are run, etc. any changes that can be made that can better this new cannabis market ","1","0.12"
"Are the patients' needs being met satisfactorily by the supply of dispensaries (No, more demand than available supply)","1","0.12"
"Are there social benefits that cannabis can offer people?","1","0.12"
"are you aware that wax or certain concentrates can ignite on fire if smoked with a pipe?","1","0.12"
"Are you using cannabis to seek relief without a high?  Or, do you have to be high to achieve medical relief?  Or, how important is getting relief without a high to you?  The dosing question should separate THC amount from CBD amount because the total number of cannabinoids is misleading. For example, my daily use is 100mg total, 80CBD 20THC. This put me in high usage category but I don't get high.   A question on how knowledgable friends and family are about cannabis would give a broader understanding of market knowledge.   Where would you prefer to gain knowledge about cannabis could reveal a need for unrealized sources?  Asking more specific questions on pricing of products would reveal the how wide the price range is in the market, i.e. price per mg of each method used. ","1","0.12"
"Are your healcare providers knowledgeable about the specifics of medicinal cannabis use? Not at all!","1","0.12"
"Aroma ","1","0.12"
"As someone who has moved out of state, I would love comparisons made between our flower to say, Colorado or California. I have tried a lot that Massachusetts has had to offer and it just seems to continually fall short. ","1","0.12"
"Bask","1","0.12"
"Believe you've covered it all in this survey","1","0.12"
"Black market influence, pricing, spectrum of choices, etc. ","1","0.12"
"c","1","0.12"
"Can't think of any ","1","0.12"
"Can't think of anything","1","0.12"
"can't think of them right now","1","0.12"
"can I travel with my medication?","1","0.12"
"can not think of any ","1","0.12"
"Can we give you free cannabis products?","1","0.12"
"Can’t think of any at this moment ","1","0.12"
"Can’t think of anything right now ","1","0.12"
"Cannabis is calorie free compared to alcohol. Although many feel that cannabis increases appetite, do you feel that cannabis has actually helped you maintain a healthy body weight? (I do not feel that cannabis increases my appetite, and if anything, I feel I eat less since I have been enjoying the benefits of cannabis.","1","0.12"
"CBD","1","0.12"
"certified professional help in selecting what is best for my conditions.","1","0.12"
"children consumption - when will that be a thing? for medicinal use of course","1","0.12"
"Clinical trials, the first of which should be how toxic is cannabis?","1","0.12"
"Common negative side effects, common positive side effects","1","0.12"
"Consider specifying differences in patterns of use related to medicinal use vs. recreation use. ","1","0.12"
"consistency of vape cartridges  ","1","0.12"
"Cost","1","0.12"
"Cost pricing","1","0.12"
"Cost....no one pays more for cannabis than Massachusetts mmj patients. Frustrating knowing the western part of the country pays just a fraction of the $ we do for the same product","1","0.12"
"Country wide pricing structure, the west Coast is 1/2 price of East Coast at this present time.","1","0.12"
"Covered everything ","1","0.12"
"Current Legal ramifications ","1","0.12"
"Did you ask about terpene testing or was I just on my soapbox? If you want to gather more good information, add more fill-in boxes. ie. #53-54. I used recreationally when younger, but not much at all as a parent. Then I 'recreated' one evening after developing fibromyalgia and realized this is medicine! Now I use medicinally, and recreate on the occasional weekend. Much prefer cannabis to alcohol. I've done a lot of research & experimentation on it, and enjoy sharing that knowledge with friends and family. Taught a mature friend to smoke for the first time in her life. She now legally consumes regularly to significantly improve her fibro symptoms so she can keep working. Thank you for allowing me to participate in a medicinal cannabis survey without the prerequisite of medicating legally!","1","0.12"
"Did you grow up in a family where Cannabis was used?","1","0.12"
"do  you feel cannabis is more or less safe than alcohol. & i  would answer alcohol is far more dangerous & is the gateway drug to be concerned with. not cannabis","1","0.12"
"Do I prefer cannabis over pharmaceuticals?   Hell yes!","1","0.12"
"Do you believe that your primary care doctor believes in the stigma or will help you?","1","0.12"
"Do you feel any symptoms of addiction?  Do you regularly mix cannabis with alcohol or other drugs.  What recreational drugs do you take?","1","0.12"
"Do you feel comfortable consuming cannabis in your housing ?  ","1","0.12"
"Do you grow your own medical marijuana?","1","0.12"
"Do you know about the dry and cure process and how important it is?","1","0.12"
"Do you know anyone else with a medical card ","1","0.12"
"Do you know someone who grows","1","0.12"
"Do you know the difference between indica & sativa?","1","0.12"
"Do you know the dosage recommended to treat patient ailment based on patient profile and symptoms. (NO).  Is cannabis treatment resolving the targetted medical issue? (Not yet, small glimmer of resolution, but too much trial and error on dosing and no real answers from previous practices to follow).","1","0.12"
"Do you make any cannabis products for yourself?","1","0.12"
"Do you think cannabis has different effects on females vs. males ?","1","0.12"
"Do you think Medical Doctors need education related to marijuana ","1","0.12"
"Do you think that it’s unfair to have to worry about traveling with this medicine. It’s ok to have those opioids in your daily pill box or benzodiazepines but that cannabis is a issue when flying or traveling in general. ","1","0.12"
"Do you think there should be public smoking establishments? Example- lounges/gyms","1","0.12"
"Do you want some?","1","0.12"
"Does my spouse use cannabis? She doesn't. And anecdotally, I've come across a number of others in the community where this is also the case. ","1","0.12"
"Don't have any","1","0.12"
"Don't have any feedback. ","1","0.12"
"Don't have any right now","1","0.12"
"Don't have any.","1","0.12"
"Don’t have any questions","1","0.12"
"Don’t know","1","0.12"
"dose of cbd separate from thc.  expirience with terpenes.  condition specific info.  ","1","0.12"
"dosing","1","0.12"
"Dosing schedules ","1","0.12"
"drug/drug interactions and more about testing and cultivation parameters","1","0.12"
"🤷‍♀️","1","0.12"
"ease of getting license","1","0.12"
"Education is important.  What are some areas that new patients require to be able to make their own medications?","1","0.12"
