"q21","What products/strains do you want that are not currentlyt available in your local dispensaries?","n =  620"
"response","count","percent_responded"
"None","21","3.39"
"N/A","13","2.1"
"none","11","1.77"
"n/a","9","1.45"
"N/a","8","1.29"
"Not sure","8","1.29"
"Unsure","6","0.97"
"Blue dream","4","0.65"
"All","3","0.48"
"Dont know","3","0.48"
"I don’t know","3","0.48"
"idk","3","0.48"
"Live resin","3","0.48"
"Maui Wowie","3","0.48"
"na","3","0.48"
"Na","3","0.48"
"None ","3","0.48"
"not sure","3","0.48"
"Sour diesel","3","0.48"
"Strawberry Fields","3","0.48"
"Unknown","3","0.48"
"Beverages","2","0.32"
"Blue Dream","2","0.32"
"Candyland","2","0.32"
"don't know","2","0.32"
"Don't know","2","0.32"
"Drinks","2","0.32"
"Durban Poison","2","0.32"
"Edibles","2","0.32"
"Gelato","2","0.32"
"Hash","2","0.32"
"Higher dose edibles","2","0.32"
"Jack Herer","2","0.32"
"Moon rocks ","2","0.32"
"Na ","2","0.32"
"Northern Lights","2","0.32"
"Not sure ","2","0.32"
"OG Kush","2","0.32"
"Rosin","2","0.32"
"Shatter ","2","0.32"
"Skunk","2","0.32"
"Super silver haze","2","0.32"
"Underdawg","2","0.32"
"1:1 ratio thc cbd","1","0.16"
"100% Haze ","1","0.16"
"2-4:1 CBD:THC flower strains ","1","0.16"
"2:1 in a 500 mg. and 1000 mg. cartridges","1","0.16"
"2:1 THC:CBD","1","0.16"
"3D-3, 3D-6","1","0.16"
"A larger variety of edibles ","1","0.16"
"AC/DC, Harliquin ","1","0.16"
"acapulco gold, strains from 50 years ago.  ","1","0.16"
"ACDC","1","0.16"
"ACDC, Harlequin, Cannatonic, 9Ib Hammer, Blackberry Kush, Purple Arrow, Blue Widow, Cataract Kush,  Mazar I Sharif ","1","0.16"
"AeroInhaler","1","0.16"
"Affordable Concentrate","1","0.16"
"affordable THCA extracts,  terpenes highlighted on label","1","0.16"
"afghan kush","1","0.16"
"Afghani","1","0.16"
"Agent orange flower ","1","0.16"
"Ak47","1","0.16"
"all","1","0.16"
"All-local dispensary offers proprietary strains only.  ","1","0.16"
"all are from LP's in Canada","1","0.16"
"All good","1","0.16"
"All of them","1","0.16"
"All the above","1","0.16"
"All, I have no dispensary.","1","0.16"
"Ambulance","1","0.16"
"Amnesia Haze","1","0.16"
"Amnesia Haze, Hawaiian Snow","1","0.16"
"Any God strains","1","0.16"
"Any high CBD strain or very balanced strains with a variety of cannabinoids rather than just high percent of THC","1","0.16"
"Any Sativa dominated plant.","1","0.16"
"anything with high THC :-)","1","0.16"
"Avidekel","1","0.16"
"Banana OG, Pineapple Jack, ","1","0.16"
"Barry White","1","0.16"
"Bath Balms, facial creams/massage oils","1","0.16"
"Be able to get the same strains repeatedly, varieties available change constantly","1","0.16"
"Best CBD/THC tinctures ","1","0.16"
"Better concentrate selection","1","0.16"
"Better quality flower","1","0.16"
"better selection of disposable vape pens","1","0.16"
"Better tasting edibles","1","0.16"
"Beverages ","1","0.16"
"Beverages, similar to a beer and what is under development in Canada.","1","0.16"
"Big bud skunk","1","0.16"
"Blackberry hash honey vapes","1","0.16"
"Blissful Wizard, Alaskan Thunderfuck","1","0.16"
"blue dream","1","0.16"
"Blue Dream, Durban Poison, Sour Diesel, Super Silver Haze, Tangerine Haze","1","0.16"
"Blue Dream, Gorilla strains, prefer high THC strains","1","0.16"
"Blueberry ","1","0.16"
"Blueberry anything ","1","0.16"
"Bootylicious ","1","0.16"
"Breakfast, Bay11","1","0.16"
"Brownies","1","0.16"
"Brownies, Cookies","1","0.16"
"bruce banner","1","0.16"
"Bruce Banner","1","0.16"
"Bruce banner, topicals, kief patties","1","0.16"
"Bubble Kush","1","0.16"
