"q12","What is your top preferred method (that is, favorite) of using cannabis? (Please select one)","n =  442"
"response","count","percent_responded"
"Smoke flower","203","45.93"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","58","13.12"
"Vape cartridges","57","12.9"
"Tinctures","42","9.5"
"Vape flower","35","7.92"
"Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","23","5.2"
"Salves/topicals","10","2.26"
"Capsules","7","1.58"
"Other (please specify)","5","1.13"
"Suppositories","1","0.23"
"Transdermal patches","1","0.23"
