"response","count","percent_responded"
"Grape God",8,1.99
"Blue Dream",7,1.74
"Girl Scout Cookies",6,1.49
"Sativa",6,1.49
"Kush",5,1.24
"?",4,1
"Gorilla Glue",4,1
"GSC",4,1
"Bio Diesel",3,0.75
"Blue dream",3,0.75
"Blueberry ",3,0.75
"Cannatonic",3,0.75
"Facewreck",3,0.75
"GG4",3,0.75
"gorilla glue",3,0.75
"Hybrid",3,0.75
"OG Kush",3,0.75
"ACDC",2,0.5
"Blue Cheese",2,0.5
"Blue Dream ",2,0.5
"Blueberry Haze",2,0.5
"Flo",2,0.5
"Gelato",2,0.5
"GG 4",2,0.5
"Gorilla glue",2,0.5
"Gorilla Glue 4",2,0.5
"Green Crack",2,0.5
"Hurricane",2,0.5
"hybrid",2,0.5
"Indica",2,0.5
"Jillybean",2,0.5
"Lemon Jeffrey",2,0.5
"Meltdown",2,0.5
"Mimosa",2,0.5
"MOB",2,0.5
"Na",2,0.5
"Night nurse",2,0.5
"Not sure",2,0.5
"Og kush",2,0.5
"Pineapple Express",2,0.5
"Shark Shock",2,0.5
"star dawg",2,0.5
"Stavia",2,0.5
"Super Lemon Haze",2,0.5
"Tangie",2,0.5
"Unknown",2,0.5
"White Rhino",2,0.5
"White Widow",2,0.5
"1:1 acdc/gsc",1,0.25
"3 Chem",1,0.25
"3 chems",1,0.25
"3 Gorillas ",1,0.25
"3d-CBC",1,0.25
"99 Cindrella",1,0.25
"9lb Hammer ",1,0.25
"About cannabinoid and terpenes",1,0.25
"Acapulco Gold",1,0.25
"Ace of Spades",1,0.25
"Ak47",1,0.25
"Albert Walker",1,0.25
"Amnesia haze",1,0.25
"any indica",1,0.25
"Any indica",1,0.25
"Banana kush ",1,0.25
"Bio diesel",1,0.25
"Bio diesel ",1,0.25
"Biscotti Kush",1,0.25
"Black domina",1,0.25
"Black mamba",1,0.25
"Black mambo ",1,0.25
"Black triangle kush",1,0.25
"Blissful Wizard",1,0.25
"Blue CBD",1,0.25
"Blue cheese ",1,0.25
"Blue dream ",1,0.25
"blue dreams",1,0.25
"Blue dreams",1,0.25
"Blue OG",1,0.25
"blueberry",1,0.25
"Blueberry",1,0.25
"Blueberry Kush",1,0.25
"Blueberry Pie",1,0.25
"Bruce banner",1,0.25
"Bruce Danner",1,0.25
"Bubba Kush",1,0.25
"Bubba Kush ",1,0.25
"Bubba Kush vape cartridge",1,0.25
"bubbak",1,0.25
"Buddah sister",1,0.25
"Buddha's Sisters",1,0.25
"Cali O",1,0.25
"Calm",1,0.25
"CBD",1,0.25
"CBD Blessings",1,0.25
"CBD indica hybrid",1,0.25
"CBD oils",1,0.25
"CBD Yummy",1,0.25
"Charlottes web",1,0.25
"Charlottes Web",1,0.25
"Chem blends",1,0.25
"Chem dawg ",1,0.25
"chem dog",1,0.25
"Chemdawg",1,0.25
"chemdog",1,0.25
"Chocolope",1,0.25
"CHRONIC",1,0.25
"Chuck OG",1,0.25
"Citrique ",1,0.25
"Citrix",1,0.25
"Clementine ",1,0.25
"Clemintine",1,0.25
"cookie pebbles",1,0.25
"Cookies ",1,0.25
"Cookies n cream",1,0.25
"Cornbread",1,0.25
"Cosmic glue",1,0.25
"Critical Kush",1,0.25
"critical mass cbd",1,0.25
"CSC",1,0.25
"dancehall",1,0.25
"Deadhead OG",1,0.25
"Deep Chunkolate",1,0.25
"Diesel",1,0.25
"don't know",1,0.25
"Don’t have one yet",1,0.25
"Doobie Bird Daydream",1,0.25
"Double stuff",1,0.25
"Double tangie banana",1,0.25
"Durban Poison",1,0.25
"Dutch dragon",1,0.25
"Flo OG",1,0.25
"float",1,0.25
"Franken Berry by Strong Medz",1,0.25
"Fruity Indicas",1,0.25
"Fruity pebble",1,0.25
"Full THC for high pain",1,0.25
"Gdp",1,0.25
"GDP",1,0.25
"gemma",1,0.25
"Gg",1,0.25
"GG",1,0.25
"GG #6",1,0.25
"GG#4",1,0.25
"gg4",1,0.25
"Ggg",1,0.25
"Ghost train",1,0.25
"Ghost Train",1,0.25
"Ghost train haze",1,0.25
"Girl guide cookies",1,0.25
"Girl Scott cookie",1,0.25
"Girl scout",1,0.25
"Girl Scout Cookie",1,0.25
"glue",1,0.25
"Glue",1,0.25
"God bud",1,0.25
"Gods gift",1,0.25
"GORILLA GLUE",1,0.25
"Gorilla glue ",1,0.25
"Gorilla glue #4",1,0.25
"Gorilla Glue #4",1,0.25
"gorilla goo",1,0.25
"Grand daddy Purple",1,0.25
"Grand daddy purple ",1,0.25
"Grandaddy purple",1,0.25
"Granddaddy Purp",1,0.25
"granddaddy purple",1,0.25
"Granddaddy purple",1,0.25
"grape god",1,0.25
"Grateful Breath",1,0.25
"Gsc",1,0.25
"Guava D",1,0.25
"Harle",1,0.25
"Hemlock",1,0.25
"herijuana",1,0.25
"Herijuana",1,0.25
"High CBD",1,0.25
"High CBD to THC ratio ",1,0.25
"Holy Grail 69",1,0.25
"Hybrid ",1,0.25
"hybrid/indaca",1,0.25
"I prefer indica dominent",1,0.25
"Ilera Shine",1,0.25
"indica",1,0.25
"INDICA",1,0.25
"Indica hybrid",1,0.25
"jack",1,0.25
"Jack Frost",1,0.25
"Jack Frost ",1,0.25
"Jack herer",1,0.25
"Jack Herer",1,0.25
"Jack herer ",1,0.25
"Jack Herrer",1,0.25
"Jack Herrera ",1,0.25
"Jacksons jambo",1,0.25
"Jedi",1,0.25
"Killer Queen",1,0.25
"Kt dawg",1,0.25
"KT Dawg",1,0.25
"Kush ",1,0.25
"Las vegas bubba kush ",1,0.25
"Lavendar Clemintine",1,0.25
"Lavender jones ",1,0.25
"Lee roy",1,0.25
"Lemon ",1,0.25
"Lemon haze",1,0.25
