"id","Most important selection criteria - Criteria","Second most important selection criteria - Criteria","Third most important selection criteria - Criteria"
11320679343,"Cost/Price","Quality","Other cannabinoids and terpenes"
11320098769,"Favorite Strain","Format (flower, vape, edibles, etc)","THC Content"
11121905332,"Other cannabinoids and terpenes","Cost/Price","Quality"
10950506255,"THC Content","Quality","Cost/Price"
10937584160,"Quality","Format (flower, vape, edibles, etc)","Other cannabinoids and terpenes"
10677555646,"CBD Content","THC Content","Format (flower, vape, edibles, etc)"
10633844023,"THC Content","Quality","Cost/Price"
10631124791,"THC Content","Cost/Price","Quality"
10627667913,"Quality","THC Content","Favorite Strain"
10621098231,"Cost/Price","THC Content","Format (flower, vape, edibles, etc)"
10617990640,"THC Content","Favorite Strain","Format (flower, vape, edibles, etc)"
10617106666,"Cost/Price","THC Content","Format (flower, vape, edibles, etc)"
10616000680,"THC Content","CBD Content","Cost/Price"
10615475788,"THC Content","Other cannabinoids and terpenes","Quality"
10615382686,"Favorite Strain","Quality","Cost/Price"
10614765881,"Other cannabinoids and terpenes","Favorite Strain","CBD Content"
10598611443,"Cost/Price","Favorite Strain","Format (flower, vape, edibles, etc)"
10585127234,"Cost/Price","Other cannabinoids and terpenes","Quality"
10572726875,"Cost/Price","Quality","THC Content"
10571082808,"Quality","THC Content","Cost/Price"
10567487173,"Format (flower, vape, edibles, etc)","THC Content","CBD Content"
10514133473,"Cost/Price","THCa","Format (flower, vape, edibles, etc)"
10492240590,"CBD Content","Quality","Cost/Price"
10468360710,"THC Content","CBD Content","CBDa"
10463520639,"CBD Content","CBDa","Cost/Price"
10427038209,"Favorite Strain","THC Content","Quality"
10416058133,"Cost/Price","CBD Content","THC Content"
10384460168,"THC Content","Cost/Price","CBD Content"
10372191516,"Quality","Format (flower, vape, edibles, etc)","Cost/Price"
10353027281,"Favorite Strain","Cost/Price","Quality"
10351985976,"Quality","THC Content","Cost/Price"
10323152506,"Quality","CBD Content","THC Content"
10312356549,"CBD Content","Quality","Cost/Price"
10311833804,"Format (flower, vape, edibles, etc)","Cost/Price","THC Content"
10308744405,"CBD Content","THC Content","Cost/Price"
10304447243,"Quality","Cost/Price","THC Content"
10304363791,"Favorite Strain","Quality","Format (flower, vape, edibles, etc)"
10291978182,"Quality","Other cannabinoids and terpenes","Favorite Strain"
10288934828,"THC Content","Quality","Cost/Price"
10285851934,"Cost/Price","THCa","Format (flower, vape, edibles, etc)"
10282696179,"Format (flower, vape, edibles, etc)","CBD Content","THC Content"
10281129055,"Format (flower, vape, edibles, etc)","Cost/Price","THC Content"
10280889006,"Format (flower, vape, edibles, etc)","THC Content","CBD Content"
10278530046,"THC Content","Quality","Favorite Strain"
10273619577,"Quality","THC Content","CBD Content"
10270973993,"CBD Content","THC Content","Favorite Strain"
10265063063,"THC Content","Cost/Price","Format (flower, vape, edibles, etc)"
10264278489,"THC Content","Cost/Price","Quality"
10263513014,"THC Content","CBD Content","Other cannabinoids and terpenes"
10263390124,"CBD Content","Other cannabinoids and terpenes","THC Content"
10260573889,"THC Content","CBD Content","Quality"
10260504037,"Quality","Cost/Price","Format (flower, vape, edibles, etc)"
10260087945,"Quality","Cost/Price","CBD Content"
10253880384,"Cost/Price","CBD Content","THC Content"
10248976030,"Quality","Quality","Quality"
10248892019,"Format (flower, vape, edibles, etc)","Other cannabinoids and terpenes","Favorite Strain"
10248414752,"Quality","Format (flower, vape, edibles, etc)","Format (flower, vape, edibles, etc)"
10247692900,"Other cannabinoids and terpenes","THC Content","CBD Content"
10247119003,"THC Content","Cost/Price","Format (flower, vape, edibles, etc)"
10246399634,"Quality","Format (flower, vape, edibles, etc)","Favorite Strain"
10244871164,"THCa","CBD Content","Other cannabinoids and terpenes"
10240299203,"CBD Content","THC Content","Other cannabinoids and terpenes"
10239531679,"CBD Content","THC Content","Cost/Price"
10239175816,"Favorite Strain","Quality","Cost/Price"
10238126659,"CBD Content","THC Content","Cost/Price"
10236014104,"THC Content","Cost/Price","Quality"
10235746652,"CBD Content","Favorite Strain","Quality"
10235638327,"Quality","Favorite Strain","Format (flower, vape, edibles, etc)"
10234227563,"Cost/Price","Quality","Favorite Strain"
10234127592,"Favorite Strain","CBD Content","Other cannabinoids and terpenes"
10234061188,"CBD Content","Cost/Price","THC Content"
