"q51","What type of cannabis advertising have you been exposed to in the past 30 days? Please check all that apply.","n =  442"
"response","count","percent_responded"
"Digitally on a cell phone, tablet, or computer (through email, text messages, websites, or social media)","191","43.21"
"Have not seen advertising","137","31"
"In magizines or newspapers","96","21.72"
"On billboards","67","15.16"
"On storefronts","58","13.12"
"In pamphlets or flyers","49","11.09"
"On the radio","47","10.63"
"At an event, like a concert, fair, rodeo, parade, or similar","38","8.6"
"On television","36","8.14"
"On street side marketing, like sandwich boards","27","6.11"
"Other (please specify)","15","3.39"
"On signs being held by people on sidewalks (sign wavers)","9","2.04"
"Other (please specify below)","4","0.9"
