"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","Tinctures","Salves/topicals","Transdermal patches","Suppositories","Capsules","Other (please specify)"
11310196747,"1/4 ounce (~7 grams)","","","","1 gram","","","","","",""
11240366384,"2-3 grams","1 gram","","","4-6 grams","","","","","",""
10647197076,"8 grams -1/2 ounce (~ 14 grams)","","","","","","","","","",""
10626640573,"4-6 grams","","","","","","","","","",""
10615762014,"1/4 ounce (~7 grams)","","","","","","","","","",""
10607912288,"4-6 grams","","","","","","","","","",""
10557455189,"2-3 grams","","","","","","","","","",""
10544524568,"1/4 ounce (~7 grams)","","","",".5 grams or less","","","","","",""
10498671034,"8 grams -1/2 ounce (~ 14 grams)","4-6 grams","","","2-3 grams","","","","","",""
10464834197,"15 grams - 1 ounce (~28 grams)","","","","","","","","","",""
10332101269,"4-6 grams","","","","","","","","","",""
10308943093,"15 grams - 1 ounce (~28 grams)","","","","","","","","","",""
10289128872,"1/4 ounce (~7 grams)",".5 grams or less","","","1 gram","","","","","",""
10275638274,"","8 grams -1/2 ounce (~ 14 grams)","","","","","","","","",""
10255028590,"1/4 ounce (~7 grams)","","","","15 grams - 1 ounce (~28 grams)","","","","","",""
10250278548,"2-3 grams","","","","","","","","","",""
10249664681,"1/4 ounce (~7 grams)","1 gram","","",".5 grams or less","","","","","",""
10248394143,"","","","","","","","","","",""
10246614299,"8 grams -1/2 ounce (~ 14 grams)","","","",".5 grams or less","","","","","",""
10242393876,"8 grams -1/2 ounce (~ 14 grams)","","","",".5 grams or less","","","","","",""
10239109393,"1/4 ounce (~7 grams)","","","",".5 grams or less","","","","","",""
10235873040,"","1 gram","","","","","","","","",""
10231068611,"","","","","1 gram","","","","","",""
10230598781,"","1 gram","","","","","","","","",""
10230431590,"","","","","","","","","","",""
10230346299,"","1 gram","","",".5 grams or less","","","","","",""
10230171943,"","","","","","","","","","",""
10229883527,"4-6 grams","","","","","","","","","",""
10229707932,"","2-3 grams","","","","","","","","",""
10229680195,"2-3 grams","","","","","","","","","",""
10229627874,"8 grams -1/2 ounce (~ 14 grams)","","","","","","","","","",""
10229610141,"","","","","","","","","","",""
10229601010,"","4-6 grams","","","","","","","","",""
10229352625,"","2-3 grams","","","","","","","","",""
10229328989,"2-3 grams","","","",".5 grams or less","","","","","",""
10229310948,"1 gram","","","","","","","","","",""
10225562804,"2-3 grams","","","","","","","","","",""
10215597692,".5 grams or less","","","","","","","","","",""
10214140927,"1 gram","","","","","","","","","",""
10212896873,"",".5 grams or less","","","","","","","","",""
10211143094,"",".5 grams or less","","","","","","","","",""
10210882547,"2-3 grams","","","","","","","","","",""
10205960203,".5 grams or less","","","","","","","","","",""
10199505748,"8 grams -1/2 ounce (~ 14 grams)","2-3 grams","","","","","","","","",""
10198147123,".5 grams or less","","","","","","","","","",""
10196435492,"","2-3 grams","","","4-6 grams","","","","","",""
10192575549,"4-6 grams","","","","","","","","","",""
10192485669,"1/4 ounce (~7 grams)","","","","","","","","","",""
10192041422,"1/4 ounce (~7 grams)","","","","","","","","","",""
10191743884,"1 gram",".5 grams or less","","","","","","","","",""
10191618664,"2-3 grams","","","","","","","","","",""
10191237902,"8 grams -1/2 ounce (~ 14 grams)","","","","","","","","","",""
10190711176,"2-3 grams","","","","","","","","","",""
10188601839,"1 gram",".5 grams or less","","","","","","","","",""
10187563095,"1/4 ounce (~7 grams)","","","",".5 grams or less","","","","","",""
10186281148,"1/4 ounce (~7 grams)","","","","1 gram","","","","","",""
10186078923,"4-6 grams","","","","1 gram","","","","","",""
10180792818,".5 grams or less","","","","","","","","","",""
10179920502,"4-6 grams","","","","1 gram","","","","","",""
10179669534,"15 grams - 1 ounce (~28 grams)","4-6 grams","","","2-3 grams","","","","","",""
10179330306,"2-3 grams","","","","1 gram","","","","","",""
10178986427,"4-6 grams","","","",".5 grams or less","","","","","",""
10176933598,"8 grams -1/2 ounce (~ 14 grams)","","","","2-3 grams","","","","","",""
10172221711,"8 grams -1/2 ounce (~ 14 grams)","","","","","","","","","",""
10168795326,"4-6 grams","","","","","","","","","",""
10168169939,"2-3 grams","","","","","","","","","",""
10167130854,"",".5 grams or less","","","","","","","","",""
10166676707,"1 gram","","","","","","","","","",""
10166619682,"1 gram","","","","","","","","","",""
10166513618,"1/4 ounce (~7 grams)","","","","","","","","","",""
10164915493,"","","","",".5 grams or less","","","","","",""
10164798083,"",".5 grams or less","","","","","","","","",""
10163300389,"4-6 grams","","","","","","","","","",""
10163112692,"","","","","","","","","","",""
10161752939,"4-6 grams","2-3 grams","","",".5 grams or less","","","","","",""
10160094020,"4-6 grams","","","","","","","","","",""
10158359541,"4-6 grams","","","","","","","","","",""
10156543135,"2-3 grams","1 gram","","",".5 grams or less","","","","","",""
10153580627,"","","","","4-6 grams","","","","","",""
10149690562,"1/4 ounce (~7 grams)","2-3 grams","","","","","","","","",""
10149116440,"","","","","","","","","","",""
10147353916,"","2-3 grams","","",".5 grams or less","","","","","",""
10146324196,"4-6 grams","","","","","","","","","",""
10146296373,"1/4 ounce (~7 grams)",".5 grams or less","","","1 gram","","","","","",""
10145627229,"1 gram","","","","","","","","","",""
10145264541,"2-3 grams","","","","","","","","","",""
10144768270,"8 grams -1/2 ounce (~ 14 grams)","","","","","","","","","",""
10143278634,"1 gram","","","","","","","","","",""
10143179433,"",".5 grams or less","","","","","","","","",""
10143136866,"","1 gram","","",".5 grams or less","","","","","",""
10143109892,".5 grams or less","","","","","","","","","",""
10143056609,"","2-3 grams","","","","","","","","",""
10142697139,"","","","","","","","","","",""
10142600591,"1/4 ounce (~7 grams)","","","","","","","","","",""
10142598571,"1/4 ounce (~7 grams)","","","","","","","","","",""
10138932667,"4-6 grams","","","","","","","","","",""
10138814442,"","2-3 grams","","","","","","","","",""
10138747058,"8 grams -1/2 ounce (~ 14 grams)",".5 grams or less","","","","","","","","",""
10138444251,"1/4 ounce (~7 grams)","","","","2-3 grams","","","","","",""
10138000107,"","2-3 grams","","","","","","","","",""
10137952529,"4-6 grams","","","",".5 grams or less","","","","","",""
10137880777,"","","","","","","","","","","1/4 ounce (~7 grams)"
10135185924,"1/4 ounce (~7 grams)","","","","1 gram","","","","","",""
10134959359,"1/4 ounce (~7 grams)","","","","","","","","","",""
10134812473,"1 gram","","","","","","","","","",""
10134672044,"2-3 grams",".5 grams or less","","","","","","","","",""
10134444954,"2-3 grams","","","","","","","","","",""
10133552929,"4-6 grams","","","","","","","","","",""
10133313827,"4-6 grams","","","","","","","","","",""
10132648660,"2-3 grams","","","","1 gram","","","","","",""
10132020171,"1 gram","4-6 grams","","","","","","","","",""
10131449748,"","","","","","","","","","",""
10131218652,"","","","","15 grams - 1 ounce (~28 grams)","","","","","",""
10131213551,"1/4 ounce (~7 grams)","","","","","","","","","",""
10131197986,"",".5 grams or less","","","","","","","","",""
10129774081,"2-3 grams","","","","","","","","","",""
10129670801,".5 grams or less","","","","","","","","","",""
10129650193,"8 grams -1/2 ounce (~ 14 grams)","","","","1 gram","","","","","",""
10129462723,"1 gram","","","","","","","","","",""
10129169941,"2-3 grams",".5 grams or less","","","","","","","","",""
10129096589,"More than 1 ounce","","","","1 gram","","","","","",""
10128728196,"4-6 grams","","","","","","","","","",""
10128457377,"4-6 grams","1 gram","","",".5 grams or less","","","","","",""
10128186756,"4-6 grams","","","","","","","","","",""
10127654232,"1/4 ounce (~7 grams)",".5 grams or less","","","","","","","","",""
10127475954,"4-6 grams","2-3 grams","","","","","","","","",""
10127441384,"1/4 ounce (~7 grams)","","","","","","","","","",""
10127325380,"8 grams -1/2 ounce (~ 14 grams)","","","","2-3 grams","","","","","",""
10127186413,"","","","","1 gram","","","","","",""
10127178776,"1 gram","","","","","","","","","",""
10127174778,"","","","","","","","","","",""
10127157053,"","4-6 grams","","",".5 grams or less","","","","","",""
10127155395,".5 grams or less","4-6 grams","","","","","","","","",""
10126818130,"1/4 ounce (~7 grams)","","","","","","","","","",""
10124310683,"4-6 grams","1 gram","","",".5 grams or less","","","","","",""
10124217943,"2-3 grams",".5 grams or less","","","","","","","","",""
10122454581,"2-3 grams","","","","","","","","","",""
10120129559,"2-3 grams","4-6 grams","","",".5 grams or less","","","","","",""
10120117922,"1/4 ounce (~7 grams)","","","","","","","","","",""
10120110022,"4-6 grams","","","","","","","","","",""
10120098470,"","4-6 grams","","","","","","","","",""
10120091371,"1/4 ounce (~7 grams)","","","",".5 grams or less","","","","","",""
10120087322,"2-3 grams","","","","1 gram","","","","","",""
10120029854,"1 gram",".5 grams or less","","","","","","","","",""
10119119506,"4-6 grams","","","","","","","","","",""
10115753806,"1/4 ounce (~7 grams)","","","","","","","","","",""
10114292630,"1 gram",".5 grams or less","","","","","","","","",""
10114088770,"8 grams -1/2 ounce (~ 14 grams)","","","","","","","","","",""
10113037295,"2-3 grams","","","",".5 grams or less","","","","","",""
10109468243,"4-6 grams",".5 grams or less","","","2-3 grams","","","","","",""
10104860194,"1/4 ounce (~7 grams)","","","","","","","","","",""
