"q18","On average, how much do you spend (in US dollars) on consumable cannabis products each week?","n =  151  avg =  68.179"
"response","count","percent_responded"
"50","25","16.56"
"100","19","12.58"
"25","12","7.95"
"0","11","7.28"
"40","10","6.62"
"200","8","5.3"
"75","6","3.97"
"10","5","3.31"
"150","5","3.31"
"20","5","3.31"
"45","5","3.31"
"5","5","3.31"
"30","4","2.65"
"60","4","2.65"
"70","4","2.65"
"15","3","1.99"
"160","2","1.32"
"300","2","1.32"
"85","2","1.32"
"1","1","0.66"
"110","1","0.66"
"120","1","0.66"
"180","1","0.66"
"2","1","0.66"
"220","1","0.66"
"35","1","0.66"
"4","1","0.66"
"500","1","0.66"
"55","1","0.66"
"65","1","0.66"
"8","1","0.66"
"80","1","0.66"
"90","1","0.66"
