"response","count","percent_responded"
"Blue Dream",6,3.97
"Sour Diesel",6,3.97
"Indica",3,1.99
"Sour diesel",3,1.99
"Tangie",3,1.99
"Bio deisel",2,1.32
"Blissful Wizard",2,1.32
"Blue dream",2,1.32
"Bruce Banner",2,1.32
"Flo",2,1.32
"GG#4",2,1.32
"Gorilla Glue #4",2,1.32
"Headband",2,1.32
"Jack Herer",2,1.32
"Moonrise",2,1.32
"Northern Lights",2,1.32
"Sativa",2,1.32
"sour diesel",2,1.32
"Sweet Tooth",2,1.32
"3D-3",1,0.66
"Acapulco Gold",1,0.66
"Amnesia Haze",1,0.66
"ATF",1,0.66
"Bangin' Ticket",1,0.66
"Bio Deisel",1,0.66
"Black Raspberry",1,0.66
"Black Triangle Kush",1,0.66
"Blue dragon",1,0.66
"Blue dream ",1,0.66
"Blueberry",1,0.66
"blueberry headband",1,0.66
"Blueberry og",1,0.66
"Bubba Kush",1,0.66
"Buddha's Sister",1,0.66
"CBD 1:1",1,0.66
"CBD/THC 1-1",1,0.66
"Chem Dawg",1,0.66
"Chemdawg",1,0.66
"chocolate cream",1,0.66
"Chocolate Oranges",1,0.66
"Cookie Pebbles",1,0.66
"Doesnt matter",1,0.66
"Don’t know",1,0.66
"dont know",1,0.66
"Durban poison",1,0.66
"Durban Poison ",1,0.66
"Facewreck",1,0.66
"Fire OG",1,0.66
"Gg#4",1,0.66
"Gg4",1,0.66
"Ghost train haze",1,0.66
"Ghost Train Haze",1,0.66
"Ghost Train Haze ",1,0.66
"Girl Scout ",1,0.66
"Girl Scout Cookie",1,0.66
"Girl Scout cookies ",1,0.66
"Gorilla Glue",1,0.66
"Granddaddy Purple Gdp Indica. ",1,0.66
"Grape god ",1,0.66
"Grease Monkey OG",1,0.66
"Green crack",1,0.66
"Green crack ",1,0.66
"Harliquien",1,0.66
"Holy Moly ",1,0.66
"Hshsj",1,0.66
"hybrid",1,0.66
"Hybrid",1,0.66
"idk",1,0.66
"indica",1,0.66
"Indica-stain unknown",1,0.66
"indigo",1,0.66
"Inica",1,0.66
"Jack Frost",1,0.66
"Jack harer ",1,0.66
"Kush",1,0.66
"L'Orange",1,0.66
"LA Confidential",1,0.66
"las vegas bubba kush",1,0.66
"Lemon G",1,0.66
"Lemon Jeffery",1,0.66
"Lemon meringue",1,0.66
"Lemon Meringue",1,0.66
"Lemon meringue ",1,0.66
"Lemon Meringue ",1,0.66
"lemon skunk",1,0.66
"Magic Beans ( beta carophyleene) ?",1,0.66
"Mandarin Jack",1,0.66
"Me.Clean",1,0.66
"Melodious funk&jack",1,0.66
"Meltdown",1,0.66
"Moonshine haze",1,0.66
"Mr. Clean",1,0.66
"Night nurse ",1,0.66
"Northern lights",1,0.66
"OMG",1,0.66
"Orange Harambe",1,0.66
"pineapple express ",1,0.66
"Pink Lemonade",1,0.66
"Purple dawg",1,0.66
"Sacari",1,0.66
"sativa",1,0.66
"Serious Happiness",1,0.66
"Silver haze",1,0.66
"Skywalker Kush",1,0.66
"Sour Jack",1,0.66
"sour tangie",1,0.66
"Star 91 #8",1,0.66
"Strawberry Fields",1,0.66
"Sunset sherbert ",1,0.66
"Sunshine Daydream",1,0.66
"Super Silver Haze",1,0.66
"Sweet tooth",1,0.66
"Tang Tang x Afghani",1,0.66
"Tangerine Haze",1,0.66
"Tangle ",1,0.66
"Trainwreck",1,0.66
"unknown",1,0.66
"Wedding Cake",1,0.66
"White Fire Alien",1,0.66
"White harmony ",1,0.66
"Wonder woman",1,0.66
