"id","Most important selection criteria - Criteria","Second most important selection criteria - Criteria","Third most important selection criteria - Criteria"
11310196747,"THC Content","CBD Content","Format (flower, vape, edibles, etc)"
11240366384,"Quality","Cost/Price","THC Content"
10647197076,"THC Content","Quality","Format (flower, vape, edibles, etc)"
10626640573,"THC Content","Cost/Price","Format (flower, vape, edibles, etc)"
10615762014,"THC Content","CBD Content","Favorite Strain"
10607912288,"Format (flower, vape, edibles, etc)","Favorite Strain","THC Content"
10557455189,"THC Content","Quality","Cost/Price"
10544524568,"Quality","Format (flower, vape, edibles, etc)","Cost/Price"
10498671034,"THC Content","Cost/Price","Quality"
10464834197,"THC Content","Quality","Format (flower, vape, edibles, etc)"
10332101269,"Format (flower, vape, edibles, etc)","Favorite Strain","Cost/Price"
10308943093,"Format (flower, vape, edibles, etc)","THC Content","Cost/Price"
10289128872,"CBD Content","THC Content","Quality"
10275638274,"Quality","Cost/Price","Format (flower, vape, edibles, etc)"
10255028590,"Quality","Other cannabinoids and terpenes","THCa"
10250278548,"THC Content","Cost/Price","Favorite Strain"
10249664681,"Favorite Strain","Cost/Price","THC Content"
10248394143,"CBD Content","THC Content","Other cannabinoids and terpenes"
10246614299,"Cost/Price","Quality","THC Content"
10242393876,"Quality","THC Content","Format (flower, vape, edibles, etc)"
10239109393,"Quality","CBD Content","THC Content"
10235873040,"CBD Content","Quality","Cost/Price"
10231068611,"Quality","THC Content","Cost/Price"
10230598781,"THC Content","CBD Content","Quality"
10230431590,"CBD Content","THC Content","Quality"
10230346299,"THC Content","CBD Content","Quality"
10230171943,"Format (flower, vape, edibles, etc)","THC Content","Favorite Strain"
10229883527,"THC Content","Quality","Favorite Strain"
10229707932,"Quality","Cost/Price","Format (flower, vape, edibles, etc)"
10229680195,"Format (flower, vape, edibles, etc)","Other cannabinoids and terpenes","Quality"
10229627874,"Quality","THC Content","Cost/Price"
10229610141,"CBD Content","Other cannabinoids and terpenes","THC Content"
10229601010,"Other cannabinoids and terpenes","THC Content","Cost/Price"
10229352625,"Favorite Strain","Format (flower, vape, edibles, etc)","Quality"
10229328989,"Other cannabinoids and terpenes","Format (flower, vape, edibles, etc)","Cost/Price"
10229310948,"THC Content","CBD Content","Cost/Price"
10225562804,"Cost/Price","THC Content","Format (flower, vape, edibles, etc)"
