"q59","What is the University or College closest to where you live?","n =  136"
"response","count","percent_responded"
"Tufts","6","4.41"
"Umass","5","3.68"
"Harvard","4","2.94"
"Boston University","2","1.47"
"Northeastern","2","1.47"
"Smith College","2","1.47"
"Springfield College","2","1.47"
"STCC","2","1.47"
"Tufts University","2","1.47"
"UMass","2","1.47"
"Western New England","2","1.47"
"Western New England University","2","1.47"
"AIC","1","0.74"
"Amherst college","1","0.74"
"any of the Boston schools","1","0.74"
"Bay Path College","1","0.74"
"Baypath University","1","0.74"
"Berkshire Community College","1","0.74"
"Boston","1","0.74"
"Boston ","1","0.74"
"Boston College","1","0.74"
"Boston College/University/etc","1","0.74"
"Boston University ","1","0.74"
"Bowdoin college","1","0.74"
"Brandeis","1","0.74"
"Bristol Community College","1","0.74"
"Bronx Community College","1","0.74"
"Bunker Hill","1","0.74"
"Bunkerhill","1","0.74"
"Cape Cod Community College","1","0.74"
"Cape Cod Comunity","1","0.74"
"CU Denver","1","0.74"
"Curry College","1","0.74"
"Curry college ","1","0.74"
"Dean college probably","1","0.74"
"Elms College","1","0.74"
"Farmington state","1","0.74"
"FSU","1","0.74"
"Grant Macewan","1","0.74"
"Greenfield Community College","1","0.74"
"Greenfield community college ","1","0.74"
"harvard","1","0.74"
"Harvard ","1","0.74"
"Harvard university ","1","0.74"
"Harvard University ","1","0.74"
"Holy Cross","1","0.74"
"I don’t know","1","0.74"
"IRSC","1","0.74"
"Lasell College","1","0.74"
"Loyola ","1","0.74"
"Massachusetts Institute of Technology ","1","0.74"
"Merrimac College","1","0.74"
"Merrimack","1","0.74"
"Merrimack college","1","0.74"
"Merrimack College ","1","0.74"
"Middle Tennessee State University","1","0.74"
"N/a","1","0.74"
"No Idea","1","0.74"
"North Florida college","1","0.74"
"north shore community college","1","0.74"
"Northeastern ","1","0.74"
"Northeastern University","1","0.74"
"Not applicable ","1","0.74"
"Not sure","1","0.74"
"Quinsigamond community college ","1","0.74"
"Salem State College","1","0.74"
"Salem State University","1","0.74"
"Simmons","1","0.74"
"Skidmore College","1","0.74"
"smith","1","0.74"
"Smith college","1","0.74"
"Smith college ","1","0.74"
"Southern Oregon University","1","0.74"
"stcc","1","0.74"
"suffolk","1","0.74"
"Tidewater Community College//Old Dominion University // Norfolk State University","1","0.74"
"towson state","1","0.74"
"U MAINE ","1","0.74"
"U Mass","1","0.74"
"U Mass Amherst","1","0.74"
"U of Dayton","1","0.74"
"U. of Maryland","1","0.74"
"UCB","1","0.74"
"UCF","1","0.74"
"UCSF","1","0.74"
"UMASD","1","0.74"
"UMASS","1","0.74"
"Umass  Dartmouth","1","0.74"
"UMass Amherst","1","0.74"
"UMASS Amherst","1","0.74"
"Umass dartmouth","1","0.74"
"UMASS Dartmouth","1","0.74"
"UMass Dartmouth ","1","0.74"
"UMass Dartmouth ?","1","0.74"
"Umass Lowell","1","0.74"
"UMass Lowell","1","0.74"
"UMD","1","0.74"
"UNE","1","0.74"
"UNH","1","0.74"
"University of Bridgeport ","1","0.74"
"University of British Columbia","1","0.74"
"University of Maine","1","0.74"
"University of Mass Dartmouth","1","0.74"
"University of Massachusetts","1","0.74"
"University of Massachusetts Dartmouth","1","0.74"
"University of Nevada, Las Vegas","1","0.74"
"University of Portland","1","0.74"
"University of Tulsa","1","0.74"
"USF","1","0.74"
"Wachusett Community College","1","0.74"
"Westfield State ","1","0.74"
"Westfield State University","1","0.74"
"Westfield University ","1","0.74"
"Wheaton","1","0.74"
"Worcester state","1","0.74"
