"q52","What questions regarding cannabis did we not ask that are important to you?","n =  794"
"response","count","percent_responded"
"None","165","20.78"
"none","76","9.57"
"N/A","33","4.16"
"None ","23","2.9"
"n/a","20","2.52"
"N/a","18","2.27"
"Nothing","14","1.76"
"Na","11","1.39"
"Nothing ","7","0.88"
"None.","5","0.63"
"Not sure","5","0.63"
"not sure","4","0.5"
"na","3","0.38"
"No","3","0.38"
"none ","3","0.38"
"None that I can think of","3","0.38"
"Nothing I can think of","3","0.38"
"can't think of any","2","0.25"
"Can't think of any","2","0.25"
"Can't think of any.","2","0.25"
"Can't think of anything","2","0.25"
"Can’t think of any ","2","0.25"
"n\a","2","0.25"
"Na ","2","0.25"
"None  ","2","0.25"
"None that I can think of.","2","0.25"
"Not sure ","2","0.25"
"nothing","2","0.25"
"Price","2","0.25"
"Pricing","2","0.25"
"1) How may I find employment in this growing industry?    2) Will there be training for skilled labor positions (such as kitchen or Lab work) in the industry?","1","0.13"
"About medical card","1","0.13"
"about my sustained and maintenance care regarding opiate addiction recovery. Survey focuses only on patients who are ""trying it"" ... I've been succeeding for the past 3 years. The information regarding the continued care in this area of recovery that is not ""NEW""OR ""TRYING"" ... but actually succeeding, (questions about ""sustaining success,"" etc)","1","0.13"
"Accepting payments in XLM, XRP, ETH BCH, BTC.","1","0.13"
"activities enjoyed while medicated","1","0.13"
"Add FECO to list of products used.","1","0.13"
"Advertising","1","0.13"
"All","1","0.13"
"All answered ","1","0.13"
"all good","1","0.13"
"All good","1","0.13"
"ALL OF THEM","1","0.13"
"All references seem to be dispensary or budtender based.  Maybe ask how many are using private caregivers and the quality we offer.","1","0.13"
"All seemed to be covered","1","0.13"
"All where","1","0.13"
"Am i interested in stronger strains for sleep, relaxation, depression help?  Yes.","1","0.13"
"Are the patients' needs being met satisfactorily by the supply of dispensaries (No, more demand than available supply)","1","0.13"
"Are there social benefits that cannabis can offer people?","1","0.13"
"Are your healcare providers knowledgeable about the specifics of medicinal cannabis use? Not at all!","1","0.13"
"Aroma ","1","0.13"
"As someone who has moved out of state, I would love comparisons made between our flower to say, Colorado or California. I have tried a lot that Massachusetts has had to offer and it just seems to continually fall short. ","1","0.13"
"ask whether or not patient wants to feel psychoactive effect or whether that is a problem. ","1","0.13"
"Balance of CBD to THC","1","0.13"
"Bask","1","0.13"
"Believe you've covered it all in this survey","1","0.13"
"can't think of any ","1","0.13"
"Can't think of any ","1","0.13"
"Can't think of any right now","1","0.13"
"Can't think of one","1","0.13"
"Can I have the right to protect myself with the 2nd amendment and still have my medicine? ","1","0.13"
"can I travel with my medication?","1","0.13"
"can not think of any ","1","0.13"
"Can’t think of any","1","0.13"
"Can’t think of any at this moment ","1","0.13"
"Can’t think of anything right now ","1","0.13"
