"q55","What is your age in years?","n =  819  avg =  NA"
"response","count","percent_responded"
"35","27","3.3"
"40","27","3.3"
"30","25","3.05"
"39","24","2.93"
"36","23","2.81"
"57","23","2.81"
"28","22","2.69"
"33","22","2.69"
"60","22","2.69"
"41","20","2.44"
"65","20","2.44"
"29","19","2.32"
"32","19","2.32"
"47","19","2.32"
"50","19","2.32"
"62","19","2.32"
"37","18","2.2"
"42","18","2.2"
"51","18","2.2"
"59","18","2.2"
"56","17","2.08"
"49","16","1.95"
"52","16","1.95"
"53","16","1.95"
"55","16","1.95"
"61","16","1.95"
"34","15","1.83"
"43","15","1.83"
"63","15","1.83"
"38","14","1.71"
"46","14","1.71"
"67","14","1.71"
"58","13","1.59"
"23","12","1.47"
"27","12","1.47"
"44","12","1.47"
"45","12","1.47"
"54","12","1.47"
"66","12","1.47"
"24","11","1.34"
"31","11","1.34"
"68","11","1.34"
"25","10","1.22"
"26","10","1.22"
"48","10","1.22"
"22","9","1.1"
"64","9","1.1"
"21","8","0.98"
"69","6","0.73"
"70","5","0.61"
"75","5","0.61"
"71","4","0.49"
"73","4","0.49"
"72","2","0.24"
"74","2","0.24"
"76","2","0.24"
"79","2","0.24"
"80","2","0.24"
"14","1","0.12"
"16","1","0.12"
"19","1","0.12"
"92","1","0.12"
"Open-Ended Response","1","0.12"
