"q65","Which of the following best represents your ethnic heritage?","n =  825"
"response","count","percent_responded"
"Non-Hispanic White or Euro-American","645","78.18"
"Prefer not to answer","61","7.39"
"Black, Afro-Caribbean, or African American","41","4.97"
"Latino or Hispanic American","35","4.24"
"Other","32","3.88"
"Native American or Alaskan Native","6","0.73"
"Middle Eastern or Arab American","2","0.24"
"Other (please specify)","1","0.12"
"Response","1","0.12"
"South Asian or Indian American","1","0.12"
