"id","Smoke flower","Vape flower","Vape cartridges","Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","Tinctures","Salves/topicals","Transdermal patches","Suppositories","Capsules","Other (please specify)"
11148895510,"","","","6-25 mg","","","","","","",""
11111801761,"","","","5 mg or less","","","","","","",""
10950506255,"","","","","","","","","","501 - 1000 mg",""
10937584160,"","","","6-25 mg","","","","","","",""
10633844023,"","","","5 mg or less","","","","","","",""
10615607693,"","","","5 mg or less","","","","","","",""
10615475788,"","","","","","","","","","",""
10615382686,"","","","5 mg or less","","","","","","",""
10585127234,"","","","","","","","","","",""
10572726875,"","","","","","","","26 - 50 mg","","51 - 100 mg",""
10552807575,"","","","","","","","","1001 or more mg","",""
10544586314,"","","","6-25 mg","","","","","","",""
10542229138,"","","","","","","","","","",""
10492240590,"","","","5 mg or less","","","","","","",""
10444236346,"","","","5 mg or less","","","","","","",""
10416058133,"","","","","","","","","","5 mg or less",""
10390735914,"","","","","","","","","","",""
10389539123,"","","","201 - 500 mg","","","","","","",""
10384460168,"","","","26 - 50 mg","","","","","","",""
10372191516,"","","","26 - 50 mg","","","","","","",""
10361398461,"","","","","","","","","","5 mg or less",""
10349445006,"","","","6-25 mg","","","","","","",""
10332089931,"","","","201 - 500 mg","","","","","","51 - 100 mg",""
10323152506,"","","","","","","","","","",""
10311833804,"","","","26 - 50 mg","","","","","","",""
10308744405,"","","","","","","","","","",""
10304447243,"","","","26 - 50 mg","","","","","","6-25 mg",""
10304363791,"","","","","","","","","","",""
10291978182,"","","","","","","","","","",""
10289128872,"","","","","","","","","","",""
10281129055,"","","","6-25 mg","","","","","","",""
10273619577,"","","","","","","","","","",""
10263513014,"","","","201 - 500 mg","","","","","","",""
10263390124,"","","","","","","","","","51 - 100 mg",""
10260573889,"","","","51 - 100 mg","","","","","","",""
10260087945,"","","","501 - 1000 mg","","","","","","",""
10248414752,"","","","","","","","","","",""
10248394143,"","","","","","","","","","",""
10247119003,"","","","","","","","","","",""
10246399634,"","","","26 - 50 mg","","","","","6-25 mg","",""
10244871164,"","","","","","","","","","",""
10243813684,"","","","","","","","","","5 mg or less",""
10240299203,"","","","5 mg or less","","","","","","",""
10239531679,"","","","","","","","","","",""
10236223392,"","","","51 - 100 mg","","","","","","6-25 mg",""
10235638327,"","","","6-25 mg","","","","","","",""
10234227563,"","","","","","","","","","26 - 50 mg",""
10233820864,"","","","","","","","","","",""
10233709696,"","","","","","","","","","",""
10233663249,"","","","","","","","","","",""
10233531303,"","","","6-25 mg","","","","","","",""
10233496428,"","","","51 - 100 mg","","","","","","",""
10233094381,"","","","","","","","","","",""
10232773585,"","","","","","","","","1001 or more mg","",""
10232503546,"","","","5 mg or less","","","","","","",""
10232232344,"","","","5 mg or less","","","","","","",""
10231913670,"","","","1001 or more mg","","","","501 - 1000 mg","26 - 50 mg","",""
10231678479,"","","","","","","","","","",""
10231654493,"","","","","","","","","","",""
10231434152,"","","","201 - 500 mg","","","","","","",""
10231412715,"","","","5 mg or less","","","","","","",""
10231064348,"","","","5 mg or less","","","","","","",""
10230754508,"","","","","","","","","","6-25 mg",""
10230701658,"","","","6-25 mg","","","","","","",""
10230603790,"","","","51 - 100 mg","","","","","","",""
10230506284,"","","","","","","","","","",""
10230246660,"","","","501 - 1000 mg","","","","","","",""
10230236662,"","","","","","","","","","",""
10230167859,"","","","","","","","","","",""
10229975238,"","","","5 mg or less","","","","","","",""
10229949182,"","","","51 - 100 mg","","","","","","",""
10229872745,"","","","","","","","","","5 mg or less",""
10229779148,"","","","5 mg or less","","","","","","",""
