"id","Most important selection criteria - Criteria","Second most important selection criteria - Criteria","Third most important selection criteria - Criteria"
11148895510,"THC Content","Cost/Price","Quality"
11111801761,"Format (flower, vape, edibles, etc)","Cost/Price","Quality"
10950506255,"THC Content","Quality","Cost/Price"
10937584160,"Quality","Format (flower, vape, edibles, etc)","Other cannabinoids and terpenes"
10633844023,"THC Content","Quality","Cost/Price"
10615607693,"Format (flower, vape, edibles, etc)","Cost/Price","THC Content"
10615475788,"THC Content","Other cannabinoids and terpenes","Quality"
10615382686,"Favorite Strain","Quality","Cost/Price"
10585127234,"Cost/Price","Other cannabinoids and terpenes","Quality"
10572726875,"Cost/Price","Quality","THC Content"
10552807575,"Other cannabinoids and terpenes","Quality","Format (flower, vape, edibles, etc)"
10544586314,"THC Content","Cost/Price","Quality"
10542229138,"Quality","Favorite Strain","Cost/Price"
10492240590,"CBD Content","Quality","Cost/Price"
10444236346,"Quality","Cost/Price","Format (flower, vape, edibles, etc)"
10416058133,"Cost/Price","CBD Content","THC Content"
10390735914,"Quality","THC Content","Cost/Price"
10389539123,"THC Content","Quality","Cost/Price"
10384460168,"THC Content","Cost/Price","CBD Content"
10372191516,"Quality","Format (flower, vape, edibles, etc)","Cost/Price"
10361398461,"Favorite Strain","Quality","Cost/Price"
10349445006,"Quality","Cost/Price","Format (flower, vape, edibles, etc)"
10332089931,"THC Content","Cost/Price","Favorite Strain"
10323152506,"Quality","CBD Content","THC Content"
10311833804,"Format (flower, vape, edibles, etc)","Cost/Price","THC Content"
10308744405,"CBD Content","THC Content","Cost/Price"
10304447243,"Quality","Cost/Price","THC Content"
10304363791,"Favorite Strain","Quality","Format (flower, vape, edibles, etc)"
10291978182,"Quality","Other cannabinoids and terpenes","Favorite Strain"
10289128872,"CBD Content","THC Content","Quality"
10281129055,"Format (flower, vape, edibles, etc)","Cost/Price","THC Content"
10273619577,"Quality","THC Content","CBD Content"
10263513014,"THC Content","CBD Content","Other cannabinoids and terpenes"
10263390124,"CBD Content","Other cannabinoids and terpenes","THC Content"
10260573889,"THC Content","CBD Content","Quality"
10260087945,"Quality","Cost/Price","CBD Content"
10248414752,"Quality","Format (flower, vape, edibles, etc)","Format (flower, vape, edibles, etc)"
10248394143,"CBD Content","THC Content","Other cannabinoids and terpenes"
10247119003,"THC Content","Cost/Price","Format (flower, vape, edibles, etc)"
10246399634,"Quality","Format (flower, vape, edibles, etc)","Favorite Strain"
10244871164,"THCa","CBD Content","Other cannabinoids and terpenes"
10243813684,"CBD Content","Format (flower, vape, edibles, etc)","CBDa"
10240299203,"CBD Content","THC Content","Other cannabinoids and terpenes"
10239531679,"CBD Content","THC Content","Cost/Price"
10236223392,"Quality","CBD Content","Other cannabinoids and terpenes"
10235638327,"Quality","Favorite Strain","Format (flower, vape, edibles, etc)"
10234227563,"Cost/Price","Quality","Favorite Strain"
10233820864,"THC Content","THC Content","THC Content"
10233709696,"Quality","Format (flower, vape, edibles, etc)","THC Content"
10233663249,"Other cannabinoids and terpenes","THC Content","Quality"
10233531303,"Format (flower, vape, edibles, etc)","CBD Content","Other cannabinoids and terpenes"
10233496428,"Quality","Cost/Price","THCa"
10233094381,"THC Content","Quality","Format (flower, vape, edibles, etc)"
10232773585,"THC Content","CBD Content","Quality"
10232503546,"CBD Content","THC Content","Quality"
10232232344,"CBD Content","THC Content","Quality"
10231913670,"CBD Content","THC Content","Other cannabinoids and terpenes"
10231678479,"Quality","Format (flower, vape, edibles, etc)","Cost/Price"
10231654493,"Favorite Strain","THCa","THC Content"
10231434152,"Cost/Price","THC Content","Format (flower, vape, edibles, etc)"
10231412715,"CBD Content","THC Content","Quality"
10231064348,"CBD Content","Quality","Format (flower, vape, edibles, etc)"
10230754508,"Quality","CBD Content","Cost/Price"
10230701658,"THC Content","CBD Content","Cost/Price"
10230603790,"Cost/Price","Favorite Strain","Quality"
10230506284,"THC Content","CBD Content","Other cannabinoids and terpenes"
10230246660,"Quality","Format (flower, vape, edibles, etc)","THC Content"
10230236662,"CBD Content","THC Content","Cost/Price"
10230167859,"THC Content","CBD Content","Cost/Price"
10229975238,"CBD Content","THC Content","Quality"
10229949182,"THC Content","CBD Content",""
10229872745,"Favorite Strain","CBD Content",""
10229779148,"THC Content","CBD Content","Other cannabinoids and terpenes"
10229649057,"Quality","Cost/Price","Other cannabinoids and terpenes"
10229631055,"Cost/Price","CBD Content","THC Content"
10229590537,"Format (flower, vape, edibles, etc)","THC Content","Other cannabinoids and terpenes"
10229491086,"Favorite Strain","Quality","Cost/Price"
10229459581,"Quality","THC Content","Cost/Price"
10229449766,"Quality","THC Content","Other cannabinoids and terpenes"
10229426798,"THC Content","Cost/Price","Format (flower, vape, edibles, etc)"
10229403521,"THC Content","CBD Content","Quality"
10229359369,"CBD Content","THC Content","Other cannabinoids and terpenes"
10229357731,"Cost/Price","Format (flower, vape, edibles, etc)","Quality"
10229350099,"THC Content","Cost/Price","Other cannabinoids and terpenes"
10229334562,"Format (flower, vape, edibles, etc)","Quality","Cost/Price"
10229334166,"CBD Content","THC Content","Favorite Strain"
10229306258,"Quality","CBD Content","THCa"
10229304627,"Cost/Price","THC Content","THCa"
10229304615,"Quality","THC Content","Other cannabinoids and terpenes"
10223907822,"Quality","Format (flower, vape, edibles, etc)","Cost/Price"
10223638652,"Quality","Format (flower, vape, edibles, etc)","Other cannabinoids and terpenes"
10213685358,"Quality","Cost/Price","Other cannabinoids and terpenes"
10211611510,"Cost/Price","Quality","THC Content"
10210751776,"THC Content","Cost/Price","Quality"
10203196565,"THC Content","",""
10198548060,"THC Content","Quality","Cost/Price"
10195755785,"THC Content","CBD Content","Cost/Price"
10194507000,"Format (flower, vape, edibles, etc)","Quality","Cost/Price"
10194494769,"THC Content","CBD Content","Quality"
10193457250,"Quality","THC Content","Cost/Price"
10192995461,"THC Content","Quality","Cost/Price"
10192878974,"Quality","Quality","Quality"
10192727692,"Cost/Price","Favorite Strain","Quality"
10192572679,"Quality","CBD Content","THC Content"
10192552732,"THC Content","CBD Content","Quality"
10192533361,"Cost/Price","THC Content","Format (flower, vape, edibles, etc)"
10192498772,"CBD Content","THC Content","Quality"
10189186912,"Cost/Price","Format (flower, vape, edibles, etc)","THC Content"
10188835145,"Quality","Format (flower, vape, edibles, etc)","THC Content"
10188408371,"Quality","",""
10187862055,"Cost/Price","THC Content","Format (flower, vape, edibles, etc)"
10187399811,"Quality","THC Content","CBD Content"
10186789647,"THCa","CBD Content","Quality"
10185410224,"Cost/Price","CBD Content","Quality"
10184855403,"Other cannabinoids and terpenes","Quality","Format (flower, vape, edibles, etc)"
