"q61","What is the highest degree or level of school you have completed? If you are currently enrolled in school, please indicate the highest degree you have recieved.","n =  224"
"response","count","percent_responded"
"Some college, no degree","64","28.57"
"Bachelors degree","52","23.21"
"Masters degree","33","14.73"
"High school degree or equivalent (GED)","31","13.84"
"Associate degree","24","10.71"
"Professional degree (MD, JD, DDS, DVM)","11","4.91"
"Prefer not to answer","6","2.68"
"Doctorate (Ph.D., EdD, etc)","3","1.34"
