"id","Most important selection criteria - Criteria","Second most important selection criteria - Criteria","Third most important selection criteria - Criteria"
10229488647,"THC Content","",""
10133779899,"CBD Content","CBDa","THC Content"
10615389728,"THC Content","Quality","Cost/Price"
10136956781,"THC Content","THC Content","THC Content"
10232619769,"THC Content","Cost/Price","Quality"
10167461882,"Quality","Cost/Price","Favorite Strain"
10514133473,"Cost/Price","THCa","Format (flower, vape, edibles, etc)"
10288684650,"Cost/Price","Favorite Strain","CBD Content"
10235873040,"CBD Content","Quality","Cost/Price"
10235861140,"THC Content","Quality","Cost/Price"
10230804869,"THCa","Quality","Cost/Price"
10229628331,"Cost/Price","THC Content","Quality"
10214140927,"Quality","Favorite Strain","Format (flower, vape, edibles, etc)"
10201076986,"Quality","Format (flower, vape, edibles, etc)","THC Content"
10158853744,"Quality","Cost/Price","THC Content"
10156543135,"Other cannabinoids and terpenes","Cost/Price","Quality"
10145264898,"THC Content","CBD Content","Other cannabinoids and terpenes"
10142940938,"Format (flower, vape, edibles, etc)","CBD Content","THCa"
10140592522,"THC Content","Cost/Price","Quality"
10136878865,"THC Content","CBD Content","Other cannabinoids and terpenes"
10134673876,"Quality","CBD Content","Cost/Price"
10132235608,"THC Content","Other cannabinoids and terpenes","Quality"
10127294443,"Quality","Cost/Price","THC Content"
10124310683,"Cost/Price","THC Content","CBD Content"
10123037906,"Cost/Price","Quality","THCa"
10958082921,"THC Content","THC Content","Quality"
10614765881,"Other cannabinoids and terpenes","Favorite Strain","CBD Content"
10584635591,"Quality","Cost/Price","CBD Content"
10340116686,"Quality","Cost/Price","Other cannabinoids and terpenes"
10201808150,"CBD Content","THC Content","Quality"
10178504083,"Quality","Cost/Price","Format (flower, vape, edibles, etc)"
10176802981,"Format (flower, vape, edibles, etc)","THC Content","Cost/Price"
10166956961,"Quality","Cost/Price","THC Content"
10164556386,"Quality","Cost/Price","THC Content"
10160586191,"CBD Content","THC Content","Cost/Price"
10142134805,"THC Content","Format (flower, vape, edibles, etc)","Cost/Price"
10131191189,"Quality","Cost/Price","CBD Content"
10128457377,"Other cannabinoids and terpenes","THC Content","CBD Content"
10121182078,"Quality","Format (flower, vape, edibles, etc)","CBD Content"
10113037295,"Cost/Price","THC Content","Format (flower, vape, edibles, etc)"
11095751213,"Quality","CBD Content","THC Content"
10241027129,"THC Content","CBD Content","Cost/Price"
10234243108,"Favorite Strain","THC Content","Cost/Price"
10233370591,"Quality","Favorite Strain","Cost/Price"
10230346299,"THC Content","CBD Content","Quality"
10229680195,"Format (flower, vape, edibles, etc)","Other cannabinoids and terpenes","Quality"
10212896873,"THC Content","THCa","Cost/Price"
10198229092,"Format (flower, vape, edibles, etc)","Quality","Cost/Price"
10198112398,"Quality","Other cannabinoids and terpenes","Cost/Price"
10185410224,"Cost/Price","CBD Content","Quality"
10180792818,"Quality","Cost/Price","THC Content"
10178986427,"Quality","Format (flower, vape, edibles, etc)","Favorite Strain"
