"q52","What questions regarding cannabis did we not ask that are important to you?","n =  538"
"response","count","percent_responded"
"None","102","18.96"
"none","80","14.87"
"N/A","12","2.23"
"None ","12","2.23"
"n/a","8","1.49"
"Not sure","6","1.12"
"None.","5","0.93"
"Nothing ","5","0.93"
"Nothing","4","0.74"
"Na","3","0.56"
"None that I can think of","3","0.56"
"Can't think of any","2","0.37"
"Can't think of any.","2","0.37"
"Can't think of anything","2","0.37"
"idk","2","0.37"
"N/a","2","0.37"
"not sure","2","0.37"
"Nothing I can think of","2","0.37"
"1) How may I find employment in this growing industry?    2) Will there be training for skilled labor positions (such as kitchen or Lab work) in the industry?","1","0.19"
"about my sustained and maintenance care regarding opiate addiction recovery. Survey focuses only on patients who are ""trying it"" ... I've been succeeding for the past 3 years. The information regarding the continued care in this area of recovery that is not ""NEW""OR ""TRYING"" ... but actually succeeding, (questions about ""sustaining success,"" etc)","1","0.19"
"all good","1","0.19"
"All great questions.","1","0.19"
"Am i interested in stronger strains for sleep, relaxation, depression help?  Yes.","1","0.19"
"Are there social benefits that cannabis can offer people?","1","0.19"
"Are you using cannabis to seek relief without a high?  Or, do you have to be high to achieve medical relief?  Or, how important is getting relief without a high to you?  The dosing question should separate THC amount from CBD amount because the total number of cannabinoids is misleading. For example, my daily use is 100mg total, 80CBD 20THC. This put me in high usage category but I don't get high.   A question on how knowledgable friends and family are about cannabis would give a broader understanding of market knowledge.   Where would you prefer to gain knowledge about cannabis could reveal a need for unrealized sources?  Asking more specific questions on pricing of products would reveal the how wide the price range is in the market, i.e. price per mg of each method used. ","1","0.19"
"Aroma ","1","0.19"
"asd","1","0.19"
"ask whether or not patient wants to feel psychoactive effect or whether that is a problem. ","1","0.19"
"Awareness of medical benefits","1","0.19"
"Bask","1","0.19"
"Believe you've covered it all in this survey","1","0.19"
"can't think of any","1","0.19"
"can't think of any ","1","0.19"
"can't think of them right now","1","0.19"
"can not think of any ","1","0.19"
"Can’t think of anything right now ","1","0.19"
"Cannabis is calorie free compared to alcohol. Although many feel that cannabis increases appetite, do you feel that cannabis has actually helped you maintain a healthy body weight? (I do not feel that cannabis increases my appetite, and if anything, I feel I eat less since I have been enjoying the benefits of cannabis.","1","0.19"
"Cannot think of any at the moment","1","0.19"
"CBD and pets","1","0.19"
"certified professional help in selecting what is best for my conditions.","1","0.19"
"Continued availability of educational materials or events to educate medical patients. ","1","0.19"
"Country wide pricing structure, the west Coast is 1/2 price of East Coast at this present time.","1","0.19"
"covered it well","1","0.19"
