"q9","Have you experienced any side effects from using cannabis? Please select all that apply","n =  558"
"response","count","percent_responded"
"Dry mouth","293","52.51"
"Experienced no side effects","146","26.16"
"Changes in appetite","122","21.86"
"More or less talkative","111","19.89"
"Increased energy","110","19.71"
"Sleepiness/fatigue","102","18.28"
"Memory problems","74","13.26"
"Feeling of being ""altered""","59","10.57"
"Other (please specify)","50","8.96"
"Difficultly concentrating","46","8.24"
"Heart racing/palpitations","45","8.06"
"Changes in libido","31","5.56"
"Paranoia","28","5.02"
"Dizziness","27","4.84"
"Anxiety","26","4.66"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","26","4.66"
"Racing thoughts","25","4.48"
"Tough to get started in the morning (lassitude)","25","4.48"
"Sweating","16","2.87"
"Headache","12","2.15"
"Apathy","8","1.43"
"Nausea","8","1.43"
"GI changes (e.g. constipation, diarrhea, abdominal discomfort)","7","1.25"
"Depression","5","0.9"
