"q5","What is the primary health condition for which you find cannabis to be helpful or most impactful? Please select one.","n =  142"
"response","count","percent_responded"
"Anxiety","44","30.99"
"Chronic pain","42","29.58"
"Depression/mood","20","14.08"
"Post-Traumatic Stress Disorder (PTSD)","9","6.34"
"Insomnia","6","4.23"
"Other (please specify)","5","3.52"
"Arthritis","4","2.82"
"Attention Deficit/Hyperactivity Disorder (ADHD)","4","2.82"
"Nausea/vomiting","3","2.11"
"Epilipsey","2","1.41"
"Inflammatory Bowel Disease (IBD)","2","1.41"
"End of life care","1","0.7"
