"q19","What percent of your monthly cannabis purchases are through regulated sources (dispensaries, caregivers, etc.)","n =  142  avg =  88.676"
"response","count","percent_responded"
"100","95","66.9"
"95","5","3.52"
"99","5","3.52"
"50","4","2.82"
"80","3","2.11"
"98","3","2.11"
"0","2","1.41"
"40","2","1.41"
"18","1","0.7"
"20","1","0.7"
"25","1","0.7"
"27","1","0.7"
"32","1","0.7"
"33","1","0.7"
"34","1","0.7"
"36","1","0.7"
"45","1","0.7"
"51","1","0.7"
"52","1","0.7"
"60","1","0.7"
"64","1","0.7"
"65","1","0.7"
"71","1","0.7"
"75","1","0.7"
"76","1","0.7"
"78","1","0.7"
"85","1","0.7"
"86","1","0.7"
"89","1","0.7"
"90","1","0.7"
"96","1","0.7"
