"q11","How do you prefer to use cannabis? Please select all that apply.","n =  101"
"response","count","percent_responded"
"Smoke flower","74","73.27"
"Vape cartridges","65","64.36"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","58","57.43"
"Tinctures","46","45.54"
"Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","43","42.57"
"Vape flower","40","39.6"
"Salves/topicals","33","32.67"
"Capsules","22","21.78"
"Transdermal patches","7","6.93"
"Other (please specify)","2","1.98"
"Suppositories","1","0.99"
